"obshtkod","obshtina","godina","nastrw"
"VID01","Белоградчик",2000,8724
"VID01","Белоградчик",2001,8173
"VID01","Белоградчик",2002,8027
"VID01","Белоградчик",2003,7863
"VID01","Белоградчик",2004,7776
"VID01","Белоградчик",2005,7553
"VID01","Белоградчик",2006,7425
"VID01","Белоградчик",2007,7270
"VID01","Белоградчик",2008,7172
"VID01","Белоградчик",2009,7045
"VID01","Белоградчик",2010,6868
"VID01","Белоградчик",2011,6520
"VID01","Белоградчик",2012,6424
"VID01","Белоградчик",2013,6294
"VID01","Белоградчик",2014,6162
"VID01","Белоградчик",2015,5997
"VID01","Белоградчик",2016,5861
"VID01","Белоградчик",2017,5726
"VID01","Белоградчик",2018,5575
"VID03","Бойница",2000,2335
"VID03","Бойница",2001,2186
"VID03","Бойница",2002,2152
"VID03","Бойница",2003,2139
"VID03","Бойница",2004,2075
"VID03","Бойница",2005,1947
"VID03","Бойница",2006,1850
"VID03","Бойница",2007,1913
"VID03","Бойница",2008,1797
"VID03","Бойница",2009,1717
"VID03","Бойница",2010,1659
"VID03","Бойница",2011,1293
"VID03","Бойница",2012,1218
"VID03","Бойница",2013,1169
"VID03","Бойница",2014,1126
"VID03","Бойница",2015,1143
"VID03","Бойница",2016,1077
"VID03","Бойница",2017,996
"VID03","Бойница",2018,936
"VID06","Брегово",2000,8189
"VID06","Брегово",2001,7364
"VID06","Брегово",2002,7181
"VID06","Брегово",2003,7122
"VID06","Брегово",2004,6869
"VID06","Брегово",2005,6725
"VID06","Брегово",2006,6530
"VID06","Брегово",2007,6539
"VID06","Брегово",2008,6319
"VID06","Брегово",2009,6168
"VID06","Брегово",2010,6036
"VID06","Брегово",2011,5471
"VID06","Брегово",2012,5346
"VID06","Брегово",2013,5245
"VID06","Брегово",2014,5091
"VID06","Брегово",2015,4994
"VID06","Брегово",2016,4808
"VID06","Брегово",2017,4659
"VID06","Брегово",2018,4498
"VID09","Видин",2000,80701
"VID09","Видин",2001,77167
"VID09","Видин",2002,75651
"VID09","Видин",2003,73856
"VID09","Видин",2004,72577
"VID09","Видин",2005,71222
"VID09","Видин",2006,69699
"VID09","Видин",2007,68302
"VID09","Видин",2008,67369
"VID09","Видин",2009,66126
"VID09","Видин",2010,64989
"VID09","Видин",2011,62348
"VID09","Видин",2012,61416
"VID09","Видин",2013,60222
"VID09","Видин",2014,59039
"VID09","Видин",2015,57001
"VID09","Видин",2016,55790
"VID09","Видин",2017,54737
"VID09","Видин",2018,53764
"VID15","Грамада",2000,3267
"VID15","Грамада",2001,3061
"VID15","Грамада",2002,2985
"VID15","Грамада",2003,2877
"VID15","Грамада",2004,2804
"VID15","Грамада",2005,2728
"VID15","Грамада",2006,2628
"VID15","Грамада",2007,2530
"VID15","Грамада",2008,2421
"VID15","Грамада",2009,2384
"VID15","Грамада",2010,2260
"VID15","Грамада",2011,1975
"VID15","Грамада",2012,1921
"VID15","Грамада",2013,1860
"VID15","Грамада",2014,1811
"VID15","Грамада",2015,2015
"VID15","Грамада",2016,1916
"VID15","Грамада",2017,1820
"VID15","Грамада",2018,1742
"VID16","Димово",2000,9208
"VID16","Димово",2001,8524
"VID16","Димово",2002,8337
"VID16","Димово",2003,8221
"VID16","Димово",2004,8127
"VID16","Димово",2005,8065
"VID16","Димово",2006,7775
"VID16","Димово",2007,7531
"VID16","Димово",2008,7319
"VID16","Димово",2009,7175
"VID16","Димово",2010,7066
"VID16","Димово",2011,6440
"VID16","Димово",2012,6285
"VID16","Димово",2013,6126
"VID16","Димово",2014,5977
"VID16","Димово",2015,6050
"VID16","Димово",2016,5845
"VID16","Димово",2017,5804
"VID16","Димово",2018,5596
"VID22","Кула",2000,7222
"VID22","Кула",2001,6241
"VID22","Кула",2002,6018
"VID22","Кула",2003,5887
"VID22","Кула",2004,5710
"VID22","Кула",2005,5563
"VID22","Кула",2006,5421
"VID22","Кула",2007,5237
"VID22","Кула",2008,5098
"VID22","Кула",2009,4958
"VID22","Кула",2010,4811
"VID22","Кула",2011,4615
"VID22","Кула",2012,4487
"VID22","Кула",2013,4345
"VID22","Кула",2014,4197
"VID22","Кула",2015,4004
"VID22","Кула",2016,3867
"VID22","Кула",2017,3788
"VID22","Кула",2018,3654
"VID25","Макреш",2000,2790
"VID25","Макреш",2001,2454
"VID25","Макреш",2002,2416
"VID25","Макреш",2003,2414
"VID25","Макреш",2004,2345
"VID25","Макреш",2005,2270
"VID25","Макреш",2006,2148
"VID25","Макреш",2007,2129
"VID25","Макреш",2008,2012
"VID25","Макреш",2009,1938
"VID25","Макреш",2010,1827
"VID25","Макреш",2011,1575
"VID25","Макреш",2012,1501
"VID25","Макреш",2013,1456
"VID25","Макреш",2014,1401
"VID25","Макреш",2015,1438
"VID25","Макреш",2016,1389
"VID25","Макреш",2017,1310
"VID25","Макреш",2018,1277
"VID30","Ново село",2000,4359
"VID30","Ново село",2001,4084
"VID30","Ново село",2002,3916
"VID30","Ново село",2003,3972
"VID30","Ново село",2004,3845
"VID30","Ново село",2005,3733
"VID30","Ново село",2006,3604
"VID30","Ново село",2007,3588
"VID30","Ново село",2008,3485
"VID30","Ново село",2009,3381
"VID30","Ново село",2010,3332
"VID30","Ново село",2011,2908
"VID30","Ново село",2012,2831
"VID30","Ново село",2013,2789
"VID30","Ново село",2014,2725
"VID30","Ново село",2015,2783
"VID30","Ново село",2016,2691
"VID30","Ново село",2017,2593
"VID30","Ново село",2018,2500
"VID33","Ружинци",2000,6329
"VID33","Ружинци",2001,5892
"VID33","Ружинци",2002,5685
"VID33","Ружинци",2003,5537
"VID33","Ружинци",2004,5426
"VID33","Ружинци",2005,5423
"VID33","Ружинци",2006,5213
"VID33","Ружинци",2007,5166
"VID33","Ружинци",2008,4978
"VID33","Ружинци",2009,4890
"VID33","Ружинци",2010,4769
"VID33","Ружинци",2011,4313
"VID33","Ружинци",2012,4160
"VID33","Ружинци",2013,4034
"VID33","Ружинци",2014,3919
"VID33","Ружинци",2015,3940
"VID33","Ружинци",2016,3766
"VID33","Ружинци",2017,3710
"VID33","Ружинци",2018,3608
"VID37","Чупрене",2000,3088
"VID37","Чупрене",2001,2904
"VID37","Чупрене",2002,2790
"VID37","Чупрене",2003,2721
"VID37","Чупрене",2004,2638
"VID37","Чупрене",2005,2580
"VID37","Чупрене",2006,2476
"VID37","Чупрене",2007,2399
"VID37","Чупрене",2008,2340
"VID37","Чупрене",2009,2285
"VID37","Чупрене",2010,2220
"VID37","Чупрене",2011,2023
"VID37","Чупрене",2012,1957
"VID37","Чупрене",2013,1927
"VID37","Чупрене",2014,1913
"VID37","Чупрене",2015,1870
"VID37","Чупрене",2016,1857
"VID37","Чупрене",2017,1784
"VID37","Чупрене",2018,1715
"VRC05","Борован",2000,7022
"VRC05","Борован",2001,6907
"VRC05","Борован",2002,6675
"VRC05","Борован",2003,6625
"VRC05","Борован",2004,6449
"VRC05","Борован",2005,6304
"VRC05","Борован",2006,6121
"VRC05","Борован",2007,6181
"VRC05","Борован",2008,6053
"VRC05","Борован",2009,6107
"VRC05","Борован",2010,6029
"VRC05","Борован",2011,5685
"VRC05","Борован",2012,5599
"VRC05","Борован",2013,5523
"VRC05","Борован",2014,5411
"VRC05","Борован",2015,5536
"VRC05","Борован",2016,5376
"VRC05","Борован",2017,5333
"VRC05","Борован",2018,5209
"VRC08","Бяла Слатина",2000,32380
"VRC08","Бяла Слатина",2001,30945
"VRC08","Бяла Слатина",2002,30834
"VRC08","Бяла Слатина",2003,30372
"VRC08","Бяла Слатина",2004,30087
"VRC08","Бяла Слатина",2005,29077
"VRC08","Бяла Слатина",2006,28524
"VRC08","Бяла Слатина",2007,28027
"VRC08","Бяла Слатина",2008,27532
"VRC08","Бяла Слатина",2009,27104
"VRC08","Бяла Слатина",2010,26616
"VRC08","Бяла Слатина",2011,24362
"VRC08","Бяла Слатина",2012,24007
"VRC08","Бяла Слатина",2013,23588
"VRC08","Бяла Слатина",2014,23200
"VRC08","Бяла Слатина",2015,22961
"VRC08","Бяла Слатина",2016,22470
"VRC08","Бяла Слатина",2017,22002
"VRC08","Бяла Слатина",2018,21481
"VRC10","Враца",2000,89620
"VRC10","Враца",2001,84702
"VRC10","Враца",2002,83020
"VRC10","Враца",2003,81000
"VRC10","Враца",2004,79721
"VRC10","Враца",2005,79033
"VRC10","Враца",2006,78370
"VRC10","Враца",2007,77024
"VRC10","Враца",2008,76557
"VRC10","Враца",2009,75842
"VRC10","Враца",2010,74648
"VRC10","Враца",2011,72877
"VRC10","Враца",2012,71708
"VRC10","Враца",2013,70395
"VRC10","Враца",2014,69100
"VRC10","Враца",2015,66788
"VRC10","Враца",2016,65905
"VRC10","Враца",2017,65185
"VRC10","Враца",2018,64447
"VRC20","Козлодуй",2000,25273
"VRC20","Козлодуй",2001,24248
"VRC20","Козлодуй",2002,24253
"VRC20","Козлодуй",2003,24052
"VRC20","Козлодуй",2004,23831
"VRC20","Козлодуй",2005,23574
"VRC20","Козлодуй",2006,23192
"VRC20","Козлодуй",2007,22878
"VRC20","Козлодуй",2008,22571
"VRC20","Козлодуй",2009,22269
"VRC20","Козлодуй",2010,22015
"VRC20","Козлодуй",2011,20970
"VRC20","Козлодуй",2012,20766
"VRC20","Козлодуй",2013,20627
"VRC20","Козлодуй",2014,20394
"VRC20","Козлодуй",2015,19977
"VRC20","Козлодуй",2016,19738
"VRC20","Козлодуй",2017,19357
"VRC20","Козлодуй",2018,19066
"VRC19","Кнежа",2000,17892
"VRC21","Криводол",2000,12869
"VRC21","Криводол",2001,11976
"VRC21","Криводол",2002,11761
"VRC21","Криводол",2003,11606
"VRC21","Криводол",2004,11336
"VRC21","Криводол",2005,11176
"VRC21","Криводол",2006,10921
"VRC21","Криводол",2007,11025
"VRC21","Криводол",2008,10684
"VRC21","Криводол",2009,10460
"VRC21","Криводол",2010,10276
"VRC21","Криводол",2011,9415
"VRC21","Криводол",2012,9173
"VRC21","Криводол",2013,9023
"VRC21","Криводол",2014,8913
"VRC21","Криводол",2015,9255
"VRC21","Криводол",2016,8977
"VRC21","Криводол",2017,8669
"VRC21","Криводол",2018,8466
"VRC27","Мездра",2000,26799
"VRC27","Мездра",2001,25514
"VRC27","Мездра",2002,25048
"VRC27","Мездра",2003,24926
"VRC27","Мездра",2004,24436
"VRC27","Мездра",2005,23982
"VRC27","Мездра",2006,23594
"VRC27","Мездра",2007,23395
"VRC27","Мездра",2008,23014
"VRC27","Мездра",2009,22622
"VRC27","Мездра",2010,22320
"VRC27","Мездра",2011,21436
"VRC27","Мездра",2012,21029
"VRC27","Мездра",2013,20596
"VRC27","Мездра",2014,20118
"VRC27","Мездра",2015,19898
"VRC27","Мездра",2016,19427
"VRC27","Мездра",2017,18956
"VRC27","Мездра",2018,18452
"VRC28","Мизия",2000,9920
"VRC28","Мизия",2001,9415
"VRC28","Мизия",2002,9107
"VRC28","Мизия",2003,8924
"VRC28","Мизия",2004,8629
"VRC28","Мизия",2005,8353
"VRC28","Мизия",2006,8110
"VRC28","Мизия",2007,7882
"VRC28","Мизия",2008,7637
"VRC28","Мизия",2009,7466
"VRC28","Мизия",2010,7301
"VRC28","Мизия",2011,7455
"VRC28","Мизия",2012,7293
"VRC28","Мизия",2013,7125
"VRC28","Мизия",2014,6904
"VRC28","Мизия",2015,6701
"VRC28","Мизия",2016,6520
"VRC28","Мизия",2017,6331
"VRC28","Мизия",2018,6134
"VRC31","Оряхово",2000,15961
"VRC31","Оряхово",2001,14837
"VRC31","Оряхово",2002,14495
"VRC31","Оряхово",2003,14136
"VRC31","Оряхово",2004,13796
"VRC31","Оряхово",2005,13521
"VRC31","Оряхово",2006,13276
"VRC31","Оряхово",2007,12936
"VRC31","Оряхово",2008,12668
"VRC31","Оряхово",2009,12314
"VRC31","Оряхово",2010,12069
"VRC31","Оряхово",2011,11392
"VRC31","Оряхово",2012,11123
"VRC31","Оряхово",2013,10841
"VRC31","Оряхово",2014,10583
"VRC31","Оряхово",2015,10343
"VRC31","Оряхово",2016,10065
"VRC31","Оряхово",2017,9852
"VRC31","Оряхово",2018,9598
"VRC32","Роман",2000,8146
"VRC32","Роман",2001,8008
"VRC32","Роман",2002,8072
"VRC32","Роман",2003,8300
"VRC32","Роман",2004,8121
"VRC32","Роман",2005,8057
"VRC32","Роман",2006,7877
"VRC32","Роман",2007,7705
"VRC32","Роман",2008,7530
"VRC32","Роман",2009,7342
"VRC32","Роман",2010,7176
"VRC32","Роман",2011,6135
"VRC32","Роман",2012,6021
"VRC32","Роман",2013,5920
"VRC32","Роман",2014,5843
"VRC32","Роман",2015,5933
"VRC32","Роман",2016,5772
"VRC32","Роман",2017,5606
"VRC32","Роман",2018,5462
"VRC35","Хайредин",2000,7199
"VRC35","Хайредин",2001,6806
"VRC35","Хайредин",2002,6565
"VRC35","Хайредин",2003,6447
"VRC35","Хайредин",2004,6250
"VRC35","Хайредин",2005,6047
"VRC35","Хайредин",2006,5812
"VRC35","Хайредин",2007,5658
"VRC35","Хайредин",2008,5456
"VRC35","Хайредин",2009,5303
"VRC35","Хайредин",2010,5105
"VRC35","Хайредин",2011,4935
"VRC35","Хайредин",2012,4855
"VRC35","Хайредин",2013,4757
"VRC35","Хайредин",2014,4703
"VRC35","Хайредин",2015,4615
"VRC35","Хайредин",2016,4477
"VRC35","Хайредин",2017,4354
"VRC35","Хайредин",2018,4234
"LOV02","Априлци",2000,4169
"LOV02","Априлци",2001,4036
"LOV02","Априлци",2002,3965
"LOV02","Априлци",2003,3908
"LOV02","Априлци",2004,3836
"LOV02","Априлци",2005,3788
"LOV02","Априлци",2006,3741
"LOV02","Априлци",2007,3647
"LOV02","Априлци",2008,3591
"LOV02","Априлци",2009,3554
"LOV02","Априлци",2010,3451
"LOV02","Априлци",2011,3285
"LOV02","Априлци",2012,3218
"LOV02","Априлци",2013,3158
"LOV02","Априлци",2014,3114
"LOV02","Априлци",2015,3009
"LOV02","Априлци",2016,2910
"LOV02","Априлци",2017,2840
"LOV02","Априлци",2018,2773
"LOV17","Летница",2000,6350
"LOV17","Летница",2001,5512
"LOV17","Летница",2002,5450
"LOV17","Летница",2003,5432
"LOV17","Летница",2004,5404
"LOV17","Летница",2005,5392
"LOV17","Летница",2006,5301
"LOV17","Летница",2007,5258
"LOV17","Летница",2008,5177
"LOV17","Летница",2009,5101
"LOV17","Летница",2010,4906
"LOV17","Летница",2011,3740
"LOV17","Летница",2012,3690
"LOV17","Летница",2013,3634
"LOV17","Летница",2014,3567
"LOV17","Летница",2015,3550
"LOV17","Летница",2016,3460
"LOV17","Летница",2017,3413
"LOV17","Летница",2018,3380
"LOV18","Ловеч",2000,62256
"LOV18","Ловеч",2001,61419
"LOV18","Ловеч",2002,60248
"LOV18","Ловеч",2003,59137
"LOV18","Ловеч",2004,58125
"LOV18","Ловеч",2005,57160
"LOV18","Ловеч",2006,56419
"LOV18","Ловеч",2007,55545
"LOV18","Ловеч",2008,54657
"LOV18","Ловеч",2009,53578
"LOV18","Ловеч",2010,52308
"LOV18","Ловеч",2011,49045
"LOV18","Ловеч",2012,48334
"LOV18","Ловеч",2013,47494
"LOV18","Ловеч",2014,46761
"LOV18","Ловеч",2015,45901
"LOV18","Ловеч",2016,44994
"LOV18","Ловеч",2017,44086
"LOV18","Ловеч",2018,43242
"LOV19","Луковит",2000,22082
"LOV19","Луковит",2001,21192
"LOV19","Луковит",2002,21035
"LOV19","Луковит",2003,20944
"LOV19","Луковит",2004,20618
"LOV19","Луковит",2005,20371
"LOV19","Луковит",2006,20107
"LOV19","Луковит",2007,19934
"LOV19","Луковит",2008,19720
"LOV19","Луковит",2009,19469
"LOV19","Луковит",2010,19100
"LOV19","Луковит",2011,17925
"LOV19","Луковит",2012,17707
"LOV19","Луковит",2013,17446
"LOV19","Луковит",2014,17186
"LOV19","Луковит",2015,17058
"LOV19","Луковит",2016,16752
"LOV19","Луковит",2017,16524
"LOV19","Луковит",2018,16364
"LOV33","Тетевен",2000,24904
"LOV33","Тетевен",2001,23637
"LOV33","Тетевен",2002,23316
"LOV33","Тетевен",2003,23016
"LOV33","Тетевен",2004,22869
"LOV33","Тетевен",2005,22715
"LOV33","Тетевен",2006,22520
"LOV33","Тетевен",2007,22266
"LOV33","Тетевен",2008,22141
"LOV33","Тетевен",2009,22016
"LOV33","Тетевен",2010,21680
"LOV33","Тетевен",2011,21068
"LOV33","Тетевен",2012,20878
"LOV33","Тетевен",2013,20585
"LOV33","Тетевен",2014,20257
"LOV33","Тетевен",2015,19949
"LOV33","Тетевен",2016,19727
"LOV33","Тетевен",2017,19389
"LOV33","Тетевен",2018,19113
"LOV34","Троян",2000,38135
"LOV34","Троян",2001,36952
"LOV34","Троян",2002,36388
"LOV34","Троян",2003,35900
"LOV34","Троян",2004,35548
"LOV34","Троян",2005,35214
"LOV34","Троян",2006,35006
"LOV34","Троян",2007,34718
"LOV34","Троян",2008,34380
"LOV34","Троян",2009,33827
"LOV34","Троян",2010,33194
"LOV34","Троян",2011,31980
"LOV34","Троян",2012,31478
"LOV34","Троян",2013,31008
"LOV34","Троян",2014,30579
"LOV34","Троян",2015,30080
"LOV34","Троян",2016,29643
"LOV34","Троян",2017,29253
"LOV34","Троян",2018,28743
"LOV36","Угърчин",2000,9367
"LOV36","Угърчин",2001,8361
"LOV36","Угърчин",2002,8238
"LOV36","Угърчин",2003,8169
"LOV36","Угърчин",2004,8039
"LOV36","Угърчин",2005,7869
"LOV36","Угърчин",2006,7684
"LOV36","Угърчин",2007,7544
"LOV36","Угърчин",2008,7357
"LOV36","Угърчин",2009,7181
"LOV36","Угърчин",2010,6984
"LOV36","Угърчин",2011,6356
"LOV36","Угърчин",2012,6263
"LOV36","Угърчин",2013,6163
"LOV36","Угърчин",2014,6032
"LOV36","Угърчин",2015,5975
"LOV36","Угърчин",2016,5834
"LOV36","Угърчин",2017,5670
"LOV36","Угърчин",2018,5531
"LOV38","Ябланица",2000,7195
"LOV38","Ябланица",2001,6822
"LOV38","Ябланица",2002,6816
"LOV38","Ябланица",2003,6836
"LOV38","Ябланица",2004,6751
"LOV38","Ябланица",2005,6705
"LOV38","Ябланица",2006,6629
"LOV38","Ябланица",2007,6556
"LOV38","Ябланица",2008,6451
"LOV38","Ябланица",2009,6427
"LOV38","Ябланица",2010,6334
"LOV38","Ябланица",2011,6210
"LOV38","Ябланица",2012,6150
"LOV38","Ябланица",2013,6092
"LOV38","Ябланица",2014,6017
"LOV38","Ябланица",2015,5971
"LOV38","Ябланица",2016,5902
"LOV38","Ябланица",2017,5786
"LOV38","Ябланица",2018,5727
"MON02","Берковица",2000,23310
"MON02","Берковица",2001,22362
"MON02","Берковица",2002,22105
"MON02","Берковица",2003,21709
"MON02","Берковица",2004,21263
"MON02","Берковица",2005,20812
"MON02","Берковица",2006,20574
"MON02","Берковица",2007,20277
"MON02","Берковица",2008,19936
"MON02","Берковица",2009,19642
"MON02","Берковица",2010,19256
"MON02","Берковица",2011,18489
"MON02","Берковица",2012,18205
"MON02","Берковица",2013,17912
"MON02","Берковица",2014,17547
"MON02","Берковица",2015,17201
"MON02","Берковица",2016,16951
"MON02","Берковица",2017,16655
"MON02","Берковица",2018,16343
"MON04","Бойчиновци",2000,12999
"MON04","Бойчиновци",2001,11960
"MON04","Бойчиновци",2002,11768
"MON04","Бойчиновци",2003,11574
"MON04","Бойчиновци",2004,11316
"MON04","Бойчиновци",2005,11062
"MON04","Бойчиновци",2006,10722
"MON04","Бойчиновци",2007,10466
"MON04","Бойчиновци",2008,10148
"MON04","Бойчиновци",2009,9915
"MON04","Бойчиновци",2010,9746
"MON04","Бойчиновци",2011,9140
"MON04","Бойчиновци",2012,8919
"MON04","Бойчиновци",2013,8799
"MON04","Бойчиновци",2014,8664
"MON04","Бойчиновци",2015,8660
"MON04","Бойчиновци",2016,8475
"MON04","Бойчиновци",2017,8262
"MON04","Бойчиновци",2018,8124
"MON07","Брусарци",2000,7187
"MON07","Брусарци",2001,6697
"MON07","Брусарци",2002,6597
"MON07","Брусарци",2003,6402
"MON07","Брусарци",2004,6212
"MON07","Брусарци",2005,6090
"MON07","Брусарци",2006,5915
"MON07","Брусарци",2007,5769
"MON07","Брусарци",2008,5599
"MON07","Брусарци",2009,5469
"MON07","Брусарци",2010,5394
"MON07","Брусарци",2011,4961
"MON07","Брусарци",2012,4850
"MON07","Брусарци",2013,4795
"MON07","Брусарци",2014,4675
"MON07","Брусарци",2015,4608
"MON07","Брусарци",2016,4531
"MON07","Брусарци",2017,4450
"MON07","Брусарци",2018,4311
"MON11","Вълчедръм",2000,13868
"MON11","Вълчедръм",2001,12740
"MON11","Вълчедръм",2002,12573
"MON11","Вълчедръм",2003,12296
"MON11","Вълчедръм",2004,11924
"MON11","Вълчедръм",2005,11645
"MON11","Вълчедръм",2006,11365
"MON11","Вълчедръм",2007,10986
"MON11","Вълчедръм",2008,10641
"MON11","Вълчедръм",2009,10398
"MON11","Вълчедръм",2010,10116
"MON11","Вълчедръм",2011,9745
"MON11","Вълчедръм",2012,9534
"MON11","Вълчедръм",2013,9382
"MON11","Вълчедръм",2014,9225
"MON11","Вълчедръм",2015,9028
"MON11","Вълчедръм",2016,8834
"MON11","Вълчедръм",2017,8647
"MON11","Вълчедръм",2018,8493
"MON12","Вършец",2000,10247
"MON12","Вършец",2001,9759
"MON12","Вършец",2002,9580
"MON12","Вършец",2003,9445
"MON12","Вършец",2004,9251
"MON12","Вършец",2005,9031
"MON12","Вършец",2006,8898
"MON12","Вършец",2007,8860
"MON12","Вършец",2008,8692
"MON12","Вършец",2009,8605
"MON12","Вършец",2010,8433
"MON12","Вършец",2011,8061
"MON12","Вършец",2012,7933
"MON12","Вършец",2013,7810
"MON12","Вършец",2014,7704
"MON12","Вършец",2015,7656
"MON12","Вършец",2016,7486
"MON12","Вършец",2017,7271
"MON12","Вършец",2018,7035
"MON14","Георги Дамяново",2000,4773
"MON14","Георги Дамяново",2001,4341
"MON14","Георги Дамяново",2002,4181
"MON14","Георги Дамяново",2003,3594
"MON14","Георги Дамяново",2004,3520
"MON14","Георги Дамяново",2005,3419
"MON14","Георги Дамяново",2006,3252
"MON14","Георги Дамяново",2007,3216
"MON14","Георги Дамяново",2008,3109
"MON14","Георги Дамяново",2009,3022
"MON14","Георги Дамяново",2010,2962
"MON14","Георги Дамяново",2011,2702
"MON14","Георги Дамяново",2012,2634
"MON14","Георги Дамяново",2013,2560
"MON14","Георги Дамяново",2014,2490
"MON14","Георги Дамяново",2015,2445
"MON14","Георги Дамяново",2016,2372
"MON14","Георги Дамяново",2017,2287
"MON14","Георги Дамяново",2018,2174
"MON24","Лом",2000,36209
"MON24","Лом",2001,34739
"MON24","Лом",2002,34337
"MON24","Лом",2003,33485
"MON24","Лом",2004,32863
"MON24","Лом",2005,32135
"MON24","Лом",2006,31689
"MON24","Лом",2007,31170
"MON24","Лом",2008,30663
"MON24","Лом",2009,30198
"MON24","Лом",2010,29618
"MON24","Лом",2011,27839
"MON24","Лом",2012,27476
"MON24","Лом",2013,27140
"MON24","Лом",2014,26744
"MON24","Лом",2015,26182
"MON24","Лом",2016,25568
"MON24","Лом",2017,25074
"MON24","Лом",2018,24543
"MON26","Медковец",2000,5898
"MON26","Медковец",2001,5497
"MON26","Медковец",2002,5367
"MON26","Медковец",2003,5237
"MON26","Медковец",2004,5022
"MON26","Медковец",2005,4856
"MON26","Медковец",2006,4719
"MON26","Медковец",2007,4571
"MON26","Медковец",2008,4447
"MON26","Медковец",2009,4310
"MON26","Медковец",2010,4194
"MON26","Медковец",2011,3935
"MON26","Медковец",2012,3816
"MON26","Медковец",2013,3742
"MON26","Медковец",2014,3724
"MON26","Медковец",2015,3825
"MON26","Медковец",2016,3731
"MON26","Медковец",2017,3622
"MON26","Медковец",2018,3500
"MON29","Монтана",2000,62207
"MON29","Монтана",2001,61104
"MON29","Монтана",2002,60254
"MON29","Монтана",2003,59979
"MON29","Монтана",2004,59262
"MON29","Монтана",2005,58422
"MON29","Монтана",2006,57944
"MON29","Монтана",2007,57098
"MON29","Монтана",2008,56608
"MON29","Монтана",2009,56086
"MON29","Монтана",2010,55246
"MON29","Монтана",2011,53236
"MON29","Монтана",2012,52520
"MON29","Монтана",2013,51774
"MON29","Монтана",2014,51013
"MON29","Монтана",2015,49995
"MON29","Монтана",2016,49267
"MON29","Монтана",2017,48752
"MON29","Монтана",2018,48134
"MON36","Чипровци",2000,5607
"MON36","Чипровци",2001,4845
"MON36","Чипровци",2002,4665
"MON36","Чипровци",2003,4523
"MON36","Чипровци",2004,4357
"MON36","Чипровци",2005,4198
"MON36","Чипровци",2006,4063
"MON36","Чипровци",2007,3955
"MON36","Чипровци",2008,3828
"MON36","Чипровци",2009,3719
"MON36","Чипровци",2010,3648
"MON36","Чипровци",2011,3624
"MON36","Чипровци",2012,3527
"MON36","Чипровци",2013,3462
"MON36","Чипровци",2014,3393
"MON36","Чипровци",2015,3412
"MON36","Чипровци",2016,3353
"MON36","Чипровци",2017,3219
"MON36","Чипровци",2018,3139
"MON38","Якимово",2000,6159
"MON38","Якимово",2001,5697
"MON38","Якимово",2002,5536
"MON38","Якимово",2003,5352
"MON38","Якимово",2004,5227
"MON38","Якимово",2005,5105
"MON38","Якимово",2006,4916
"MON38","Якимово",2007,4793
"MON38","Якимово",2008,4620
"MON38","Якимово",2009,4535
"MON38","Якимово",2010,4453
"MON38","Якимово",2011,4252
"MON38","Якимово",2012,4248
"MON38","Якимово",2013,4220
"MON38","Якимово",2014,4171
"MON38","Якимово",2015,4176
"MON38","Якимово",2016,4101
"MON38","Якимово",2017,3975
"MON38","Якимово",2018,3841
"PVN03","Белене",2000,12486
"PVN03","Белене",2001,12434
"PVN03","Белене",2002,12385
"PVN03","Белене",2003,12269
"PVN03","Белене",2004,11992
"PVN03","Белене",2005,11739
"PVN03","Белене",2006,11567
"PVN03","Белене",2007,11321
"PVN03","Белене",2008,11102
"PVN03","Белене",2009,10908
"PVN03","Белене",2010,10671
"PVN03","Белене",2011,10161
"PVN03","Белене",2012,9876
"PVN03","Белене",2013,9667
"PVN03","Белене",2014,9439
"PVN03","Белене",2015,9216
"PVN03","Белене",2016,8983
"PVN03","Белене",2017,8734
"PVN03","Белене",2018,8454
"PVN08","Гулянци",2000,17872
"PVN08","Гулянци",2001,16482
"PVN08","Гулянци",2002,16099
"PVN08","Гулянци",2003,15775
"PVN08","Гулянци",2004,15402
"PVN08","Гулянци",2005,15007
"PVN08","Гулянци",2006,14629
"PVN08","Гулянци",2007,14294
"PVN08","Гулянци",2008,13925
"PVN08","Гулянци",2009,13561
"PVN08","Гулянци",2010,13128
"PVN08","Гулянци",2011,12123
"PVN08","Гулянци",2012,11831
"PVN08","Гулянци",2013,11584
"PVN08","Гулянци",2014,11308
"PVN08","Гулянци",2015,11144
"PVN08","Гулянци",2016,10875
"PVN08","Гулянци",2017,10578
"PVN08","Гулянци",2018,10358
"PVN10","Долна Митрополия",2000,26057
"PVN10","Долна Митрополия",2001,24813
"PVN10","Долна Митрополия",2002,24081
"PVN10","Долна Митрополия",2003,23771
"PVN10","Долна Митрополия",2004,23441
"PVN10","Долна Митрополия",2005,22994
"PVN10","Долна Митрополия",2006,22625
"PVN10","Долна Митрополия",2007,22237
"PVN10","Долна Митрополия",2008,21702
"PVN10","Долна Митрополия",2009,21304
"PVN10","Долна Митрополия",2010,20904
"PVN10","Долна Митрополия",2011,19973
"PVN10","Долна Митрополия",2012,19580
"PVN10","Долна Митрополия",2013,19294
"PVN10","Долна Митрополия",2014,18990
"PVN10","Долна Митрополия",2015,18755
"PVN10","Долна Митрополия",2016,18511
"PVN10","Долна Митрополия",2017,18180
"PVN10","Долна Митрополия",2018,17694
"PVN11","Долни Дъбник",2000,15948
"PVN11","Долни Дъбник",2001,15572
