"TIME","GEO","INDIC_SB","NACE_R2","Value"
"2008","BG322","V16911","B-E",":"
"2008","BG322","V16911","F",":"
"2008","BG322","V16911","G",":"
"2008","BG322","V16911","H",":"
"2008","BG322","V16911","I",":"
"2008","BG322","V16911","J",":"
"2008","BG322","V16911","K_L_X_K642",":"
"2008","BG322","V16911","M_N",":"
"2008","BG322","V16911","P_Q",":"
"2008","BG322","V16911","R_S",":"
"2008","BG323","V11910","B-S_X_K642",":"
"2008","BG323","V11910","B-E",":"
"2008","BG323","V11910","F",":"
"2008","BG323","V11910","G",":"
"2008","BG323","V11910","H",":"
"2008","BG323","V11910","I",":"
"2008","BG323","V11910","J",":"
"2008","BG323","V11910","K_L_X_K642",":"
"2008","BG323","V11910","M_N",":"
"2008","BG323","V11910","P_Q",":"
"2008","BG323","V11910","R_S",":"
"2008","BG323","V16911","B-S_X_K642",":"
"2008","BG323","V16911","B-E",":"
"2008","BG323","V16911","F",":"
"2008","BG323","V16911","G",":"
"2008","BG323","V16911","H",":"
"2008","BG323","V16911","I",":"
"2008","BG323","V16911","J",":"
"2008","BG323","V16911","K_L_X_K642",":"
"2008","BG323","V16911","M_N",":"
"2008","BG323","V16911","P_Q",":"
"2008","BG323","V16911","R_S",":"
"2008","BG324","V11910","B-S_X_K642",":"
"2008","BG324","V11910","B-E",":"
"2008","BG324","V11910","F",":"
"2008","BG324","V11910","G",":"
"2008","BG324","V11910","H",":"
"2008","BG324","V11910","I",":"
"2008","BG324","V11910","J",":"
"2008","BG324","V11910","K_L_X_K642",":"
"2008","BG324","V11910","M_N",":"
"2008","BG324","V11910","P_Q",":"
"2008","BG324","V11910","R_S",":"
"2008","BG324","V16911","B-S_X_K642",":"
"2008","BG324","V16911","B-E",":"
"2008","BG324","V16911","F",":"
"2008","BG324","V16911","G",":"
"2008","BG324","V16911","H",":"
"2008","BG324","V16911","I",":"
"2008","BG324","V16911","J",":"
"2008","BG324","V16911","K_L_X_K642",":"
"2008","BG324","V16911","M_N",":"
"2008","BG324","V16911","P_Q",":"
"2008","BG324","V16911","R_S",":"
"2008","BG325","V11910","B-S_X_K642",":"
"2008","BG325","V11910","B-E",":"
"2008","BG325","V11910","F",":"
"2008","BG325","V11910","G",":"
"2008","BG325","V11910","H",":"
"2008","BG325","V11910","I",":"
"2008","BG325","V11910","J",":"
"2008","BG325","V11910","K_L_X_K642",":"
"2008","BG325","V11910","M_N",":"
"2008","BG325","V11910","P_Q",":"
"2008","BG325","V11910","R_S",":"
"2008","BG325","V16911","B-S_X_K642",":"
"2008","BG325","V16911","B-E",":"
"2008","BG325","V16911","F",":"
"2008","BG325","V16911","G",":"
"2008","BG325","V16911","H",":"
"2008","BG325","V16911","I",":"
"2008","BG325","V16911","J",":"
"2008","BG325","V16911","K_L_X_K642",":"
"2008","BG325","V16911","M_N",":"
"2008","BG325","V16911","P_Q",":"
"2008","BG325","V16911","R_S",":"
"2008","BG331","V11910","B-S_X_K642",":"
"2008","BG331","V11910","B-E",":"
"2008","BG331","V11910","F",":"
"2008","BG331","V11910","G",":"
"2008","BG331","V11910","H",":"
"2008","BG331","V11910","I",":"
"2008","BG331","V11910","J",":"
"2008","BG331","V11910","K_L_X_K642",":"
"2008","BG331","V11910","M_N",":"
"2008","BG331","V11910","P_Q",":"
"2008","BG331","V11910","R_S",":"
"2008","BG331","V16911","B-S_X_K642",":"
"2008","BG331","V16911","B-E",":"
"2008","BG331","V16911","F",":"
"2008","BG331","V16911","G",":"
