"sektor","naeti","osigbaza","srzapl","godina","quarter"
64,2221,10323696.16,1549.174093,2014,1
65,17523,62708702.84,1192.883692,2014,1
66,18674,33222004.21,593.006518,2014,1
67,21675,76030701.71,1169.217428,2014,1
68,56212,199005078.8,1180.079572,2014,1
69,154089,452480859.91,978.825878,2014,1
70,57786,69058750.81,398.35918,2014,1
71,3715,12545917.36,1125.699179,2014,1
72,9299,16080664.64,576.429889,2014,1
73,20459,41911147.58,682.84777,2014,1
74,24584,45054578.02,610.892965,2014,1
75,36914,97899445.74,884.031765,2014,1
76,6317,8980583.08,473.859385,2014,1
77,23549,38225539.18,541.070365,2014,1
78,22363,22784829.62,339.615883,2014,1
79,14284,33867342.04,790.295935,2014,1
80,994,2803296.95,939.442677,2014,1
81,6466,10155561.21,523.536509,2014,1
82,7830,12257813.66,521.831147,2014,1
83,2283,11707798.27,1708.918153,2014,1
84,24995,65142149.56,868.724155,2014,1
85,1173,1671718.55,474.78516,2014,1
99,326892,614369731.06,626.475748,2014,1
0,500,1152730.74,767.463874,2015,1
1,55978,105259712.43,626.792147,2015,1
2,14651,28378212.89,645.619676,2015,1
3,319,477337.76,498.264885,2015,1
4,12354,53974327.66,1456.28599,2015,1
5,670,1701862.03,845.855879,2015,1
6,5793,23495763.04,1351.8851,2015,1
7,156,333840.24,711.812878,2015,1
8,407,767687.22,628.736461,2015,1
9,123,312322.96,844.116108,2015,1
10,2619,6063756.69,771.764883,2015,1
11,27,70329.13,847.338915,2015,1
12,752,2107959.12,933.551426,2015,1
13,14057,22429549.38,531.871413,2015,1
14,4212,7347929.48,581.41553,2015,1
15,6120,10613233.44,578.062823,2015,1
16,3340,6677740.45,666.308167,2015,1
17,7784,13870089.13,593.906359,2015,1
18,2345,6113746.41,869.047108,2015,1
19,36116,52436743.12,483.961486,2015,1
20,6055,14921424,821.392931,2015,1
21,1635,3527142.54,718.798153,2015,1
22,6226,13609681.35,728.647679,2015,1
23,1608,6021901.87,1248.321283,2015,1
24,4425,12098998.59,911.343672,2015,1
25,3202,12595580.9,1311.220164,2015,1
26,12789,23542986.46,613.593955,2015,1
27,89612,126847592.82,471.840054,2015,1
28,8354,13784985.62,549.991446,2015,1
29,16069,22026778.84,456.911276,2015,1
30,16587,22964644.59,461.498856,2015,1
31,9094,18450550.55,676.26546,2015,1
32,17286,42531916.34,820.145323,2015,1
33,1583,10252194.88,2158.811303,2015,1
34,12748,33458658.93,874.827666,2015,1
35,9066,27247796.54,1001.757225,2015,1
36,26997,49387314.13,609.787681,2015,1
37,21854,54193522.97,826.586992,2015,1
38,4528,18547759.31,1365.31169,2015,1
39,3605,7198854.85,665.513067,2015,1
40,49891,101321987.76,676.955681,2015,1
41,9034,23883574.03,881.215143,2015,1
42,19394,51219057.7,880.294543,2015,1
43,36007,89155925.07,825.349697,2015,1
44,574,1550117.99,900.184663,2015,1
45,24233,57447904.93,790.215889,2015,1
46,21136,31059884.46,489.834005,2015,1
47,23400,58768226.2,837.130369,2015,1
48,2388,4305364.2,600.888234,2015,1
49,25119,129996603.79,1725.030902,2015,1
50,1824,10856770.65,1983.696446,2015,1
51,4828,15990088.66,1103.830502,2015,1
52,17227,42286455.63,818.188875,2015,1
53,16603,28123425.31,564.614039,2015,1
54,1260,6351143.23,1680.196621,2015,1
55,115577,211858006,611.015473,2015,1
56,15797,36556898.45,771.356496,2015,1
57,4635,8037843.48,578.054187,2015,1
58,333772,660775864.21,659.906107,2015,1
59,23715,65400950.29,919.236936,2015,1
60,115624,158661894.69,457.404979,2015,1
61,23747,61082862.6,857.387569,2015,1
62,85251,135476720.42,529.71289,2015,1
63,1234,3581200.31,967.369073,2015,1
64,2078,10366013.06,1662.818905,2015,1
65,18012,67240074.99,1244.357002,2015,1
66,18706,34135706.48,608.273605,2015,1
67,22590,84849914.26,1251.990707,2015,1
68,56626,209620537.99,1233.947526,2015,1
69,167700,532178549.33,1057.798746,2015,1
70,59112,72491322.49,408.774895,2015,1
71,3763,14625565.24,1295.329487,2015,1
72,7826,14255295.36,607.150873,2015,1
73,19365,40894342.34,703.909775,2015,1
74,25400,47943751.58,629.174834,2015,1
75,37352,103114505.97,920.205129,2015,1
76,6411,10411274.95,541.267218,2015,1
77,25933,44352712.73,570.086281,2015,1
78,22391,23888574.09,355.617031,2015,1
79,14552,35862589.84,821.48135,2015,1
80,748,2080755.55,926.839888,2015,1
81,6095,9930782.61,543.110889,2015,1
82,8149,13407149.82,548.372114,2015,1
83,2434,13042468.18,1785.661032,2015,1
84,25850,68946866.02,889.040463,2015,1
85,1220,1784507.64,487.304107,2015,1
99,308018,621309324.8,672.372666,2015,1
0,355,989244.9,927.127366,2016,1
1,57390,113969734.72,661.960473,2016,1
2,14984,31456167.9,699.741244,2016,1
3,319,570748.57,595.770949,2016,1
4,11132,49525327.5,1482.927433,2016,1
5,612,1644311.34,895.594411,2016,1
6,6706,29901430.01,1486.302316,2016,1
7,86,246896.23,949.600884,2016,1
8,407,743436.22,607.879165,2016,1
9,210,491392.12,777.519177,2016,1
10,2478,6118312.17,822.796149,2016,1
11,37,68838.5,614.629464,2016,1
12,870,2235318.47,855.788081,2016,1
13,13517,25505923.98,628.952826,2016,1
14,4603,8623510.55,624.484796,2016,1
15,6365,11964441.37,626.541755,2016,1
16,3480,7618093.36,729.562666,2016,1
17,8004,15043350.26,626.466924,2016,1
18,2083,6023075.29,963.846261,2016,1
19,36381,57005520.56,522.301206,2016,1
20,5789,15434118.77,888.60146,2016,1
21,1781,4040592.44,756.240396,2016,1
22,5318,10562172.35,661.99764,2016,1
23,2253,9709371.17,1436.29751,2016,1
24,4643,13341008.39,957.717759,2016,1
25,2876,10786389.03,1249.871266,2016,1
26,13163,26735819.89,677.027599,2016,1
27,87380,136475459.08,520.620504,2016,1
28,7383,13663232.31,616.878067,2016,1
29,15584,24231942.42,518.297059,2016,1
30,16646,25622402.47,513.063725,2016,1
31,9174,20473073.26,743.826233,2016,1
32,17070,43421969.47,847.886617,2016,1
33,1803,11348727.9,2098.119412,2016,1
34,12632,35189664.74,928.536195,2016,1
35,8051,25770589.58,1066.928441,2016,1
36,28106,56877359.18,674.549735,2016,1
37,22170,58328539.69,876.962648,2016,1
38,4962,20292182.23,1363.172257,2016,1
39,4585,11220692.03,815.753691,2016,1
40,50136,111915353.14,744.068566,2016,1
41,8947,25727570.42,958.517582,2016,1
42,20674,58822209.92,948.378207,2016,1
43,39580,105303440.46,886.840495,2016,1
44,595,1581122.63,885.782985,2016,1
45,26715,65666156.48,819.341898,2016,1
46,21453,35110416.34,545.523163,2016,1
47,25942,70469019.13,905.445586,2016,1
48,2259,4434971.12,654.415098,2016,1
49,24983,129402307.25,1726.515106,2016,1
50,1951,11573014.21,1977.279038,2016,1
51,4496,16308034.51,1209.077291,2016,1
52,17202,43957926.21,851.798748,2016,1
53,16255,30255168.79,620.427946,2016,1
54,1263,6137627.24,1618.999535,2016,1
55,110477,210840590.35,636.150372,2016,1
56,15660,37836784.05,805.346389,2016,1
57,4695,8472903.97,601.512421,2016,1
58,335053,712386789.81,708.729744,2016,1
59,23856,70304695.05,982.348187,2016,1
60,120053,172337318.9,478.503435,2016,1
61,23324,64366885.7,919.894896,2016,1
62,88927,149568934.79,560.638926,2016,1
63,1280,3868138.36,1007.327697,2016,1
64,2185,11302414.33,1723.717299,2016,1
65,17685,67957097.9,1280.831895,2016,1
66,19096,37534859.45,655.172969,2016,1
67,22780,85900280.33,1256.917859,2016,1
68,56411,212912953.45,1258.105413,2016,1
69,183275,620177265.46,1127.951871,2016,1
70,57950,80817512.28,464.86921,2016,1
71,3835,16848795.58,1464.47593,2016,1
72,6950,13795551.13,661.657128,2016,1
73,20489,46109903.17,750.132638,2016,1
74,25528,50980297.23,665.660789,2016,1
75,37952,111603606.27,980.199953,2016,1
76,7539,12465951.13,551.12742,2016,1
77,26972,50159017.88,619.889983,2016,1
78,22687,27536495.97,404.573644,2016,1
79,14142,36351995.58,856.792579,2016,1
80,549,1933699.47,1173.361328,2016,1
81,5618,9902971.71,587.504254,2016,1
82,8130,14114316.88,578.669053,2016,1
83,2549,14276934.34,1866.509915,2016,1
84,25289,72080287.01,950.062436,2016,1
85,1499,2577344.46,572.997879,2016,1
99,304413,661135846.33,723.946137,2016,1
0,218,702912.31,1073.148564,2017,1
1,58072,120129606.27,689.54405,2017,1
2,14411,30097651.75,696.173102,2017,1
3,500,833353.3,555.198734,2017,1
4,9929,46162609.27,1549.756916,2017,1
5,538,1469994.43,910.213269,2017,1
6,6708,31752709.03,1577.695966,2017,1
7,108,296827.82,913.316369,2017,1
8,333,599912.53,599.91253,2017,1
9,110,302611.68,911.480963,2017,1
10,2258,5732335.03,846.226015,2017,1
11,134,232214.37,574.788044,2017,1
12,742,2188092.15,982.52903,2017,1
13,13698,27868319.72,678.127304,2017,1
14,4961,10200062.01,685.303816,2017,1
15,6419,12974293.4,673.744269,2017,1
16,3384,8168927.02,804.50335,2017,1
17,8042,16239253.72,673.045993,2017,1
18,2096,6366388.71,1012.466397,2017,1
19,37469,65248011.99,580.457013,2017,1
