Брутен вътрешен продукт;Текущи цени;2013Q4;млн. лв.;22781;
Брутен вътрешен продукт;Текущи цени;2014Q1;млн. лв.;16871;
Брутен вътрешен продукт;Текущи цени;2014Q2;млн. лв.;20141;
Брутен вътрешен продукт;Текущи цени;2014Q3;млн. лв.;23281;
Брутен вътрешен продукт;Текущи цени;2014Q4;млн. лв.;23564;
Брутен вътрешен продукт;Текущи цени;2015Q1;млн. лв.;18239;
Брутен вътрешен продукт;Текущи цени;2015Q2;млн. лв.;22112;
Брутен вътрешен продукт;Текущи цени;2015Q3;млн. лв.;24066;
Брутен вътрешен продукт;Текущи цени;2015Q4;млн. лв.;24916;
Брутен вътрешен продукт;Текущи цени;2016Q1;млн. лв.;19622;
Брутен вътрешен продукт;Текущи цени;2016Q2;млн. лв.;22927;
Брутен вътрешен продукт;Текущи цени;2016Q3;млн. лв.;25820;
Брутен вътрешен продукт;Текущи цени;2016Q4;млн. лв.;26722;
Брутен вътрешен продукт;Текущи цени;2017Q1;млн. лв.;20922;
Брутен вътрешен продукт;Текущи цени;2017Q2;млн. лв.;24895;
Брутен вътрешен продукт;Текущи цени;2017Q3;млн. лв.;27894;
Брутен вътрешен продукт;Текущи цени;2017Q4;млн. лв.;28597;
Брутен вътрешен продукт;Текущи цени;2018Q1;млн. лв.;22257;
Брутен вътрешен продукт;Текущи цени;2018Q2;млн. лв.;26649;
Брутен вътрешен продукт;Текущи цени;2018Q3;млн. лв.;30430;
Брутен вътрешен продукт;Текущи цени;2018Q4;млн. лв.;30359;
Брутен вътрешен продукт;Текущи цени;2019Q1;млн. лв.;24860;
Брутен вътрешен продукт;Текущи цени;2019Q2;млн. лв.;29474;
Брутен вътрешен продукт;Текущи цени;2019Q3;млн. лв.;31652;
Брутен вътрешен продукт;Текущи цени;2019Q4;млн. лв.;32682;
Брутен вътрешен продукт;Текущи цени;2020Q1;млн. лв.;25575;
Брутен вътрешен продукт;Текущи цени;2020Q2;млн. лв.;27395;
Брутен вътрешен продукт;По цени на предходната година;1995Q1;млн. лв.;187;
Брутен вътрешен продукт;По цени на предходната година;1995Q2;млн. лв.;229;
Брутен вътрешен продукт;По цени на предходната година;1995Q3;млн. лв.;280;
Брутен вътрешен продукт;По цени на предходната година;1995Q4;млн. лв.;331;
Брутен вътрешен продукт;По цени на предходната година;1996Q1;млн. лв.;289;
Брутен вътрешен продукт;По цени на предходната година;1996Q2;млн. лв.;309;
Брутен вътрешен продукт;По цени на предходната година;1996Q3;млн. лв.;362;
Брутен вътрешен продукт;По цени на предходната година;1996Q4;млн. лв.;381;
Брутен вътрешен продукт;По цени на предходната година;1997Q1;млн. лв.;395;
Брутен вътрешен продукт;По цени на предходната година;1997Q2;млн. лв.;413;
Брутен вътрешен продукт;По цени на предходната година;1997Q3;млн. лв.;529;
Брутен вътрешен продукт;По цени на предходната година;1997Q4;млн. лв.;540;
Брутен вътрешен продукт;По цени на предходната година;1998Q1;млн. лв.;4427;
Брутен вътрешен продукт;По цени на предходната година;1998Q2;млн. лв.;4286;
Брутен вътрешен продукт;По цени на предходната година;1998Q3;млн. лв.;5490;
Брутен вътрешен продукт;По цени на предходната година;1998Q4;млн. лв.;5645;
Брутен вътрешен продукт;По цени на предходната година;1999Q1;млн. лв.;5361;
Брутен вътрешен продукт;По цени на предходната година;1999Q2;млн. лв.;5379;
Брутен вътрешен продукт;По цени на предходната година;1999Q3;млн. лв.;6829;
Брутен вътрешен продукт;По цени на предходната година;1999Q4;млн. лв.;6700;
Брутен вътрешен продукт;По цени на предходната година;2000Q1;млн. лв.;5662;
Брутен вътрешен продукт;По цени на предходната година;2000Q2;млн. лв.;6027;
Брутен вътрешен продукт;По цени на предходната година;2000Q3;млн. лв.;7260;
Брутен вътрешен продукт;По цени на предходната година;2000Q4;млн. лв.;7292;
Брутен вътрешен продукт;По цени на предходната година;2001Q1;млн. лв.;6277;
Брутен вътрешен продукт;По цени на предходната година;2001Q2;млн. лв.;6679;
Брутен вътрешен продукт;По цени на предходната година;2001Q3;млн. лв.;8098;
Брутен вътрешен продукт;По цени на предходната година;2001Q4;млн. лв.;8144;
Брутен вътрешен продукт;По цени на предходната година;2002Q1;млн. лв.;7025;
Брутен вътрешен продукт;По цени на предходната година;2002Q2;млн. лв.;7534;
Брутен вътрешен продукт;По цени на предходната година;2002Q3;млн. лв.;9108;
Брутен вътрешен продукт;По цени на предходната година;2002Q4;млн. лв.;9164;
Брутен вътрешен продукт;По цени на предходната година;2003Q1;млн. лв.;7691;
Брутен вътрешен продукт;По цени на предходната година;2003Q2;млн. лв.;8219;
Брутен вътрешен продукт;По цени на предходната година;2003Q3;млн. лв.;9804;
Брутен вътрешен продукт;По цени на предходната година;2003Q4;млн. лв.;10110;
Брутен вътрешен продукт;По цени на предходната година;2004Q1;млн. лв.;8241;
Брутен вътрешен продукт;По цени на предходната година;2004Q2;млн. лв.;9007;
Брутен вътрешен продукт;По цени на предходната година;2004Q3;млн. лв.;10796;
Брутен вътрешен продукт;По цени на предходната година;2004Q4;млн. лв.;10953;
Брутен вътрешен продукт;По цени на предходната година;2005Q1;млн. лв.;9406;
Брутен вътрешен продукт;По цени на предходната година;2005Q2;млн. лв.;10297;
Брутен вътрешен продукт;По цени на предходната година;2005Q3;млн. лв.;12062;
Брутен вътрешен продукт;По цени на предходната година;2005Q4;млн. лв.;12383;
Брутен вътрешен продукт;По цени на предходната година;2006Q1;млн. лв.;10530;
Брутен вътрешен продукт;По цени на предходната година;2006Q2;млн. лв.;11750;
Брутен вътрешен продукт;По цени на предходната година;2006Q3;млн. лв.;13740;
Брутен вътрешен продукт;По цени на предходната година;2006Q4;млн. лв.;14196;
Брутен вътрешен продукт;По цени на предходната година;2007Q1;млн. лв.;11985;
Брутен вътрешен продукт;По цени на предходната година;2007Q2;млн. лв.;13613;
Брутен вътрешен продукт;По цени на предходната година;2007Q3;млн. лв.;15422;
Брутен вътрешен продукт;По цени на предходната година;2007Q4;млн. лв.;16103;
Брутен вътрешен продукт;По цени на предходната година;2008Q1;млн. лв.;14328;
Брутен вътрешен продукт;По цени на предходната година;2008Q2;млн. лв.;16167;
Брутен вътрешен продукт;По цени на предходната година;2008Q3;млн. лв.;18311;
Брутен вътрешен продукт;По цени на предходната година;2008Q4;млн. лв.;18510;
Брутен вътрешен продукт;По цени на предходната година;2009Q1;млн. лв.;15104;
Брутен вътрешен продукт;По цени на предходната година;2009Q2;млн. лв.;17089;
Брутен вътрешен продукт;По цени на предходната година;2009Q3;млн. лв.;19244;
Брутен вътрешен продукт;По цени на предходната година;2009Q4;млн. лв.;18861;
Брутен вътрешен продукт;По цени на предходната година;2010Q1;млн. лв.;15049;
Брутен вътрешен продукт;По цени на предходната година;2010Q2;млн. лв.;18129;
Брутен вътрешен продукт;По цени на предходната година;2010Q3;млн. лв.;19991;
Брутен вътрешен продукт;По цени на предходната година;2010Q4;млн. лв.;20396;
Брутен вътрешен продукт;По цени на предходната година;2011Q1;млн. лв.;15562;
Брутен вътрешен продукт;По цени на предходната година;2011Q2;млн. лв.;19091;
Брутен вътрешен продукт;По цени на предходната година;2011Q3;млн. лв.;20821;
