;;;брой лица в хиляди;
Общо;BG411;2019Q3;705.5;
Общо;BG425;2003Q1;52.7;
Общо;BG425;2003Q2;65.4;
Общо;BG425;2003Q3;68.8;
Общо;BG425;2003Q4;62.6;
Общо;BG425;2004Q1;54.2;
Общо;BG425;2004Q2;69.2;
Общо;BG425;2004Q3;69.1;
Общо;BG425;2004Q4;51.9;
Общо;BG425;2005Q1;47.2;
Общо;BG425;2005Q2;61.7;
Общо;BG425;2005Q3;61.6;
Общо;BG425;2005Q4;58.1;
Общо;BG425;2006Q1;46.3;
Общо;BG425;2006Q2;58.1;
Общо;BG425;2006Q3;61.3;
Общо;BG425;2006Q4;56.5;
Общо;BG425;2007Q1;43.4;
Общо;BG425;2007Q2;53.8;
Общо;BG425;2007Q3;61.3;
Общо;BG425;2007Q4;58.0;
Общо;BG425;2008Q1;51.8;
Общо;BG425;2008Q2;59.6;
Общо;BG425;2008Q3;58.8;
Общо;BG425;2008Q4;55.6;
Общо;BG425;2009Q1;51.4;
Общо;BG425;2009Q2;57.5;
Общо;BG425;2009Q3;56.0;
Общо;BG425;2009Q4;55.5;
Общо;BG425;2010Q1;46.3;
Общо;BG425;2010Q2;52.5;
Общо;BG425;2010Q3;51.9;
Общо;BG425;2010Q4;48.9;
Общо;BG425;2011Q1;46.4;
Общо;BG425;2011Q2;56.9;
Общо;BG425;2011Q3;60.4;
Общо;BG425;2011Q4;54.5;
Общо;BG425;2012Q1;49.0;
Общо;BG425;2012Q2;60.6;
Общо;BG425;2012Q3;63.8;
Общо;BG425;2012Q4;57.0;
Общо;BG425;2013Q1;52.5;
Общо;BG425;2013Q2;65.2;
Общо;BG425;2013Q3;66.1;
Общо;BG425;2013Q4;60.2;
Общо;BG425;2014Q1;54.3;
Общо;BG425;2014Q2;66.9;
Общо;BG425;2014Q3;71.5;
Общо;BG425;2014Q4;62.3;
Общо;BG425;2015Q1;51.6;
Общо;BG425;2015Q2;64.8;
Общо;BG425;2015Q3;68.3;
Общо;BG425;2015Q4;60.7;
Общо;BG425;2016Q1;56.8;
Общо;BG425;2016Q2;64.2;
Общо;BG425;2016Q3;64.9;
Общо;BG425;2016Q4;59.3;
Общо;BG425;2017Q1;56.7;
Общо;BG425;2017Q2;62.2;
Общо;BG425;2017Q3;63.8;
Общо;BG425;2017Q4;63.2;
Общо;BG425;2018Q1;58.2;
Общо;BG425;2018Q2;57.1;
Общо;BG425;2018Q3;63.1;
Общо;BG425;2018Q4;60.5;
Общо;BG425;2019Q1;63.5;
Общо;BG425;2019Q2;67.2;
Общо;BG425;2019Q3;68.0;
Общо;BG423;2003Q1;79.5;
Общо;BG423;2003Q2;100.1;
Общо;BG423;2003Q3;111.9;
Общо;BG423;2003Q4;89.0;
Общо;BG423;2004Q1;80.6;
Общо;BG423;2004Q2;110.5;
Общо;BG423;2004Q3;117.8;
Общо;BG423;2004Q4;98.4;
Общо;BG423;2005Q1;94.8;
Общо;BG423;2005Q2;115.8;
Общо;BG423;2005Q3;124.2;
Общо;BG423;2005Q4;111.1;
Общо;BG423;2006Q1;95.2;
Общо;BG423;2006Q2;117.6;
Общо;BG423;2006Q3;128.8;
Общо;BG423;2006Q4;120.1;
Общо;BG423;2007Q1;122.8;
Общо;BG423;2007Q2;134.7;
Общо;BG423;2007Q3;136.6;
Общо;BG423;2007Q4;125.5;
Общо;BG423;2008Q1;126.0;
Общо;BG423;2008Q2;139.8;
Общо;BG423;2008Q3;132.5;
Общо;BG423;2008Q4;121.4;
Общо;BG423;2009Q1;117.0;
Общо;BG423;2009Q2;128.6;
Общо;BG423;2009Q3;132.4;
Общо;BG423;2009Q4;120.8;
Общо;BG423;2010Q1;103.5;
Общо;BG423;2010Q2;110.8;
Общо;BG423;2010Q3;113.5;
Общо;BG423;2010Q4;111.9;
Общо;BG423;2011Q1;101.9;
Общо;BG423;2011Q2;100.2;
Общо;BG423;2011Q3;103.7;
Общо;BG423;2011Q4;103.1;
Общо;BG423;2012Q1;91.6;
Общо;BG423;2012Q2;93.4;
Общо;BG423;2012Q3;102.6;
Общо;BG423;2012Q4;100.1;
Общо;BG423;2013Q1;94.4;
Общо;BG423;2013Q2;105.2;
Общо;BG423;2013Q3;108.2;
Общо;BG423;2013Q4;101.0;
Общо;BG423;2014Q1;101.3;
Общо;BG423;2014Q2;109.5;
Общо;BG423;2014Q3;116.0;
Общо;BG423;2014Q4;105.1;
Общо;BG423;2015Q1;104.0;
Общо;BG423;2015Q2;103.9;
Общо;BG423;2015Q3;109.2;
Общо;BG423;2015Q4;106.4;
Общо;BG423;2016Q1;104.9;
Общо;BG423;2016Q2;109.6;
Общо;BG423;2016Q3;104.6;
Общо;BG423;2016Q4;101.7;
Общо;BG423;2017Q1;102.6;
Общо;BG423;2017Q2;113.2;
Общо;BG423;2017Q3;117.9;
Общо;BG423;2017Q4;111.7;
Общо;BG423;2018Q1;105.0;
Общо;BG423;2018Q2;112.0;
Общо;BG423;2018Q3;113.9;
Общо;BG423;2018Q4;103.8;
Общо;BG423;2019Q1;105.7;
Общо;BG423;2019Q2;121.9;
Общо;BG423;2019Q3;121.3;
Общо;BG421;2003Q1;258.4;
Общо;BG421;2003Q2;264.1;
Общо;BG421;2003Q3;272.2;
Общо;BG421;2003Q4;263.7;
Общо;BG421;2004Q1;271.2;
Общо;BG421;2004Q2;280.3;
Общо;BG421;2004Q3;276.6;
Общо;BG421;2004Q4;261.7;
Общо;BG421;2005Q1;254.8;
Общо;BG421;2005Q2;268.7;
Общо;BG421;2005Q3;273.4;
Общо;BG421;2005Q4;255.9;
Общо;BG421;2006Q1;265.9;
Общо;BG421;2006Q2;275.0;
Общо;BG421;2006Q3;278.0;
Общо;BG421;2006Q4;276.0;
Общо;BG421;2007Q1;292.6;
Общо;BG421;2007Q2;304.8;
Общо;BG421;2007Q3;296.6;
Общо;BG421;2007Q4;297.1;
Общо;BG421;2008Q1;306.3;
Общо;BG421;2008Q2;312.3;
Общо;BG421;2008Q3;313.2;
Общо;BG421;2008Q4;306.1;
Общо;BG421;2009Q1;296.8;
Общо;BG421;2009Q2;304.2;
Общо;BG421;2009Q3;297.3;
Общо;BG421;2009Q4;281.8;
Общо;BG421;2010Q1;274.7;
Общо;BG421;2010Q2;285.0;
Общо;BG421;2010Q3;280.3;
Общо;BG421;2010Q4;274.8;
Общо;BG421;2011Q1;264.1;
Общо;BG421;2011Q2;267.5;
Общо;BG421;2011Q3;278.2;
Общо;BG421;2011Q4;285.9;
Общо;BG421;2012Q1;273.1;
Общо;BG421;2012Q2;274.8;
Общо;BG421;2012Q3;279.7;
Общо;BG421;2012Q4;282.1;
Общо;BG421;2013Q1;277.0;
Общо;BG421;2013Q2;277.5;
Общо;BG421;2013Q3;284.8;
Общо;BG421;2013Q4;283.7;
Общо;BG421;2014Q1;280.0;
Общо;BG421;2014Q2;288.9;
Общо;BG421;2014Q3;288.0;
Общо;BG421;2014Q4;282.5;
Общо;BG421;2015Q1;279.3;
Общо;BG421;2015Q2;273.0;
Общо;BG421;2015Q3;279.6;
Общо;BG421;2015Q4;293.3;
Общо;BG421;2016Q1;279.8;
Общо;BG421;2016Q2;277.6;
Общо;BG421;2016Q3;279.0;
Общо;BG421;2016Q4;279.4;
Общо;BG421;2017Q1;301.1;
Общо;BG421;2017Q2;317.2;
Общо;BG421;2017Q3;326.6;
Общо;BG421;2017Q4;322.8;
Общо;BG421;2018Q1;306.2;
Общо;BG421;2018Q2;307.1;
Общо;BG421;2018Q3;323.2;
Общо;BG421;2018Q4;317.8;
Общо;BG421;2019Q1;310.2;
Общо;BG421;2019Q2;312.9;
Общо;BG421;2019Q3;323.8;
Общо;BG424;2003Q1;48.9;
Общо;BG424;2003Q2;48.5;
Общо;BG424;2003Q3;52.4;
Общо;BG424;2003Q4;53.2;
Общо;BG424;2004Q1;50.9;
Общо;BG424;2004Q2;53.8;
Общо;BG424;2004Q3;52.2;
Общо;BG424;2004Q4;50.8;
Общо;BG424;2005Q1;50.2;
Общо;BG424;2005Q2;54.5;
Общо;BG424;2005Q3;53.1;
Общо;BG424;2005Q4;50.1;
Общо;BG424;2006Q1;51.6;
Общо;BG424;2006Q2;53.5;
Общо;BG424;2006Q3;57.8;
Общо;BG424;2006Q4;58.3;
Общо;BG424;2007Q1;56.3;
Общо;BG424;2007Q2;58.8;
Общо;BG424;2007Q3;59.7;
Общо;BG424;2007Q4;59.6;
Общо;BG424;2008Q1;58.4;
Общо;BG424;2008Q2;61.0;
Общо;BG424;2008Q3;63.5;
Общо;BG424;2008Q4;61.5;
Общо;BG424;2009Q1;57.4;
Общо;BG424;2009Q2;54.3;
Общо;BG424;2009Q3;52.8;
Общо;BG424;2009Q4;55.0;
Общо;BG424;2010Q1;48.9;
Общо;BG424;2010Q2;45.9;
Общо;BG424;2010Q3;49.1;
Общо;BG424;2010Q4;49.8;
Общо;BG424;2011Q1;44.0;
Общо;BG424;2011Q2;40.8;
Общо;BG424;2011Q3;45.3;
Общо;BG424;2011Q4;43.7;
Общо;BG424;2012Q1;43.5;
Общо;BG424;2012Q2;45.0;
Общо;BG424;2012Q3;47.8;
Общо;BG424;2012Q4;49.4;
Общо;BG424;2013Q1;48.1;
Общо;BG424;2013Q2;48.6;
Общо;BG424;2013Q3;49.3;
Общо;BG424;2013Q4;48.8;
Общо;BG424;2014Q1;47.0;
Общо;BG424;2014Q2;48.5;
Общо;BG424;2014Q3;51.2;
Общо;BG424;2014Q4;49.2;
Общо;BG424;2015Q1;49.4;
Общо;BG424;2015Q2;48.4;
Общо;BG424;2015Q3;50.1;
Общо;BG424;2015Q4;50.5;
Общо;BG424;2016Q1;48.3;
Общо;BG424;2016Q2;46.4;
Общо;BG424;2016Q3;49.8;
Общо;BG424;2016Q4;50.4;
Общо;BG424;2017Q1;50.6;
Общо;BG424;2017Q2;50.4;
Общо;BG424;2017Q3;51.5;
Общо;BG424;2017Q4;51.4;
Общо;BG424;2018Q1;48.4;
Общо;BG424;2018Q2;47.4;
Общо;BG424;2018Q3;49.4;
Общо;BG424;2018Q4;49.6;
Общо;BG424;2019Q1;46.8;
Общо;BG424;2019Q2;45.8;
Общо;BG424;2019Q3;46.6;
Общо;BG422;2003Q1;90.7;
Общо;BG422;2003Q2;94.9;
Общо;BG422;2003Q3;99.1;
Общо;BG422;2003Q4;93.5;
Общо;BG422;2004Q1;90.9;
Общо;BG422;2004Q2;95.3;
Общо;BG422;2004Q3;99.8;
Общо;BG422;2004Q4;94.7;
Общо;BG422;2005Q1;97.5;
Общо;BG422;2005Q2;108.1;
Общо;BG422;2005Q3;102.7;
Общо;BG422;2005Q4;96.2;
Общо;BG422;2006Q1;99.3;
Общо;BG422;2006Q2;112.7;
Общо;BG422;2006Q3;109.6;
Общо;BG422;2006Q4;103.8;
Общо;BG422;2007Q1;101.1;
Общо;BG422;2007Q2;102.9;
Общо;BG422;2007Q3;107.0;
Общо;BG422;2007Q4;109.6;
Общо;BG422;2008Q1;108.0;
Общо;BG422;2008Q2;113.8;
Общо;BG422;2008Q3;115.1;
Общо;BG422;2008Q4;108.8;
Общо;BG422;2009Q1;101.5;
Общо;BG422;2009Q2;111.0;
Общо;BG422;2009Q3;115.9;
Общо;BG422;2009Q4;109.6;
Общо;BG422;2010Q1;99.4;
Общо;BG422;2010Q2;104.2;
Общо;BG422;2010Q3;110.0;
Общо;BG422;2010Q4;100.7;
Общо;BG422;2011Q1;87.2;
Общо;BG422;2011Q2;88.1;
Общо;BG422;2011Q3;96.2;
Общо;BG422;2011Q4;89.1;
Общо;BG422;2012Q1;79.0;
Общо;BG422;2012Q2;87.8;
Общо;BG422;2012Q3;95.1;
Общо;BG422;2012Q4;94.6;
Общо;BG422;2013Q1;85.3;
Общо;BG422;2013Q2;92.2;
Общо;BG422;2013Q3;99.3;
Общо;BG422;2013Q4;96.6;
Общо;BG422;2014Q1;97.3;
Общо;BG422;2014Q2;100.0;
Общо;BG422;2014Q3;97.0;
Общо;BG422;2014Q4;96.6;
Общо;BG422;2015Q1;95.6;
Общо;BG422;2015Q2;102.2;
Общо;BG422;2015Q3;105.2;
Общо;BG422;2015Q4;94.3;
Общо;BG422;2016Q1;90.7;
Общо;BG422;2016Q2;98.9;
Общо;BG422;2016Q3;109.0;
Общо;BG422;2016Q4;97.8;
Общо;BG422;2017Q1;93.3;
Общо;BG422;2017Q2;97.5;
Общо;BG422;2017Q3;97.7;
Общо;BG422;2017Q4;98.4;
Общо;BG422;2018Q1;94.9;
Общо;BG422;2018Q2;96.8;
Общо;BG422;2018Q3;100.2;
Общо;BG422;2018Q4;98.1;
Общо;BG422;2019Q1;100.4;
Общо;BG422;2019Q2;104.3;
Общо;BG422;2019Q3;106.7;
