BG313 Враца;2009IV;48504;
BG313 Враца;2009V;47903;
BG313 Враца;2009VI;47206;
BG313 Враца;2009VII;46845;
BG313 Враца;2009VIII;46407;
BG313 Враца;2009IX;46035;
BG313 Враца;2009X;47136;
BG313 Враца;2009XI;46016;
BG313 Враца;2009XII;45075;
BG313 Враца;2010I;46108;
BG313 Враца;2010II;45570;
BG313 Враца;2010III;45496;
BG313 Враца;2010IV;44730;
BG313 Враца;2010V;44543;
BG313 Враца;2010VI;44140;
BG313 Враца;2010VII;43982;
BG313 Враца;2010VIII;44114;
BG313 Враца;2010IX;43828;
BG313 Враца;2010X;43957;
BG313 Враца;2010XI;43426;
BG313 Враца;2010XII;42594;
BG313 Враца;2011I;42725;
BG313 Враца;2011II;42862;
BG313 Враца;2011III;42481;
BG313 Враца;2011IV;42009;
BG313 Враца;2011V;42296;
BG313 Враца;2011VI;42486;
BG313 Враца;2011VII;42124;
BG313 Враца;2011VIII;41833;
BG313 Враца;2011IX;41681;
BG313 Враца;2011X;41931;
BG313 Враца;2011XI;42053;
BG313 Враца;2011XII;41182;
BG313 Враца;2012I;41725;
BG313 Враца;2012II;41517;
BG313 Враца;2012III;41498;
BG313 Враца;2012IV;41033;
BG313 Враца;2012V;41058;
BG313 Враца;2012VI;41133;
BG313 Враца;2012VII;41224;
BG313 Враца;2012VIII;42460;
BG313 Враца;2012IX;42349;
BG313 Враца;2012X;42120;
BG313 Враца;2012XI;41867;
BG313 Враца;2012XII;41466;
BG313 Враца;2013I;42104;
BG313 Враца;2013II;42201;
BG313 Враца;2013III;41717;
BG313 Враца;2013IV;41896;
BG313 Враца;2013V;41660;
BG313 Враца;2013VI;41821;
BG313 Враца;2013VII;42487;
BG313 Враца;2013VIII;41660;
BG313 Враца;2013IX;42042;
BG313 Враца;2013X;42159;
BG313 Враца;2013XI;41506;
BG313 Враца;2013XII;40783;
BG313 Враца;2014I;40858;
BG313 Враца;2014II;41041;
BG313 Враца;2014III;40570;
BG313 Враца;2014IV;39957;
BG313 Враца;2014V;40527;
BG313 Враца;2014VI;40838;
BG313 Враца;2014VII;40782;
BG313 Враца;2014VIII;39973;
BG313 Враца;2014IX;39372;
BG313 Враца;2014X;39371;
BG313 Враца;2014XI;39305;
BG313 Враца;2014XII;38927;
BG313 Враца;2015I;38932;
BG313 Враца;2015II;38863;
BG313 Враца;2015III;38709;
BG313 Враца;2015IV;38565;
BG313 Враца;2015V;38895;
BG313 Враца;2015VI;39137;
BG313 Враца;2015VII;39537;
BG313 Враца;2015VIII;39095;
BG313 Враца;2015IX;38949;
BG313 Враца;2015X;38289;
BG313 Враца;2015XI;38128;
BG313 Враца;2015XII;37433;
BG313 Враца;2016I;38022;
BG313 Враца;2016II;38075;
BG313 Враца;2016III;38017;
BG313 Враца;2016IV;38613;
BG313 Враца;2016V;38297;
BG313 Враца;2016VI;38342;
BG313 Враца;2016VII;38506;
BG313 Враца;2016VIII;37828;
BG313 Враца;2016IX;37913;
BG313 Враца;2016X;37875;
BG313 Враца;2016XI;37713;
BG313 Враца;2016XII;37561;
BG313 Враца;2017I;37733;
BG313 Враца;2017II;37539;
BG313 Враца;2017III;37392;
BG313 Враца;2017IV;37921;
BG313 Враца;2017V;38067;
BG313 Враца;2017VI;38271;
BG313 Враца;2017VII;38369;
BG313 Враца;2017VIII;38239;
BG313 Враца;2017IX;38240;
BG313 Враца;2017X;38713;
BG313 Враца;2017XI;38350;
BG313 Враца;2017XII;37812;
BG313 Враца;2018I;36948;
BG313 Враца;2018II;37122;
BG313 Враца;2018III;37373;
BG313 Враца;2018IV;38018;
BG313 Враца;2018V;37997;
BG313 Враца;2018VI;37925;
BG313 Враца;2018VII;38058;
BG313 Враца;2018VIII;37793;
BG313 Враца;2018IX;37514;
BG313 Враца;2018X;37561;
BG313 Враца;2018XI;37667;
BG313 Враца;2018XII;37216;
BG313 Враца;2019I;36137;
BG313 Враца;2019II;36126;
BG313 Враца;2019III;36612;
BG313 Враца;2019IV;36502;
BG313 Враца;2019V;36344;
BG313 Враца;2019VI;36333;
BG313 Враца;2019VII;36341;
BG313 Враца;2019VIII;35999;
BG313 Враца;2019IX;36163;
BG313 Враца;2019X;36467;
BG313 Враца;2019XI;36481;
BG313 Враца;2019XII;36262;
BG313 Враца;2020I;36120;
BG313 Враца;2020II;35938;
BG313 Враца;2020III;35672;
BG313 Враца;2020IV;35442;
BG313 Враца;2020V;35284;
BG313 Враца;2020VI;35459;
BG313 Враца;2020VII;35923;
BG313 Враца;2020VIII;35704;
BG313 Враца;2020IX;35816;
BG315 Ловеч;2008I;42478;
BG315 Ловеч;2008II;42330;
BG315 Ловеч;2008III;42293;
BG315 Ловеч;2008IV;40070;
BG315 Ловеч;2008V;39764;
BG315 Ловеч;2008VI;39927;
BG315 Ловеч;2008VII;43645;
BG315 Ловеч;2008VIII;43299;
BG315 Ловеч;2008IX;42941;
BG315 Ловеч;2008X;42332;
BG315 Ловеч;2008XI;42187;
BG315 Ловеч;2008XII;41206;
BG315 Ловеч;2009I;40544;
BG315 Ловеч;2009II;40361;
BG315 Ловеч;2009III;39423;
BG315 Ловеч;2009IV;39293;
BG315 Ловеч;2009V;38429;
BG315 Ловеч;2009VI;38307;
BG315 Ловеч;2009VII;38324;
BG315 Ловеч;2009VIII;37678;
