"oblast","ikonaktiwni","regbezr","postypilinarab","regbezrdo29","regbezrnad1g","zaqwenimesta","swobodnimesta","bezrzamqsto","rawnishtenabezr","period"
"Бургас","188448","12183","901","1766","2024","661","1401","7",6.46,"201610"
"Варна","222697","11882","1211","1795","3100","752","1395","7",5.34,"201610"
"Велико Търново","108453","7803","850","1017","2876","606","1255","4",7.19,"201610"
"Видин","37828","7283","456","1095","4096","376","284","11",19.25,"201610"
"Враца","74912","11931","814","1873","6328","634","736","10",15.93,"201610"
"Габрово","54178","2468","374","302","528","375","518","3",4.56,"201610"
"Добрич","79873","6394","610","790","2038","428","464","8",8.01,"201610"
"Кърджали","60746","6809","505","671","3265","512","1011","6",11.21,"201610"
"Кюстендил","56911","5264","835","879","1858","774","693","4",9.25,"201610"
"Ловеч","55868","6913","596","995","3346","420","516","8",12.37,"201610"
"Монтана","60045","9996","540","1499","5512","416","205","10",16.65,"201610"
"Пазарджик","115297","12913","829","1771","6167","871","782","9",11.2,"201610"
"Перник","60837","3974","395","514","1169","257","179","10",6.53,"201610"
"Плевен","107641","13245","897","1823","6511","582","1845","6",12.3,"201610"
"Пловдив","302681","17569","1557","3200","5832","1748","2130","5",5.8,"201610"
"Разград","52154","6528","396","659","3427","216","346","11",12.52,"201610"
"Русе","102880","6685","552","752","2675","650","1797","2",6.5,"201610"
"Силистра","45518","6102","413","682","2953","266","517","7",13.41,"201610"
"Сливен","78097","10515","451","1760","5456","471","651","11",13.46,"201610"
"Смолян","58440","7615","539","726","2982","604","300","11",13.03,"201610"
"гр. София","665475","15678","2380","2182","1042","2446","4127","3",2.36,"201610"
"Софийска","109181","10309","781","1760","4707","820","1314","5",9.44,"201610"
"Стара Загора","147697","8993","910","1438","3169","745","874","6",6.09,"201610"
"Търговище","49168","6964","398","690","3986","348","228","12",14.16,"201610"
"Хасково","104465","9412","637","1238","3100","409","837","9",9.01,"201610"
"Шумен","76138","10168","618","1273","5338","444","576","10",13.35,"201610"
"Ямбол","55779","5238","412","740","2375","298","346","9",9.39,"201610"
"Благоевград","151333","16954","1407","2818","6905","1360","2744","5",11.2,"201611"
"Бургас","188448","13134","1131","1939","1971","761","1184","7",6.97,"201611"
"Варна","222697","12540","1134","1909","3044","549","1217","7",5.63,"201611"
"Велико Търново","108453","8062","890","1109","2776","593","1008","5",7.43,"201611"
"Видин","37828","7262","239","1086","4206","251","374","15",19.2,"201611"
"Враца","74912","11756","675","1866","6413","643","785","9",15.69,"201611"
"Габрово","54178","2493","303","343","508","293","392","4",4.6,"201611"
"Добрич","79873","7035","529","879","2044","340","498","10",8.81,"201611"
"Кърджали","60746","6775","437","692","3075","435","890","5",11.15,"201611"
"Кюстендил","56911","5126","824","854","1815","606","489","5",9.01,"201611"
"Ловеч","55868","6943","585","1035","3335","455","518","8",12.43,"201611"
"Монтана","60045","9864","571","1476","5647","477","220","16",16.43,"201611"
"Пазарджик","115297","13012","878","1866","6089","728","694","10",11.29,"201611"
"Перник","60837","3714","465","495","1063","212","91","11",6.1,"201611"
"Плевен","107641","13104","1028","1784","6471","742","1869","6",12.17,"201611"
"Пловдив","302681","17552","1490","3238","5657","1068","1537","6",5.8,"201611"
"Разград","52154","6490","316","673","3339","246","380","12",12.44,"201611"
"Русе","102880","6711","518","784","2678","561","1530","3",6.52,"201611"
"Силистра","45518","6239","363","741","2992","258","534","9",13.71,"201611"
"Сливен","78097","10411","701","1756","5380","430","589","11",13.33,"201611"
"Смолян","58440","7453","800","772","2979","583","190","10",12.75,"201611"
"гр. София","665475","15296","2333","2177","918","2725","3956","3",2.3,"201611"
"Софийска","109181","9838","1017","1674","4428","898","1276","5",9.01,"201611"
"Стара Загора","147697","8873","834","1481","2963","885","940","6",6.01,"201611"
"Търговище","49168","7051","346","736","3992","342","231","13",14.34,"201611"
"Хасково","104465","9042","736","1234","2850","310","549","9",8.66,"201611"
"Шумен","76138","10119","520","1295","5313","320","659","12",13.29,"201611"
"Ямбол","55779","5131","371","751","2313","412","230","8",9.2,"201611"
"Благоевград","151333","16535","1060","2703","6617","658","1158","5",10.93,"201612"
"Бургас","188448","13374","679","1946","1934","622","1080","8",7.1,"201612"
"Варна","222697","12952","797","1957","3028","259","1022","10",5.82,"201612"
"Велико Търново","108453","8435","581","1158","2717","386","846","7",7.78,"201612"
