"oblast","ikonaktiwni","regbezr","postypilinarab","regbezrdo29","regbezrnad1g","zaqwenimesta","swobodnimesta","bezrzamqsto","rawnishtenabezr","period"
"Кърджали","60746","6643","535","577","2944","494","591","6",10.94,"201706"
"Кюстендил","56911","5243","782","788","1725","731","1017","4",9.21,"201706"
"Ловеч","55868","6299","601","939","2773","287","624","7",11.27,"201706"
"Монтана","60045","8971","570","1299","5138","380","403","9",14.94,"201706"
"Пазарджик","115297","11292","883","1496","5162","772","829","7",9.79,"201706"
"Перник","60837","3479","351","435","897","308","298","7",5.72,"201706"
"Плевен","107641","11601","967","1546","5660","895","1522","6",10.78,"201706"
"Пловдив","302681","16563","1529","2824","4765","2853","2868","4",5.47,"201706"
"Разград","52154","6050","390","716","3171","263","234","14",11.6,"201706"
"Русе","102880","6292","611","715","2506","783","1543","3",6.12,"201706"
"Силистра","45518","5878","348","739","2988","413","776","6",12.91,"201706"
"Сливен","78097","9325","782","1454","4709","604","322","11",11.94,"201706"
"Смолян","58440","5801","906","478","2382","778","664","5",9.93,"201706"
"Софийска","109181","8929","898","1518","3723","662","828","5",8.18,"201706"
"гр. София","665475","14395","2242","1913","709","2257","3279","3",2.16,"201706"
"Стара Загора","147697","7932","918","1332","2425","749","833","5",5.37,"201706"
"Търговище","49168","6617","397","695","3835","439","444","10",13.46,"201706"
"Хасково","104465","8042","664","1076","2394","826","988","6",7.7,"201706"
"Шумен","76138","9265","628","1128","4790","757","554","9",12.17,"201706"
"Ямбол","55779","4597","448","676","1976","434","446","7",8.24,"201706"
"Благоевград","151333","14353","1086","2110","5458","1040","1719","10",9.48,"201707"
"Бургас","188448","6680","763","957","1621","806","918","9",3.54,"201707"
"Варна","222697","8539","1041","1177","2309","764","1605","9",3.83,"201707"
"Велико Търново","108453","6808","747","893","2272","609","888","8",6.28,"201707"
"Видин","37828","6480","264","868","3858","191","291","16",17.13,"201707"
"Враца","74912","10717","498","1640","5713","349","443","16",14.31,"201707"
"Габрово","54178","2257","343","305","365","323","278","6",4.17,"201707"
"Добрич","79873","4057","656","492","1472","515","489","12",5.08,"201707"
"Кърджали","60746","6644","303","607","2861","306","612","12",10.94,"201707"
"Кюстендил","56911","5167","727","749","1623","481","816","9",9.08,"201707"
"Ловеч","55868","6312","416","949","2735","352","359","11",11.3,"201707"
"Монтана","60045","8521","572","1190","4921","344","313","28",14.19,"201707"
"Пазарджик","115297","11185","595","1470","5030","670","642","15",9.7,"201707"
"Перник","60837","3415","376","447","851","224","180","18",5.61,"201707"
"Плевен","107641","11416","820","1491","5435","590","947","7",10.61,"201707"
"Пловдив","302681","16357","1544","2835","4676","2065","2363","9",5.4,"201707"
"Разград","52154","6041","293","725","3113","293","369","18",11.58,"201707"
"Русе","102880","6244","432","702","2434","574","1098","4",6.07,"201707"
"Силистра","45518","5818","352","701","2947","281","369","12",12.78,"201707"
"Сливен","78097","9113","506","1393","4584","583","445","13",11.67,"201707"
"Смолян","58440","5704","582","441","2280","432","414","13",9.76,"201707"
"Софийска","109181","8804","750","1508","3556","677","849","6",8.06,"201707"
"гр. София","665475","14411","2092","1904","692","2577","3981","3",2.17,"201707"
"Стара Загора","147697","7712","769","1309","2335","914","979","10",5.22,"201707"
"Търговище","49168","6536","341","684","3782","553","693","20",13.29,"201707"
"Хасково","104465","7788","652","999","2211","440","825","16",7.46,"201707"
"Шумен","76138","9322","502","1164","4705","384","504","22",12.24,"201707"
"Ямбол","55779","4447","296","643","1900","500","453","17",7.97,"201707"
"Благоевград","151333","14526","888","2155","5399","1156","1684","6",9.6,"201708"
"Бургас","188448","6728","617","1033","1559","1347","1009","3",3.57,"201708"
"Варна","222697","8426","995","1162","2257","1250","1718","3",3.78,"201708"
"Велико Търново","108453","6633","814","879","2208","787","869","5",6.12,"201708"
"Видин","37828","6465","294","878","3849","415","448","10",17.09,"201708"
"Враца","74912","10670","454","1657","5704","705","764","10",14.24,"201708"
"Габрово","54178","2258","297","304","368","343","224","4",4.17,"201708"
"Добрич","79873","4001","446","441","1419","623","440","4",5.01,"201708"
"Кърджали","60746","6634","346","622","2741","590","717","6",10.92,"201708"
"Кюстендил","56911","5187","603","722","1634","480","812","5",9.11,"201708"
"Ловеч","55868","6305","496","1000","2689","676","554","7",11.29,"201708"
"Монтана","60045","8418","454","1194","4864","593","554","10",14.02,"201708"
"Пазарджик","115297","11184","663","1528","4971","1260","1148","7",9.7,"201708"
"Перник","60837","3392","368","464","832","322","208","8",5.58,"201708"
"Плевен","107641","11152","783","1416","5210","885","1037","7",10.36,"201708"
"Пловдив","302681","16304","1287","2895","4595","2374","2394","4",5.39,"201708"
"Разград","52154","5995","364","703","3144","358","374","9",11.49,"201708"
"Русе","102880","6267","400","712","2460","695","1169","4",6.09,"201708"
"Силистра","45518","5684","383","646","2950","343","362","9",12.49,"201708"
"Сливен","78097","8863","578","1356","4331","672","468","9",11.35,"201708"
"Смолян","58440","5634","574","382","2230","524","356","7",9.64,"201708"
"Софийска","109181","8518","831","1446","3347","1018","892","5",7.8,"201708"
"гр. София","665475","14519","2052","1959","627","2320","2693","3",2.18,"201708"
"Стара Загора","147697","7666","707","1315","2234","997","1044","4",5.19,"201708"
"Търговище","49168","6276","481","493","3657","348","372","7",12.76,"201708"
"Хасково","104465","7687","642","959","2149","708","837","6",7.36,"201708"
"Шумен","76138","8859","861","1130","4551","835","474","8",11.64,"201708"
"Ямбол","55779","4185","376","609","1748","422","443","6",7.5,"201708"
"Благоевград","151333","14672","1265","2305","5363","1363","1503","5",9.7,"201709"
"Бургас","188448","7291","883","1141","1510","1004","911","4",3.87,"201709"
"Варна","222697","8526","1058","1171","2196","958","1694","4",3.83,"201709"
"Велико Търново","108453","6437","997","894","2104","998","960","4",5.94,"201709"
"Видин","37828","6038","749","883","3464","743","512","6",15.96,"201709"
"Враца","74912","10120","1013","1621","5405","954","731","7",13.51,"201709"
"Габрово","54178","2255","314","310","358","347","236","5",4.16,"201709"
"Добрич","79873","4200","457","492","1380","531","344","5",5.26,"201709"
"Кърджали","60746","6330","726","629","2562","722","648","5",10.42,"201709"
"Кюстендил","56911","5126","676","724","1556","570","766","4",9.01,"201709"
"Ловеч","55868","6073","670","918","2665","527","540","6",10.87,"201709"
"Монтана","60045","7852","990","1132","4458","978","565","6",13.08,"201709"
"Пазарджик","115297","11070","677","1573","4840","906","1127","6",9.6,"201709"
"Перник","60837","3222","439","437","819","313","200","7",5.3,"201709"
"Плевен","107641","11021","912","1454","5179","834","1043","7",10.24,"201709"
"Пловдив","302681","15788","1643","2796","4559","1894","1690","4",5.22,"201709"
"Разград","52154","5759","503","603","3048","340","264","9",11.04,"201709"
"Русе","102880","6086","615","719","2391","651","1066","4",5.92,"201709"
"Силистра","45518","5619","381","656","2873","333","435","9",12.34,"201709"
"Сливен","78097","8601","752","1307","4138","457","485","11",11.01,"201709"
"Смолян","58440","5757","507","430","2197","527","302","7",9.85,"201709"
"Софийска","109181","8187","831","1396","3185","1149","898","5",7.5,"201709"
"гр. София","665475","14054","2374","1897","590","2261","2796","3",2.11,"201709"
"Стара Загора","147697","7359","1010","1287","2157","923","978","5",4.98,"201709"
"Търговище","49168","5922","465","436","3444","379","310","9",12.04,"201709"
"Хасково","104465","7377","870","853","2087","835","684","5",7.06,"201709"
"Шумен","76138","8615","629","1134","4478","757","615","8",11.31,"201709"
"Ямбол","55779","3950","436","556","1564","303","348","6",7.08,"201709"
"Благоевград","151333","15267","1131","2520","5256","1229","1604","6",10.09,"201710"
"Бургас","188448","10724","866","1623","1458","842","937","7",5.69,"201710"
"Варна","222697","9946","1116","1414","2114","720","1704","5",4.47,"201710"
"Велико Търново","108453","6598","843","983","1977","507","522","5",6.08,"201710"
"Видин","37828","6003","369","918","3364","195","438","9",15.87,"201710"
"Враца","74912","10172","640","1688","5253","622","867","8",13.58,"201710"
"Габрово","54178","2252","307","312","347","324","174","5",4.16,"201710"
"Добрич","79873","5116","546","634","1314","431","361","8",6.41,"201710"
"Кърджали","60746","6310","588","628","2296","318","497","8",10.39,"201710"
"Кюстендил","56911","5033","596","739","1467","414","776","5",8.84,"201710"
"Ловеч","55868","5992","669","925","2538","329","472","8",10.73,"201710"
"Монтана","60045","7973","517","1173","4372","384","444","9",13.28,"201710"
"Пазарджик","115297","11165","823","1618","4647","611","780","7",9.68,"201710"
"Перник","60837","3183","373","452","783","228","184","9",5.23,"201710"
"Плевен","107641","11111","969","1600","5014","572","769","8",10.32,"201710"
"Пловдив","302681","15609","1564","2831","4306","1806","1836","5",5.16,"201710"
"Разград","52154","5753","356","578","2966","160","235","15",11.03,"201710"
"Русе","102880","6125","494","770","2282","540","1178","4",5.95,"201710"
"Силистра","45518","5654","401","687","2764","176","327","10",12.42,"201710"
"Сливен","78097","8484","534","1295","3764","279","330","13",10.86,"201710"
"Смолян","58440","6233","499","548","2146","500","314","9",10.67,"201710"
"Софийска","109181","7970","1026","1360","2892","777","645","6",7.3,"201710"
"гр. София","665475","14202","2364","1971","556","2526","3059","3",2.13,"201710"
"Стара Загора","147697","7348","894","1294","1982","656","804","5",4.98,"201710"
"Търговище","49168","5783","421","474","3219","290","233","11",11.76,"201710"
"Хасково","104465","7580","664","943","2002","329","596","9",7.26,"201710"
"Шумен","76138","8733","513","1202","4476","397","520","10",11.47,"201710"
"Ямбол","55779","3853","373","524","1406","274","350","8",6.91,"201710"
"Благоевград","151333","15917","1061","2655","5294","936","1790","7",10.52,"201711"
"Бургас","188448","11920","726","1814","1425","621","823","9",6.33,"201711"
"Варна","222697","10748","984","1525","2074","720","1864","5",4.83,"201711"
"Велико Търново","108453","7003","682","1066","1899","531","545","8",6.46,"201711"
"Видин","37828","6114","267","918","3324","302","514","9",16.16,"201711"
"Враца","74912","10458","486","1777","5238","607","1128","8",13.96,"201711"
"Габрово","54178","2305","284","299","343","315","208","6",4.25,"201711"
"Добрич","79873","5832","503","712","1250","274","311","11",7.3,"201711"
"Кърджали","60746","6470","328","653","2363","381","567","8",10.65,"201711"
"Кюстендил","56911","5106","519","774","1471","293","762","5",8.97,"201711"
"Ловеч","55868","5992","541","881","2508","297","377","9",10.73,"201711"
"Монтана","60045","8036","370","1234","4331","613","781","8",13.38,"201711"
"Пазарджик","115297","11626","583","1732","4546","619","688","9",10.08,"201711"
"Перник","60837","3218","333","457","765","137","186","12",5.29,"201711"
"Плевен","107641","11466","749","1718","4969","599","966","9",10.65,"201711"
"Пловдив","302681","15698","1250","2806","4115","1507","1690","5",5.19,"201711"
"Разград","52154","5861","269","600","2946","134","301","17",11.24,"201711"
"Русе","102880","6343","445","807","2307","440","1104","4",6.17,"201711"
"Силистра","45518","5909","269","722","2788","192","450","12",12.98,"201711"
"Сливен","78097","8937","385","1446","3768","396","572","14",11.44,"201711"
"Смолян","58440","6481","538","596","2094","569","390","8",11.09,"201711"
"Софийска","109181","7983","721","1321","2769","683","651","7",7.31,"201711"
"гр. София","665475","14270","2260","1942","504","2373","2436","3",2.14,"201711"
"Стара Загора","147697","7347","815","1303","1870","757","773","6",4.97,"201711"
"Търговище","49168","6004","260","535","3141","224","265","14",12.21,"201711"
"Хасково","104465","7581","596","941","1898","274","567","10",7.26,"201711"
"Шумен","76138","8881","483","1139","4396","425","525","10",11.66,"201711"
"Ямбол","55779","4026","321","504","1337","159","235","9",7.22,"201711"
"Благоевград","151333","16228","938","2637","5240","614","960","10",10.72,"201712"
"Бургас","188448","12242","531","1840","1359","351","653","9",6.5,"201712"
"Варна","222697","11120","696","1602","2021","680","1769","9",4.99,"201712"
"Велико Търново","108453","7398","609","1055","1833","342","504","8",6.82,"201712"
"Видин","37828","6200","169","890","3291","105","446","16",16.39,"201712"
"Враца","74912","10498","415","1708","5129","240","1021","16",14.01,"201712"
"Габрово","54178","2370","182","320","324","173","173","6",4.37,"201712"
"Добрич","79873","6431","359","738","1254","122","240","12",8.05,"201712"
"Кърджали","60746","6594","261","668","2319","201","334","12",10.86,"201712"
"Кюстендил","56911","5096","419","777","1508","378","615","9",8.95,"201712"
"Ловеч","55868","6075","352","911","2414","141","219","11",10.87,"201712"
"Монтана","60045","8088","228","1217","4265","145","742","28",13.47,"201712"
"Пазарджик","115297","11888","421","1777","4376","356","683","15",10.31,"201712"
"Перник","60837","3230","181","445","753","78","128","18",5.31,"201712"
"Плевен","107641","11807","573","1697","4890","352","897","7",10.97,"201712"
"Пловдив","302681","15915","887","2730","3941","487","819","9",5.26,"201712"
"Разград","52154","5985","207","594","2877","94","189","18",11.48,"201712"
"Русе","102880","6563","288","853","2271","257","970","4",6.38,"201712"
"Силистра","45518","6106","231","730","2659","107","358","12",13.41,"201712"
"Сливен","78097","8907","297","1445","3719","143","375","13",11.41,"201712"
"Смолян","58440","6555","599","643","2086","326","149","13",11.22,"201712"
"Софийска","109181","8011","610","1324","2715","574","597","6",7.34,"201712"
"гр. София","665475","14305","1769","1936","463","1516","1886","3",2.15,"201712"
"Стара Загора","147697","7436","511","1305","1850","409","601","10",5.03,"201712"
"Търговище","49168","6105","165","553","3021","106","151","20",12.42,"201712"
"Хасково","104465","7715","286","940","1893","123","355","16",7.39,"201712"
"Шумен","76138","9085","326","1131","4339","145","434","22",11.93,"201712"
"Ямбол","55779","4113","171","529","1307","123","205","17",7.37,"201712"
"Благоевград","151333","16483","1008","2602","5420","936","1212","10",10.89,"201801"
"Бургас","188448","12470","694","1827","1389","685","760","10",6.62,"201801"
"Варна","222697","11516","906","1613","2004","573","1555","6",5.17,"201801"
"Велико Търново","108453","7869","553","1101","1827","593","665","8",7.26,"201801"
"Видин","37828","6196","407","734","3227","199","380","11",16.38,"201801"
"Враца","74912","10576","762","1443","5024","423","837","8",14.12,"201801"
"Габрово","54178","2483","229","326","349","198","121","8",4.58,"201801"
"Добрич","79873","6777","403","819","1233","399","289","12",8.48,"201801"
"Кърджали","60746","6550","462","646","2275","586","437","8",10.78,"201801"
"Кюстендил","56911","5251","538","825","1536","380","642","6",9.23,"201801"
"Ловеч","55868","6242","367","959","2439","388","403","11",11.17,"201801"
"Монтана","60045","8091","499","1044","4174","297","463","9",13.47,"201801"
"Пазарджик","115297","12105","811","1707","4391","656","780","10",10.5,"201801"
"Перник","60837","3308","257","464","761","278","217","9",5.44,"201801"
"Плевен","107641","11986","749","1638","4874","521","972","9",11.14,"201801"
"Пловдив","302681","16219","1244","2671","3935","1266","1186","9",5.36,"201801"
"Разград","52154","6085","398","616","2879","339","253","13",11.67,"201801"
"Русе","102880","6793","389","847","2274","460","982","5",6.6,"201801"
"Силистра","45518","6428","295","744","2682","315","447","10",14.12,"201801"
"Сливен","78097","9250","413","1370","3785","367","417","14",11.84,"201801"
"Смолян","58440","6645","645","632","2085","475","246","12",11.37,"201801"
"Софийска","109181","8088","703","1373","2666","699","517","7",7.41,"201801"
"гр. София","665475","14378","2039","1871","515","2519","2898","4",2.16,"201801"
"Стара Загора","147697","7582","708","1253","1869","720","636","7",5.13,"201801"
"Търговище","49168","6273","330","587","2955","291","229","16",12.76,"201801"
"Хасково","104465","7892","513","987","1908","512","582","10",7.55,"201801"
"Шумен","76138","9374","548","1144","4302","434","513","12",12.31,"201801"
"Ямбол","55779","4412","199","616","1312","219","352","12",7.91,"201801"
"Благоевград","151333","16051","1080","2392","5414","950","1323","8",10.61,"201802"
"Бургас","188448","11706","995","1596","1383","1836","1757","5",6.21,"201802"
"Варна","222697","10907","1169","1460","1963","1902","2619","4",4.9,"201802"
"Велико Търново","108453","7550","819","970","1816","832","755","6",6.96,"201802"
"Видин","37828","5955","308","660","3209","146","312","12",15.74,"201802"
"Враца","74912","10369","455","1382","5010","228","620","11",13.84,"201802"
"Габрово","54178","2422","289","295","355","252","166","7",4.47,"201802"
"Добрич","79873","6551","454","796","1195","529","455","9",8.2,"201802"
"Кърджали","60746","6370","428","562","2161","420","472","8",10.49,"201802"
"Кюстендил","56911","5307","641","817","1554","607","758","5",9.33,"201802"
"Ловеч","55868","6040","465","889","2459","360","447","9",10.81,"201802"
"Монтана","60045","7863","407","936","4087","158","357","14",13.1,"201802"
"Пазарджик","115297","11857","688","1605","4352","528","578","10",10.28,"201802"
"Перник","60837","3235","289","437","758","203","151","9",5.32,"201802"
"Плевен","107641","11721","829","1543","4835","517","891","9",10.89,"201802"
"Пловдив","302681","15744","1330","2401","3913","1574","1384","7",5.2,"201802"
"Разград","52154","5971","277","586","2847","228","228","13",11.45,"201802"
"Русе","102880","6693","447","794","2252","509","953","5",6.51,"201802"
"Силистра","45518","6302","370","699","2645","227","429","10",13.85,"201802"
"Сливен","78097","9148","439","1384","3808","316","364","14",11.71,"201802"
"Смолян","58440","6450","434","574","2085","385","303","11",11.04,"201802"
"Софийска","109181","7963","671","1338","2665","753","508","7",7.29,"201802"
"гр. София","665475","13813","2298","1692","489","2471","2701","3",2.08,"201802"
"Стара Загора","147697","7383","774","1168","1801","679","596","6",5,"201802"
"Търговище","49168","6122","358","611","2882","308","293","13",12.45,"201802"
"Хасково","104465","7663","584","957","1933","562","609","8",7.34,"201802"
"Шумен","76138","9036","586","1015","4198","399","376","11",11.87,"201802"
"Ямбол","55779","4419","261","602","1316","278","360","8",7.92,"201802"
"Благоевград","151333","15644","1220","2258","5415","907","1397","8",10.34,"201803"
"Бургас","188448","10225","1686","1386","1396","5138","5578","2",5.43,"201803"
"Варна","222697","10092","1414","1367","1957","2057","2803","3",4.53,"201803"
"Велико Търново","108453","7118","1060","887","1821","870","757","5",6.56,"201803"
"Видин","37828","5844","287","652","3180","136","287","14",15.45,"201803"
"Враца","74912","10129","644","1320","4979","493","642","10",13.52,"201803"
"Габрово","54178","2314","353","264","370","286","137","6",4.27,"201803"
"Добрич","79873","5976","863","752","1188","1127","826","5",7.48,"201803"
"Кърджали","60746","6198","443","516","2122","316","463","9",10.2,"201803"
"Кюстендил","56911","5177","632","789","1578","488","594","5",9.1,"201803"
"Ловеч","55868","5860","605","852","2474","386","408","8",10.49,"201803"
"Монтана","60045","7638","479","924","4053","366","357","12",12.72,"201803"
"Пазарджик","115297","11340","860","1496","4303","1050","688","8",9.84,"201803"
"Перник","60837","3177","381","434","796","251","127","9",5.22,"201803"
"Плевен","107641","11466","1060","1525","4837","961","1065","7",10.65,"201803"
"Пловдив","302681","15080","1640","2339","3934","2135","1808","5",4.98,"201803"
"Разград","52154","5777","460","609","2822","267","290","13",11.08,"201803"
"Русе","102880","6447","578","742","2248","580","1010","5",6.27,"201803"
"Силистра","45518","6026","559","691","2653","529","457","7",13.24,"201803"
"Сливен","78097","8969","508","1293","3848","399","406","13",11.48,"201803"
"Смолян","58440","6261","586","523","2085","588","344","8",10.71,"201803"
"Софийска","109181","8017","709","1364","2660","821","518","7",7.34,"201803"
"гр. София","665475","13416","2213","1593","463","2718","2501","3",2.02,"201803"
"Стара Загора","147697","7152","818","1093","1806","709","635","6",4.84,"201803"
"Търговище","49168","5861","495","558","2842","398","376","10",11.92,"201803"
"Хасково","104465","7486","675","936","1947","528","510","8",7.17,"201803"
"Шумен","76138","8674","691","974","4152","466","378","12",11.39,"201803"
"Ямбол","55779","4236","387","564","1314","368","336","7",7.59,"201803"
"Благоевград","151333","15250","1128","2096","5399","965","1427","7",10.08,"201804"
"Бургас","188448","8273","2191","1160","1357","6671","7916","1",4.39,"201804"
"Варна","222697","8799","1840","1145","1920","1687","2476","3",3.95,"201804"
"Велико Търново","108453","6615","997","807","1841","1071","971","4",6.1,"201804"
"Видин","37828","5711","287","647","3195","594","403","7",15.1,"201804"
"Враца","74912","9975","539","1344","4986","745","887","8",13.32,"201804"
"Габрово","54178","2198","331","215","375","270","224","6",4.06,"201804"
"Добрич","79873","4902","1385","637","1144","1850","1111","2",6.14,"201804"
"Кърджали","60746","6022","438","475","2139","296","464","9",9.91,"201804"
"Кюстендил","56911","4998","582","773","1597","537","745","5",8.78,"201804"
"Ловеч","55868","5699","554","814","2471","392","538","8",10.2,"201804"
"Монтана","60045","7433","313","844","4065","684","528","8",12.38,"201804"
"Пазарджик","115297","10760","869","1347","4271","1524","1288","6",9.33,"201804"
"Перник","60837","3094","352","403","804","283","186","9",5.09,"201804"
"Плевен","107641","11065","1004","1422","4828","1013","1516","6",10.28,"201804"
"Пловдив","302681","14528","1293","2178","3925","1617","1674","5",4.8,"201804"
"Разград","52154","5546","410","576","2805","385","468","9",10.63,"201804"
"Русе","102880","6264","554","722","2241","673","1187","4",6.09,"201804"
"Силистра","45518","5725","520","682","2690","477","632","7",12.58,"201804"
"Сливен","78097","8765","483","1254","3909","559","623","10",11.22,"201804"
"Смолян","58440","6065","576","497","2137","607","418","7",10.38,"201804"
"Софийска","109181","7963","675","1347","2715","854","627","6",7.29,"201804"
"гр. София","665475","13145","1995","1523","456","2715","2627","3",1.98,"201804"
"Стара Загора","147697","7090","670","1088","1813","861","870","5",4.8,"201804"
"Търговище","49168","5601","432","531","2838","428","510","8",11.39,"201804"
"Хасково","104465","7178","642","879","1972","691","738","7",6.87,"201804"
"Шумен","76138","8331","608","896","4134","710","749","9",10.94,"201804"
"Ямбол","55779","3978","381","527","1298","459","449","6",7.13,"201804"
"Благоевград","151333","14438","1532","1849","5243","1327","1844","6",9.54,"201805"
"Бургас","188448","6761","1823","965","1286","3372","4700","1",3.59,"201805"
"Варна","222697","7749","1579","978","1865","1554","2374","2",3.48,"201805"
"Велико Търново","108453","6243","985","719","1819","853","850","4",5.76,"201805"
"Видин","37828","5540","313","630","3104","414","725","7",14.65,"201805"
"Враца","74912","9724","627","1268","4896","770","1186","7",12.98,"201805"
"Габрово","54178","2110","325","205","365","344","258","4",3.89,"201805"
"Добрич","79873","4153","1005","527","1121","976","968","3",5.2,"201805"
"Кърджали","60746","5802","460","435","2091","645","742","6",9.55,"201805"
"Кюстендил","56911","4821","690","727","1588","719","969","4",8.47,"201805"
"Ловеч","55868","5523","544","791","2412","629","830","5",9.89,"201805"
"Монтана","60045","7287","398","833","3985","612","804","7",12.14,"201805"
"Пазарджик","115297","10063","1105","1216","4156","1006","1250","5",8.73,"201805"
"Перник","60837","2999","338","390","780","323","226","7",4.93,"201805"
"Плевен","107641","10650","933","1303","4764","803","1654","5",9.89,"201805"
"Пловдив","302681","14168","1195","2071","3789","2275","2333","4",4.68,"201805"
"Разград","52154","5361","368","542","2756","444","770","7",10.28,"201805"
"Русе","102880","6061","500","712","2219","781","1544","4",5.89,"201805"
"Силистра","45518","5504","410","619","2661","429","923","6",12.09,"201805"
"Сливен","78097","8432","526","1134","3826","623","902","8",10.8,"201805"
"Смолян","58440","5747","639","447","2160","708","585","6",9.83,"201805"
"Софийска","109181","7732","739","1294","2566","946","868","6",7.08,"201805"
"гр. София","665475","12709","1997","1410","442","5054","4002","2",1.91,"201805"
"Стара Загора","147697","6781","743","1041","1699","904","892","4",4.59,"201805"
"Търговище","49168","5429","374","519","2775","532","852","6",11.04,"201805"
"Хасково","104465","6901","648","840","1855","544","753","6",6.61,"201805"
"Шумен","76138","7951","588","872","4061","718","1002","6",10.44,"201805"
"Ямбол","55779","3819","356","504","1277","378","509","5",6.85,"201805"
"Благоевград","151333","13968","1237","1737","4972","1005","1781","6",9.23,"201806"
"Бургас","188448","5805","1297","830","1122","1756","2002","1",3.08,"201806"
"Варна","222697","7027","1269","857","1662","1261","2000","2",3.16,"201806"
"Велико Търново","108453","5788","1033","703","1582","827","802","4",5.34,"201806"
"Видин","37828","5221","494","582","2925","278","598","6",13.8,"201806"
"Враца","74912","9181","907","1280","4509","549","1101","6",12.26,"201806"
"Габрово","54178","1930","393","179","314","346","290","4",3.56,"201806"
"Добрич","79873","3329","1040","413","848","874","605","3",4.17,"201806"
"Кърджали","60746","5624","507","478","1892","409","718","6",9.26,"201806"
"Кюстендил","56911","4527","829","655","1427","508","838","4",7.95,"201806"
"Ловеч","55868","5102","746","756","2110","473","703","5",9.13,"201806"
"Монтана","60045","6837","622","813","3666","388","641","7",11.39,"201806"
"Пазарджик","115297","9781","868","1240","3964","793","1023","6",8.48,"201806"
"Перник","60837","2824","440","369","654","257","175","7",4.64,"201806"
"Плевен","107641","10172","1159","1326","4436","879","1502","5",9.45,"201806"
"Пловдив","302681","13633","1413","2066","3508","1672","1772","4",4.5,"201806"
"Разград","52154","5143","478","516","2638","181","558","6",9.86,"201806"
"Русе","102880","5719","656","629","2097","581","1547","3",5.56,"201806"
"Силистра","45518","5262","506","610","2575","236","849","5",11.56,"201806"
"Сливен","78097","7734","807","1004","3546","562","830","6",9.9,"201806"
"Смолян","58440","5318","760","391","1970","661","525","5",9.1,"201806"
"Софийска","109181","7289","927","1231","2387","691","725","5",6.68,"201806"
"гр. София","665475","12525","2064","1354","379","3419","3997","2",1.88,"201806"
"Стара Загора","147697","6434","771","1011","1556","730","783","5",4.36,"201806"
"Търговище","49168","4914","636","464","2494","444","534","4",9.99,"201806"
"Хасково","104465","6509","749","803","1609","392","491","7",6.23,"201806"
"Шумен","76138","7490","738","855","3746","668","1017","5",9.84,"201806"
"Ямбол","55779","3490","423","450","1117","432","565","5",6.26,"201806"
"Благоевград","151333","13682","1147","1767","4817","1133","1822","5",9.04,"201807"
"Бургас","188448","5660","661","829","1053","896","1362","2",3,"201807"
"Варна","222697","6822","934","857","1509","939","1868","3",3.06,"201807"
"Велико Търново","108453","5679","762","719","1454","549","618","5",5.24,"201807"
"Видин","37828","5295","196","705","2788","146","600","8",14,"201807"
"Враца","74912","9094","533","1319","4356","364","1067","7",12.14,"201807"
"Габрово","54178","1840","351","198","236","239","209","4",3.4,"201807"
"Добрич","79873","3217","465","376","779","480","360","4",4.03,"201807"
"Кърджали","60746","5616","342","470","1770","326","683","6",9.25,"201807"
"Кюстендил","56911","4484","658","669","1386","461","670","4",7.88,"201807"
"Ловеч","55868","5144","388","776","2047","326","687","6",9.21,"201807"
"Монтана","60045","6820","475","951","3522","341","587","8",11.36,"201807"
"Пазарджик","115297","9579","628","1276","3863","668","913","6",8.31,"201807"
"Перник","60837","2754","323","374","630","207","140","8",4.53,"201807"
"Плевен","107641","9758","1045","1283","4157","656","1416","5",9.07,"201807"
"Пловдив","302681","13783","1047","2250","3304","1410","1801","5",4.55,"201807"
"Разград","52154","5114","292","518","2589","155","501","8",9.81,"201807"
"Русе","102880","5711","394","658","2038","537","1476","3",5.55,"201807"
"Силистра","45518","5247","325","622","2545","170","767","6",11.53,"201807"
"Сливен","78097","7446","651","1030","3318","423","769","7",9.53,"201807"
"Смолян","58440","5227","493","418","1888","430","486","6",8.94,"201807"
"Софийска","109181","7117","705","1202","2296","721","740","6",6.52,"201807"
"гр. София","665475","12553","1887","1417","341","3314","4374","2",1.89,"201807"
"Стара Загора","147697","6452","667","1070","1455","901","1002","4",4.37,"201807"
"Търговище","49168","4824","338","483","2422","345","575","6",9.81,"201807"
"Хасково","104465","6469","509","834","1574","402","509","8",6.19,"201807"
"Шумен","76138","7322","524","870","3529","372","851","6",9.62,"201807"
"Ямбол","55779","3125","471","365","925","403","406","4",5.6,"201807"
"Благоевград","151333","13830","921","1805","4776","949","1891","6",9.14,"201808"
"Бургас","188448","5728","404","828","1026","1039","1217","3",3.04,"201808"
"Варна","222697","6725","726","870","1436","1057","1975","3",3.02,"201808"
"Велико Търново","108453","5567","726","711","1381","929","1009","4",5.13,"201808"
"Видин","37828","5211","267","717","2754","232","608","7",13.78,"201808"
"Враца","74912","8834","577","1356","4099","462","1142","7",11.79,"201808"
"Габрово","54178","1889","256","219","233","311","225","4",3.49,"201808"
"Добрич","79873","3157","382","351","749","484","340","4",3.95,"201808"
"Кърджали","60746","5482","393","475","1642","397","737","6",9.02,"201808"
"Кюстендил","56911","4532","607","662","1383","598","798","4",7.96,"201808"
"Ловеч","55868","5130","409","749","2003","609","824","4",9.18,"201808"
"Монтана","60045","6754","388","983","3411","544","825","7",11.25,"201808"
