oblast,period,ikonaktiwni,regbezr,pod29bezr
Кърджали,201007,82379,8657,1177
Кюстендил,201007,73521,8056,1543
Ловеч,201007,77600,9623,1504
Монтана,201007,79897,12358,2147
Пазарджик,201007,149030,18263,3723
Перник,201007,67851,5950,1057
Плевен,201007,148178,16649,2607
Пловдив,201007,329791,26737,5976
Разград,201007,73857,10257,1442
Русе,201007,121067,10977,1694
Силистра,201007,67108,8940,1412
Сливен,201007,102836,11955,2749
Смолян,201007,70648,11627,1590
гр.София,201007,551815,19495,3099
Софийска,201007,125456,14056,3099
Стара Загора,201007,172917,12673,2983
Търговище,201007,66835,10582,1420
Хасково,201007,125042,11256,2142
Шумен,201007,95785,14019,2402
Ямбол,201007,70924,7332,1628
Общо за страната,201008,3704336,338520,60489
Благоевград,201008,170689,19996,3571
Бургас,201008,201006,10850,1842
Варна,201008,218272,14158,2709
Велико Търново,201008,135465,11758,1834
Видин,201008,56478,8164,1499
Враца,201008,97742,12950,2250
Габрово,201008,66804,4194,539
Добрич,201008,105343,9069,1487
Кърджали,201008,82379,8563,1166
Кюстендил,201008,73521,8085,1492
Ловеч,201008,77600,9523,1536
Монтана,201008,79897,12121,2096
Пазарджик,201008,149030,18061,3643
Перник,201008,67851,5942,1050
Плевен,201008,148178,16395,2543
Пловдив,201008,329791,26607,5902
Разград,201008,73857,10147,1426
Русе,201008,121067,10748,1626
Силистра,201008,67108,8911,1368
Сливен,201008,102836,11893,2739
Смолян,201008,70648,11726,1590
гр.София,201008,551815,19408,3051
Софийска,201008,125456,14025,3127
Стара Загора,201008,172917,12484,2956
Търговище,201008,66835,10467,1362
Хасково,201008,125042,11182,2157
Шумен,201008,95785,13809,2326
Ямбол,201008,70924,7284,1602
Общо за страната,201009,3704336,334671,59639
Благоевград,201009,170689,19682,3472
Бургас,201009,201006,11084,1880
Варна,201009,218272,14162,2699
Велико Търново,201009,135465,11345,1762
Видин,201009,56478,8121,1504
Враца,201009,97742,12680,2190
Габрово,201009,66804,4063,506
Добрич,201009,105343,9232,1503
Кърджали,201009,82379,8360,1101
Кюстендил,201009,73521,8045,1538
Ловеч,201009,77600,9284,1503
Монтана,201009,79897,12003,2078
Пазарджик,201009,149030,17860,3570
Перник,201009,67851,5913,1068
Плевен,201009,148178,16208,2507
Пловдив,201009,329791,26145,5822
Разград,201009,73857,9989,1383
Русе,201009,121067,10432,1513
Силистра,201009,67108,8795,1306
Сливен,201009,102836,11894,2735
Смолян,201009,70648,11947,1625
гр. София,201009,551815,19385,3147
Софийска,201009,125456,13810,3066
Стара Загора,201009,172917,12053,2836
Търговище,201009,66835,10266,1314
Хасково,201009,125042,11094,2111
Шумен,201009,95785,13591,2293
Ямбол,201009,70924,7228,1607
Общо за страната,201010,3704336,330371,59431
Благоевград,201010,170689,19038,3384
Бургас,201010,201006,12683,2190
Варна,201010,218272,14604,2793
Велико Търново,201010,135465,11273,1781
Видин,201010,56478,7665,1410
Враца,201010,97742,12138,2110
Габрово,201010,66804,4000,531
Добрич,201010,105343,9366,1533
Кърджали,201010,82379,8451,1168
Кюстендил,201010,73521,7782,1484
Ловеч,201010,77600,9292,1522
Монтана,201010,79897,11565,2075
Пазарджик,201010,149030,17003,3396
Перник,201010,67851,5703,1057
Плевен,201010,148178,15601,2473
Пловдив,201010,329791,25588,5687
Разград,201010,73857,9731,1369
Русе,201010,121067,10261,1549
Силистра,201010,67108,8472,1260
Сливен,201010,102836,11892,2801
Смолян,201010,70648,11845,1657
гр. София,201010,551815,19496,3119
Софийска,201010,125456,13540,3018
Стара Загора,201010,172917,11805,2729
Търговище,201010,66835,9975,1261
Хасково,201010,125042,11098,2206
Шумен,201010,95785,13245,2286
Ямбол,201010,70924,7259,1582
Общо за страната,201011,3704336,335970,60781
Благоевград,201011,170689,19143,3385
Бургас,201011,201006,14132,2575
Варна,201011,218272,15696,3066
Велико Търново,201011,135465,11403,1826
Видин,201011,56478,7781,1448
Враца,201011,97742,12467,2157
Габрово,201011,66804,3916,533
Добрич,201011,105343,9988,1697
Кърджали,201011,82379,8403,1142
Кюстендил,201011,73521,7799,1501
Ловеч,201011,77600,9203,1471
Монтана,201011,79897,11478,2089
Пазарджик,201011,149030,17385,3469
Перник,201011,67851,5833,1079
Плевен,201011,148178,15708,2551
Пловдив,201011,329791,25798,5729
Разград,201011,73857,9853,1423
Русе,201011,121067,10411,1557
Силистра,201011,67108,8577,1292
Сливен,201011,102836,12111,2854
