oblast,period,ikonaktiwni,regbezr,pod29bezr
Перник,201204,60837,6272,1247
Плевен,201204,107641,17352,3349
Пловдив,201204,302681,29255,6744
Разград,201204,52154,9475,1442
Русе,201204,102880,10754,1781
Силистра,201204,45518,8553,1415
Сливен,201204,78097,13394,3432
Смолян,201204,58440,12886,1765
гр. София,201204,665475,24107,4239
Софийска,201204,109181,15120,3698
Стара Загора,201204,147697,15092,3507
Търговище,201204,49168,9583,1408
Хасково,201204,104465,12815,2720
Шумен,201204,76138,14233,2545
Ямбол,201204,55779,8661,2159
Общо за страната,201205,3282740,360114,70868
Благоевград,201205,151333,21626,4433
Бургас,201205,188448,13544,2879
Варна,201205,222697,16614,3500
Велико Търново,201205,108453,11634,1936
Видин,201205,37828,8272,1528
Враца,201205,74912,14960,2861
Габрово,201205,54178,3949,600
Добрич,201205,79873,9865,1684
Кърджали,201205,60746,8627,1194
Кюстендил,201205,56911,8299,1678
Ловеч,201205,55868,9005,1656
Монтана,201205,60045,12802,2620
Пазарджик,201205,115297,18573,3886
Перник,201205,60837,6058,1184
Плевен,201205,107641,17168,3280
Пловдив,201205,302681,28747,6687
Разград,201205,52154,9310,1404
Русе,201205,102880,10226,1715
Силистра,201205,45518,8383,1379
Сливен,201205,78097,13066,3358
Смолян,201205,58440,12047,1613
гр. София,201205,665475,23617,4371
Софийска,201205,109181,14884,3546
Стара Загора,201205,147697,14627,3344
Търговище,201205,49168,9575,1357
Хасково,201205,104465,12278,2622
Шумен,201205,76138,13882,2445
Ямбол,201205,55779,8476,2108
Общо за страната,201206,3282740,354825,70866
Благоевград,201206,151333,21066,4384
Бургас,201206,188448,11976,2473
Варна,201206,222697,15756,3351
Велико Търново,201206,108453,11385,1953
Видин,201206,37828,8476,1605
Враца,201206,74912,15057,2963
Габрово,201206,54178,3856,581
Добрич,201206,79873,9054,1538
Кърджали,201206,60746,8761,1180
Кюстендил,201206,56911,8294,1723
Ловеч,201206,55868,8826,1662
Монтана,201206,60045,12801,2655
Пазарджик,201206,115297,18362,3858
Перник,201206,60837,6178,1318
Плевен,201206,107641,17184,3266
Пловдив,201206,302681,28402,6710
Разград,201206,52154,9188,1421
Русе,201206,102880,10103,1780
Силистра,201206,45518,8339,1433
Сливен,201206,78097,12839,3278
Смолян,201206,58440,11592,1554
гр. София,201206,665475,23859,4607
Софийска,201206,109181,14877,3526
Стара Загора,201206,147697,14870,3560
Търговище,201206,49168,9381,1302
Хасково,201206,104465,12333,2716
Шумен,201206,76138,13794,2430
Ямбол,201206,55779,8216,2039
Общо за страната,201207,3282740,356536,73511
Благоевград,201207,151333,21420,4557
Бургас,201207,188448,11902,2500
Варна,201207,222697,15730,3515
Велико Търново,201207,108453,11332,2026
Видин,201207,37828,8692,1685
Враца,201207,74912,14937,3108
Габрово,201207,54178,3834,616
Добрич,201207,79873,8969,1554
Кърджали,201207,60746,8980,1251
Кюстендил,201207,56911,8439,1749
Ловеч,201207,55868,8886,1742
Монтана,201207,60045,12706,2698
Пазарджик,201207,115297,18283,3954
Перник,201207,60837,6400,1390
Плевен,201207,107641,17431,3405
Пловдив,201207,302681,28757,7082
Разград,201207,52154,9171,1456
Русе,201207,102880,10035,1844
Силистра,201207,45518,8323,1516
Сливен,201207,78097,13117,3339
Смолян,201207,58440,11354,1573
гр. София,201207,665475,24174,4919
Софийска,201207,109181,14892,3664
Стара Загора,201207,147697,15265,3747
Търговище,201207,49168,9282,1323
Хасково,201207,104465,12513,2788
Шумен,201207,76138,13516,2428
Ямбол,201207,55779,8196,2082
Общо за страната,201208,3282740,351506,73118
Благоевград,201208,151333,21041,4487
Бургас,201208,188448,11871,2543
Варна,201208,222697,15486,3454
Велико Търново,201208,108453,11216,2037
Видин,201208,37828,8514,1699
Враца,201208,74912,13987,2879
Габрово,201208,54178,3808,598
Добрич,201208,79873,8927,1558
Кърджали,201208,60746,9070,1289
Кюстендил,201208,56911,8278,1710
Ловеч,201208,55868,8690,1750
Монтана,201208,60045,12095,2587
Пазарджик,201208,115297,18148,3927
Перник,201208,60837,6294,1435
Плевен,201208,107641,17104,3359
Пловдив,201208,302681,28702,7151
Разград,201208,52154,9014,1428
Русе,201208,102880,9950,1873
Силистра,201208,45518,8380,1513
Сливен,201208,78097,13163,3361
Смолян,201208,58440,11049,1543
гр. София,201208,665475,24528,5246
Софийска,201208,109181,14613,3603
Стара Загора,201208,147697,15262,3695
Търговище,201208,49168,9100,1295
Хасково,201208,104465,12254,2780
Шумен,201208,76138,12906,2310
Ямбол,201208,55779,8056,2008
Общо за страната,201209,3282740,349409,73921
Благоевград,201209,151333,21017,4512
Бургас,201209,188448,12862,2851
Варна,201209,222697,15429,3482
Велико Търново,201209,108453,11069,2078
Видин,201209,37828,8221,1647
Враца,201209,74912,14381,3088
Габрово,201209,54178,3787,653
Добрич,201209,79873,8870,1572
Кърджали,201209,60746,8794,1277
Кюстендил,201209,56911,8111,1708
Ловеч,201209,55868,8360,1747
Монтана,201209,60045,12031,2581
Пазарджик,201209,115297,17939,3885
Перник,201209,60837,6378,1487
Плевен,201209,107641,16905,3372
Пловдив,201209,302681,28693,7171
Разград,201209,52154,8878,1361
Русе,201209,102880,9507,1872
Силистра,201209,45518,8234,1497
Сливен,201209,78097,13102,3406
Смолян,201209,58440,10999,1652
гр. София,201209,665475,24328,5328
Софийска,201209,109181,14693,3718
Стара Загора,201209,147697,14958,3710
Търговище,201209,49168,9082,1329
Хасково,201209,104465,12218,2759
Шумен,201209,76138,12496,2172
Ямбол,201209,55779,8067,2006
Общо за страната,201210,3282740,361898,77738
Благоевград,201210,151333,21296,4564
Бургас,201210,188448,16229,3678
Варна,201210,222697,17131,3905
Велико Търново,201210,108453,11365,2191
Видин,201210,37828,8328,1674
Враца,201210,74912,14969,3265
Габрово,201210,54178,3749,676
Добрич,201210,79873,9834,1784
Кърджали,201210,60746,9196,1394
Кюстендил,201210,56911,8312,1801
Ловеч,201210,55868,8550,1785
Монтана,201210,60045,12262,2625
Пазарджик,201210,115297,18368,4071
Перник,201210,60837,6449,1507
Плевен,201210,107641,16944,3438
Пловдив,201210,302681,29195,7328
Разград,201210,52154,8871,1380
Русе,201210,102880,9880,2001
Силистра,201210,45518,8355,1528
Сливен,201210,78097,13345,3555
Смолян,201210,58440,11527,1882
гр. София,201210,665475,25041,5603
Софийска,201210,109181,14829,3753
Стара Загора,201210,147697,15221,3825
Търговище,201210,49168,9295,1397
Хасково,201210,104465,12304,2766
Шумен,201210,76138,12730,2299
Ямбол,201210,55779,8323,2063
Общо за страната,201211,3282740,372122,80294
Благоевград,201211,151333,21461,4626
Бургас,201211,188448,17713,4135
Варна,201211,222697,18259,4166
Велико Търново,201211,108453,11877,2265
Видин,201211,37828,8492,1712
Враца,201211,74912,15255,3362
Габрово,201211,54178,3857,715
Добрич,201211,79873,10724,2037
Кърджали,201211,60746,9451,1478
Кюстендил,201211,56911,8423,1885
Ловеч,201211,55868,8780,1825
Монтана,201211,60045,12607,2703
Пазарджик,201211,115297,18878,4238
Перник,201211,60837,6430,1464
Плевен,201211,107641,17488,3616
Пловдив,201211,302681,29948,7515
Разград,201211,52154,9070,1405
Русе,201211,102880,10296,2150
Силистра,201211,45518,8658,1623
Сливен,201211,78097,13697,3573
Смолян,201211,58440,11860,1990
гр. София,201211,665475,24582,5216
Софийска,201211,109181,15055,3858
Стара Загора,201211,147697,15572,3918
Търговище,201211,49168,9453,1489
Хасково,201211,104465,12692,2859
Шумен,201211,76138,12999,2367
Ямбол,201211,55779,8545,2104
Общо за страната,201212,3282740,375770,78821
Благоевград,201212,151333,21218,4428
Бургас,201212,188448,17832,3998
Варна,201212,222697,18265,4021
Велико Търново,201212,108453,12526,2332
Видин,201212,37828,8329,1648
Враца,201212,74912,15245,3312
Габрово,201212,54178,3932,694
Добрич,201212,79873,11113,2029
Кърджали,201212,60746,9613,1430
Кюстендил,201212,56911,8442,1829
Ловеч,201212,55868,9177,1860
Монтана,201212,60045,12474,2633
Пазарджик,201212,115297,19251,4155
Перник,201212,60837,6303,1404
Плевен,201212,107641,18030,3691
Пловдив,201212,302681,30352,7322
Разград,201212,52154,9481,1440
Русе,201212,102880,10588,2151
Силистра,201212,45518,8898,1623
Сливен,201212,78097,13982,3590
Смолян,201212,58440,11808,1920
гр. София,201212,665475,24155,4969
Софийска,201212,109181,14890,3761
Стара Загора,201212,147697,15609,3844
Търговище,201212,49168,9597,1496
Хасково,201212,104465,12865,2822
Шумен,201212,76138,13189,2339
Ямбол,201212,55779,8606,2080
Общо за страната,201301,3282740,391683,82229
Благоевград,201301,151333,21968,4564
Бургас,201301,188448,18726,4197
Варна,201301,222697,19094,4226
Велико Търново,201301,108453,13519,2528
Видин,201301,37828,8283,1698
Враца,201301,74912,15702,3434
Габрово,201301,54178,4148,726
Добрич,201301,79873,11664,2158
Кърджали,201301,60746,10096,1508
Кюстендил,201301,56911,8755,1888
Ловеч,201301,55868,9592,1910
Монтана,201301,60045,12524,2705
Пазарджик,201301,115297,19896,4252
Перник,201301,60837,6337,1381
Плевен,201301,107641,19201,3970
Пловдив,201301,302681,31617,7605
Разград,201301,52154,9907,1575
Русе,201301,102880,11216,2217
Силистра,201301,45518,9338,1651
Сливен,201301,78097,14974,3865
Смолян,201301,58440,11958,1918
гр. София,201301,665475,25018,5119
Софийска,201301,109181,14972,3759
Стара Загора,201301,147697,16169,4002
Търговище,201301,49168,10027,1517
Хасково,201301,104465,13812,3087
Шумен,201301,76138,13956,2503
Ямбол,201301,55779,9214,2266
Общо за страната,201302,3282740,392748,81861
Благоевград,201302,151333,22334,4671
Бургас,201302,188448,18455,4089
Варна,201302,222697,18926,4163
Велико Търново,201302,108453,13371,2434
Видин,201302,37828,8236,1702
Враца,201302,74912,15826,3511
Габрово,201302,54178,4185,701
Добрич,201302,79873,11737,2128
Кърджали,201302,60746,9984,1445
Кюстендил,201302,56911,8827,1934
Ловеч,201302,55868,9718,1965
Монтана,201302,60045,12464,2631
Пазарджик,201302,115297,20148,4330
Перник,201302,60837,6207,1311
Плевен,201302,107641,19423,3986
Пловдив,201302,302681,32016,7607
Разград,201302,52154,9863,1549
Русе,201302,102880,11279,2160
Силистра,201302,45518,9319,1670
Сливен,201302,78097,15198,3946
Смолян,201302,58440,11695,1840
гр. София,201302,665475,24797,4898
Софийска,201302,109181,14746,3727
Стара Загора,201302,147697,16284,4011
Търговище,201302,49168,10248,1526
Хасково,201302,104465,14048,3106
Шумен,201302,76138,14091,2549
Ямбол,201302,55779,9323,2271
Общо за страната,201303,3282740,388523,80207
Благоевград,201303,151333,22416,4657
Бургас,201303,188448,17893,3939
Варна,201303,222697,18197,3924
Велико Търново,201303,108453,12965,2369
Видин,201303,37828,8234,1705
Враца,201303,74912,15696,3482
Габрово,201303,54178,4098,691
Добрич,201303,79873,11391,2066
Кърджали,201303,60746,9801,1377
Кюстендил,201303,56911,8815,1918
Ловеч,201303,55868,9663,1916
Монтана,201303,60045,12294,2605
Пазарджик,201303,115297,20205,4266
Перник,201303,60837,6231,1338
Плевен,201303,107641,19254,3991
Пловдив,201303,302681,31474,7353
Разград,201303,52154,9982,1541
Русе,201303,102880,10942,2056
Силистра,201303,45518,9124,1654
Сливен,201303,78097,15279,3931
Смолян,201303,58440,11713,1790
гр. София,201303,665475,25088,4855
Софийска,201303,109181,14746,3691
Стара Загора,201303,147697,16028,3873
Търговище,201303,49168,10038,1476
Хасково,201303,104465,13849,3000
Шумен,201303,76138,13865,2564
Ямбол,201303,55779,9242,2179
Общо за страната,201304,3282740,380485,77432
Благоевград,201304,151333,21843,4495
Бургас,201304,188448,16094,3589
Варна,201304,222697,17111,3600
Велико Търново,201304,108453,12398,2247
Видин,201304,37828,8656,1799
Враца,201304,74912,15427,3349
Габрово,201304,54178,3890,631
Добрич,201304,79873,10477,1839
Кърджали,201304,60746,9556,1292
Кюстендил,201304,56911,8703,1868
Ловеч,201304,55868,9440,1829
Монтана,201304,60045,12292,2568
Пазарджик,201304,115297,20052,4177
Перник,201304,60837,6044,1258
Плевен,201304,107641,18880,3849
Пловдив,201304,302681,31236,7212
Разград,201304,52154,9980,1485
Русе,201304,102880,10978,1971
Силистра,201304,45518,9116,1576
Сливен,201304,78097,15025,3862
Смолян,201304,58440,11441,1705
гр. София,201304,665475,24687,4659
Софийска,201304,109181,14980,3810
Стара Загора,201304,147697,15916,3787
Търговище,201304,49168,9862,1413
Хасково,201304,104465,13766,2935
Шумен,201304,76138,13517,2489
Ямбол,201304,55779,9118,2138
Общо за страната,201305,3282740,360786,71163
Благоевград,201305,151333,20733,4106
Бургас,201305,188448,13510,2954
Варна,201305,222697,15143,3105
Велико Търново,201305,108453,11542,1997
Видин,201305,37828,8662,1741
Враца,201305,74912,14904,3175
Габрово,201305,54178,3735,570
Добрич,201305,79873,9074,1490
Кърджали,201305,60746,9566,1188
Кюстендил,201305,56911,8357,1704
Ловеч,201305,55868,9084,1728
Монтана,201305,60045,12217,2506
Пазарджик,201305,115297,19201,3922
Перник,201305,60837,5937,1201
Плевен,201305,107641,17898,3556
Пловдив,201305,302681,29948,6782
Разград,201305,52154,9664,1392
Русе,201305,102880,10591,1783
Силистра,201305,45518,8770,1439
Сливен,201305,78097,14335,3595
Смолян,201305,58440,10853,1542
гр. София,201305,665475,23470,4322
Софийска,201305,109181,14534,3634
Стара Загора,201305,147697,14974,3430
Търговище,201305,49168,9691,1325
Хасково,201305,104465,13081,2688
Шумен,201305,76138,12853,2300
Ямбол,201305,55779,8459,1988
Общо за страната,201306,3282740,351587,68942
Благоевград,201306,151333,20600,4060
Бургас,201306,188448,12166,2560
Варна,201306,222697,14078,2844
Велико Търново,201306,108453,11430,1986
Видин,201306,37828,8640,1745
Враца,201306,74912,14640,3106
Габрово,201306,54178,3638,575
Добрич,201306,79873,8164,1300
Кърджали,201306,60746,9344,1151
Кюстендил,201306,56911,8006,1619
Ловеч,201306,55868,8888,1690
Монтана,201306,60045,12117,2477
Пазарджик,201306,115297,18806,3805
Перник,201306,60837,5778,1120
Плевен,201306,107641,17840,3477
Пловдив,201306,302681,29395,6653
Разград,201306,52154,9388,1367
Русе,201306,102880,10340,1748
Силистра,201306,45518,8491,1395
Сливен,201306,78097,13896,3481
Смолян,201306,58440,10811,1448
гр. София,201306,665475,23095,4384
Софийска,201306,109181,14326,3518
Стара Загора,201306,147697,14743,3388
Търговище,201306,49168,9611,1339
Хасково,201306,104465,12723,2605
Шумен,201306,76138,12460,2197
Ямбол,201306,55779,8173,1904
Общо за страната,201307,3282740,355039,72166
Благоевград,201307,151333,20853,4287
Бургас,201307,188448,12136,2590
Варна,201307,222697,14047,2942
Велико Търново,201307,108453,11340,2113
Видин,201307,37828,8612,1834
Враца,201307,74912,15152,3317
Габрово,201307,54178,3602,567
Добрич,201307,79873,8087,1339
Кърджали,201307,60746,9144,1181
Кюстендил,201307,56911,8087,1685
Ловеч,201307,55868,8866,1716
Монтана,201307,60045,12495,2622
Пазарджик,201307,115297,18927,3965
Перник,201307,60837,5992,1264
Плевен,201307,107641,17820,3587
Пловдив,201307,302681,29878,6949
Разград,201307,52154,9356,1409
Русе,201307,102880,10398,1826
Силистра,201307,45518,8584,1456
Сливен,201307,78097,14046,3533
Смолян,201307,58440,10832,1488
гр. София,201307,665475,23578,4781
Софийска,201307,109181,14589,3665
Стара Загора,201307,147697,14800,3526
Търговище,201307,49168,9778,1425
Хасково,201307,104465,12824,2715
Шумен,201307,76138,12864,2378
Ямбол,201307,55779,8352,2006
Общо за страната,201308,3282740,351438,70830
Благоевград,201308,151333,20984,4282
Бургас,201308,188448,12239,2517
Варна,201308,222697,13816,2890
Велико Търново,201308,108453,11316,2072
Видин,201308,37828,8370,1771
Враца,201308,74912,14782,3135
Габрово,201308,54178,3599,566
Добрич,201308,79873,8020,1339
Кърджали,201308,60746,9170,1196
Кюстендил,201308,56911,8220,1675
Ловеч,201308,55868,8865,1724
Монтана,201308,60045,12373,2555
Пазарджик,201308,115297,18250,3820
Перник,201308,60837,5926,1256
Плевен,201308,107641,18038,3577
Пловдив,201308,302681,29711,6856
Разград,201308,52154,9168,1370
Русе,201308,102880,10355,1796
Силистра,201308,45518,8417,1429
Сливен,201308,78097,14112,3528
Смолян,201308,58440,10974,1495
гр. София,201308,665475,23307,4715
Софийска,201308,109181,14005,3494
Стара Загора,201308,147697,14400,3377
Търговище,201308,49168,9380,1342
Хасково,201308,104465,12778,2771
Шумен,201308,76138,12455,2297
Ямбол,201308,55779,8408,1985
Общо за страната,201309,3282740,354563,71330
Благоевград,201309,151333,21655,4391
Бургас,201309,188448,13657,2974
Варна,201309,222697,14562,3033
Велико Търново,201309,108453,10892,2014
Видин,201309,37828,7881,1629
Враца,201309,74912,14901,3182
Габрово,201309,54178,3579,576
Добрич,201309,79873,8719,1458
Кърджали,201309,60746,9518,1213
Кюстендил,201309,56911,8097,1643
Ловеч,201309,55868,8856,1741
Монтана,201309,60045,11873,2475
Пазарджик,201309,115297,18231,3789
Перник,201309,60837,6211,1281
Плевен,201309,107641,17493,3472
Пловдив,201309,302681,29552,6816
Разград,201309,52154,9106,1352
Русе,201309,102880,10383,1766
Силистра,201309,45518,8459,1429
Сливен,201309,78097,14594,3658
Смолян,201309,58440,11359,1529
гр. София,201309,665475,22831,4626
Софийска,201309,109181,14131,3509
Стара Загора,201309,147697,14019,3294
Търговище,201309,49168,9130,1282
Хасково,201309,104465,13315,2834
Шумен,201309,76138,12973,2351
Ямбол,201309,55779,8586,2013
Общо за страната,201310,3282740,366967,73584
Благоевград,201310,151333,21779,4367
Бургас,201310,188448,17230,3729
Варна,201310,222697,16427,3481
Велико Търново,201310,108453,11120,2059
Видин,201310,37828,8128,1678
Враца,201310,74912,15285,3237
Габрово,201310,54178,3638,607
Добрич,201310,79873,9973,1682
Кърджали,201310,60746,9751,1218
Кюстендил,201310,56911,7816,1570
Ловеч,201310,55868,9046,1737
Монтана,201310,60045,12151,2476
Пазарджик,201310,115297,18467,3854
Перник,201310,60837,6518,1311
Плевен,201310,107641,17784,3550
Пловдив,201310,302681,29793,6824
Разград,201310,52154,9361,1378
Русе,201310,102880,10554,1735
Силистра,201310,45518,8707,1452
Сливен,201310,78097,15210,3768
Смолян,201310,58440,11472,1586
гр. София,201310,665475,22924,4661
Софийска,201310,109181,14269,3493
Стара Загора,201310,147697,14297,3364
Търговище,201310,49168,9390,1311
Хасково,201310,104465,13928,3010
Шумен,201310,76138,13076,2408
Ямбол,201310,55779,8873,2038
Общо за страната,201311,3282740,376561,73414
Благоевград,201311,151333,22446,4388
Бургас,201311,188448,18631,3831
Варна,201311,222697,17656,3628
Велико Търново,201311,108453,11667,2089
Видин,201311,37828,8198,1673
Враца,201311,74912,15700,3314
Габрово,201311,54178,3776,647
Добрич,201311,79873,10747,1760
Кърджали,201311,60746,9913,1227
Кюстендил,201311,56911,7932,1569
Ловеч,201311,55868,9318,1759
Монтана,201311,60045,12440,2480
Пазарджик,201311,115297,18809,3878
Перник,201311,60837,6592,1276
Плевен,201311,107641,18373,3549
Пловдив,201311,302681,29867,6669
Разград,201311,52154,9423,1333
Русе,201311,102880,10552,1682
Силистра,201311,45518,8862,1428
Сливен,201311,78097,15499,3791
Смолян,201311,58440,11998,1657
гр. София,201311,665475,22510,4120
Софийска,201311,109181,14675,3524
Стара Загора,201311,147697,14698,3449
Търговище,201311,49168,9353,1241
Хасково,201311,104465,14113,2971
Шумен,201311,76138,13714,2439
Ямбол,201311,55779,9099,2042
Общо за страната,201312,3282740,386177,73477
Благоевград,201312,151333,22690,4369
Бургас,201312,188448,19208,3787
Варна,201312,222697,18148,3681
Велико Търново,201312,108453,12400,2121
Видин,201312,37828,8330,1683
Враца,201312,74912,16028,3371
Габрово,201312,54178,3881,655
Добрич,201312,79873,11406,1796
Кърджали,201312,60746,10082,1213
Кюстендил,201312,56911,7985,1579
Ловеч,201312,55868,9656,1802
Монтана,201312,60045,12549,2488
Пазарджик,201312,115297,19317,3860
Перник,201312,60837,6745,1259
Плевен,201312,107641,19197,3548
Пловдив,201312,302681,30632,6701
Разград,201312,52154,9788,1336
Русе,201312,102880,10995,1726
Силистра,201312,45518,9276,1439
Сливен,201312,78097,15731,3757
Смолян,201312,58440,12151,1640
гр. София,201312,665475,22225,3933
Софийска,201312,109181,14703,3438
Стара Загора,201312,147697,15327,3522
Търговище,201312,49168,9789,1271
Хасково,201312,104465,14299,2964
Шумен,201312,76138,14354,2480
Ямбол,201312,55779,9285,2058
Общо за страната,201401,3282740,401233,76414
Благоевград,201401,151333,23546,4503
Бургас,201401,188448,19578,3880
Варна,201401,222697,19016,3880
Велико Търново,201401,108453,13371,2238
Видин,201401,37828,8682,1781
Враца,201401,74912,16811,3579
Габрово,201401,54178,4026,699
Добрич,201401,79873,11989,1905
Кърджали,201401,60746,10299,1227
Кюстендил,201401,56911,8278,1640
Ловеч,201401,55868,9960,1823
Монтана,201401,60045,13019,2620
Пазарджик,201401,115297,20124,3979
Перник,201401,60837,7131,1361
Плевен,201401,107641,20082,3770
Пловдив,201401,302681,31684,6908
Разград,201401,52154,10316,1381
Русе,201401,102880,11422,1820
Силистра,201401,45518,9807,1498
Сливен,201401,78097,16273,3941
Смолян,201401,58440,12401,1652
гр. София,201401,665475,22895,4125
Софийска,201401,109181,15012,3515
Стара Загора,201401,147697,15963,3674
Търговище,201401,49168,10126,1321
Хасково,201401,104465,14759,3032
Шумен,201401,76138,14983,2534
Ямбол,201401,55779,9680,2128
Общо за страната,201402,3282740,400943,75686
Благоевград,201402,151333,23497,4477
Бургас,201402,188448,19186,3747
Варна,201402,222697,18992,3827
Велико Търново,201402,108453,13281,2222
Видин,201402,37828,8812,1780
Враца,201402,74912,16998,3680
Габрово,201402,54178,4017,661
Добрич,201402,79873,12057,1891
Кърджали,201402,60746,10266,1221
Кюстендил,201402,56911,8240,1646
Ловеч,201402,55868,9999,1816
Монтана,201402,60045,13230,2680
Пазарджик,201402,115297,20019,3920
Перник,201402,60837,7191,1338
Плевен,201402,107641,20089,3759
Пловдив,201402,302681,31225,6722
Разград,201402,52154,10293,1353
Русе,201402,102880,11261,1771
Силистра,201402,45518,9863,1514
Сливен,201402,78097,16455,3897
Смолян,201402,58440,12342,1591
гр. София,201402,665475,22762,4167
Софийска,201402,109181,15036,3505
Стара Загора,201402,147697,16344,3679
Търговище,201402,49168,10108,1286
Хасково,201402,104465,14837,3017
Шумен,201402,76138,14999,2502
Ямбол,201402,55779,9544,2017
Общо за страната,201403,3282740,398858,73838
Благоевград,201403,151333,23889,4471
Бургас,201403,188448,18405,3528
Варна,201403,222697,18636,3665
Велико Търново,201403,108453,12768,2076
Видин,201403,37828,9453,1841
Враца,201403,74912,17597,3759
Габрово,201403,54178,4053,668
Добрич,201403,79873,11712,1786
Кърджали,201403,60746,10023,1146
Кюстендил,201403,56911,8430,1656
Ловеч,201403,55868,9918,1789
Монтана,201403,60045,13775,2723
Пазарджик,201403,115297,19901,3835
Перник,201403,60837,7220,1292
Плевен,201403,107641,19818,3612
Пловдив,201403,302681,30562,6501
Разград,201403,52154,10275,1315
Русе,201403,102880,10983,1706
Силистра,201403,45518,9626,1447
Сливен,201403,78097,16272,3803
Смолян,201403,58440,12380,1498
гр. София,201403,665475,22641,4145
Софийска,201403,109181,15352,3507
Стара Загора,201403,147697,16251,3634
Търговище,201403,49168,10054,1258
Хасково,201403,104465,14556,2857
Шумен,201403,76138,15055,2403
Ямбол,201403,55779,9253,1917
Общо за страната,201404,3282740,386625,68290
Благоевград,201404,151333,23651,4297
Бургас,201404,188448,15844,2950
Варна,201404,222697,17336,3203
Велико Търново,201404,108453,12485,1903
Видин,201404,37828,9675,1796
Враца,201404,74912,17800,3644
Габрово,201404,54178,4007,619
Добрич,201404,79873,10514,1553
Кърджали,201404,60746,9465,934
Кюстендил,201404,56911,8178,1522
Ловеч,201404,55868,9797,1743
Монтана,201404,60045,13973,2629
Пазарджик,201404,115297,19374,3566
Перник,201404,60837,7185,1212
Плевен,201404,107641,19698,3407
Пловдив,201404,302681,29637,6189
Разград,201404,52154,9940,1195
Русе,201404,102880,10320,1468
Силистра,201404,45518,9277,1326
Сливен,201404,78097,15954,3644
Смолян,201404,58440,12413,1346
гр. София,201404,665475,21484,3667
Софийска,201404,109181,15294,3330
Стара Загора,201404,147697,15761,3357
Търговище,201404,49168,9927,1195
Хасково,201404,104465,14030,2578
Шумен,201404,76138,14770,2256
Ямбол,201404,55779,8836,1761
Общо за страната,201405,3282740,367499,62320
Благоевград,201405,151333,23028,3999
Бургас,201405,188448,13629,2392
Варна,201405,222697,15455,2717
Велико Търново,201405,108453,11475,1644
Видин,201405,37828,9089,1618
Враца,201405,74912,16871,3313
Габрово,201405,54178,3815,577
Добрич,201405,79873,9448,1299
Кърджали,201405,60746,9261,824
Кюстендил,201405,56911,7986,1459
Ловеч,201405,55868,9457,1638
Монтана,201405,60045,13307,2446
Пазарджик,201405,115297,18680,3299
Перник,201405,60837,6786,1141
Плевен,201405,107641,18517,3030
Пловдив,201405,302681,28670,5849
Разград,201405,52154,9541,1113
Русе,201405,102880,10023,1353
Силистра,201405,45518,8916,1203
Сливен,201405,78097,15359,3482
Смолян,201405,58440,11828,1200
гр. София,201405,665475,20988,3541
Софийска,201405,109181,14908,3148
Стара Загора,201405,147697,14998,2989
Търговище,201405,49168,9640,1123
Хасково,201405,104465,13348,2303
Шумен,201405,76138,14158,1997
Ямбол,201405,55779,8318,1623
Общо за страната,201406,3282740,351252,58575
Благоевград,201406,151333,22428,3901
Бургас,201406,188448,11821,2019
Варна,201406,222697,14239,2395
Велико Търново,201406,108453,10619,1484
Видин,201406,37828,8733,1553
Враца,201406,74912,15974,3060
Габрово,201406,54178,3490,493
Добрич,201406,79873,8570,1124
Кърджали,201406,60746,9245,799
Кюстендил,201406,56911,7571,1329
Ловеч,201406,55868,9212,1614
Монтана,201406,60045,12877,2302
Пазарджик,201406,115297,17914,3126
Перник,201406,60837,6510,1062
Плевен,201406,107641,17701,2785
Пловдив,201406,302681,28352,5765
Разград,201406,52154,9108,1084
Русе,201406,102880,9515,1297
Силистра,201406,45518,8474,1117
Сливен,201406,78097,14666,3296
Смолян,201406,58440,11155,1060
гр. София,201406,665475,20572,3462
Софийска,201406,109181,14359,3067
Стара Загора,201406,147697,14856,2836
Търговище,201406,49168,9220,1035
Хасково,201406,104465,12712,2083
Шумен,201406,76138,13562,1874
Ямбол,201406,55779,7797,1553
Общо за страната,201407,3282740,347249,58260
Благоевград,201407,151333,22458,3912
Бургас,201407,188448,11470,1943
Варна,201407,222697,13774,2271
Велико Търново,201407,108453,10572,1531
Видин,201407,37828,8835,1602
Враца,201407,74912,15875,3072
Габрово,201407,54178,3433,469
Добрич,201407,79873,8210,1084
Кърджали,201407,60746,9191,814
Кюстендил,201407,56911,7504,1311
Ловеч,201407,55868,9198,1618
Монтана,201407,60045,12778,2264
Пазарджик,201407,115297,17627,3088
Перник,201407,60837,6453,1032
Плевен,201407,107641,17453,2781
Пловдив,201407,302681,28348,5848
Разград,201407,52154,9014,1069
Русе,201407,102880,9314,1268
Силистра,201407,45518,8385,1130
Сливен,201407,78097,14375,3260
Смолян,201407,58440,10783,1014
гр. София,201407,665475,20601,3460
Софийска,201407,109181,14349,3153
Стара Загора,201407,147697,14715,2848
Търговище,201407,49168,9067,1050
Хасково,201407,104465,12584,2085
Шумен,201407,76138,13245,1807
Ямбол,201407,55779,7638,1476
Общо за страната,201408,3282740,342503,57051
Благоевград,201408,151333,22056,3852
Бургас,201408,188448,11328,1881
Варна,201408,222697,13653,2285
Велико Търново,201408,108453,10366,1496
Видин,201408,37828,8882,1578
Враца,201408,74912,15750,3048
Габрово,201408,54178,3319,443
Добрич,201408,79873,8054,1082
