0;0;2008;левове;6716;
0;0;2009;левове;7492;
0;0;2010;левове;7954;
0;0;2011;левове;8390;
0;0;2012;левове;8910;
0;0;2013;левове;9427;
0;0;2014;левове;9986;
0;0;2015;левове;10657;
0;0;2016;левове;11492;
0;0;2017;левове;12570;
0;0;2018;левове;13872;
0;1;2008;левове;18354;
0;1;2009;левове;20619;
0;1;2010;левове;21528;
0;1;2011;левове;22994;
0;1;2012;левове;24672;
0;1;2013;левове;26478;
0;1;2014;левове;28601;
0;1;2015;левове;30319;
0;1;2016;левове;32786;
0;1;2017;левове;35777;
0;1;2018;левове;39162;
0;2;2008;левове;10767;
0;2;2009;левове;12019;
0;2;2010;левове;12452;
0;2;2011;левове;12547;
0;2;2012;левове;13217;
0;2;2013;левове;14082;
0;2;2014;левове;14836;
0;2;2015;левове;15769;
0;2;2016;левове;17035;
0;2;2017;левове;18641;
0;2;2018;левове;20633;
0;3;2008;левове;8356;
0;3;2009;левове;9123;
0;3;2010;левове;9559;
0;3;2011;левове;10500;
0;3;2012;левове;11132;
0;3;2013;левове;11708;
0;3;2014;левове;12230;
0;3;2015;левове;13028;
0;3;2016;левове;13858;
0;3;2017;левове;15012;
0;3;2018;левове;16412;
0;4;2008;левове;5750;
0;4;2009;левове;6226;
0;4;2010;левове;6515;
0;4;2011;левове;6771;
0;4;2012;левове;7063;
0;4;2013;левове;7443;
0;4;2014;левове;7892;
0;4;2015;левове;8366;
0;4;2016;левове;8985;
0;4;2017;левове;9793;
0;4;2018;левове;10799;
0;5;2008;левове;3941;
0;5;2009;левове;4383;
0;5;2010;левове;4661;
0;5;2011;левове;4891;
0;5;2012;левове;5284;
0;5;2013;левове;5500;
0;5;2014;левове;5760;
0;5;2015;левове;6224;
0;5;2016;левове;6757;
0;5;2017;левове;7263;
0;5;2018;левове;7994;
0;6;2008;левове;4125;
0;6;2009;левове;4726;
0;6;2010;левове;5045;
0;6;2011;левове;5443;
0;6;2012;левове;5762;
0;6;2013;левове;6762;
0;6;2014;левове;7344;
0;6;2015;левове;7639;
0;6;2016;левове;8061;
0;6;2017;левове;8832;
0;6;2018;левове;9237;
0;7;2008;левове;5855;
0;7;2009;левове;6446;
0;7;2010;левове;6707;
0;7;2011;левове;6977;
0;7;2012;левове;7292;
0;7;2013;левове;7645;
0;7;2014;левове;8139;
0;7;2015;левове;8658;
0;7;2016;левове;9285;
0;7;2017;левове;10121;
0;7;2018;левове;11017;
0;8;2008;левове;5763;
0;8;2009;левове;6255;
0;8;2010;левове;6590;
0;8;2011;левове;6706;
0;8;2012;левове;6977;
0;8;2013;левове;7248;
0;8;2014;левове;7519;
0;8;2015;левове;8004;
0;8;2016;левове;8544;
0;8;2017;левове;9316;
0;8;2018;левове;10147;
0;9;2008;левове;3652;
0;9;2009;левове;4064;
0;9;2010;левове;4264;
0;9;2011;левове;4444;
0;9;2012;левове;4698;
0;9;2013;левове;4962;
0;9;2014;левове;5265;
0;9;2015;левове;5675;
0;9;2016;левове;6201;
0;9;2017;левове;6776;
0;9;2018;левове;7528;
A;0;2008;левове;4777;
A;0;2009;левове;5325;
A;0;2010;левове;5800;
A;0;2011;левове;6418;
A;0;2012;левове;7242;
A;0;2013;левове;7748;
A;0;2014;левове;8055;
A;0;2015;левове;8786;
A;0;2016;левове;9345;
A;0;2017;левове;10103;
A;0;2018;левове;10982;
A;1;2008;левове;9383;
A;1;2009;левове;10705;
A;1;2010;левове;11994;
A;1;2011;левове;14407;
A;1;2012;левове;17847;
A;1;2013;левове;20008;
A;1;2014;левове;20307;
A;1;2015;левове;22275;
A;1;2016;левове;23783;
A;1;2017;левове;26785;
A;1;2018;левове;28357;
A;2;2008;левове;6712;
A;2;2009;левове;7495;
A;2;2010;левове;8035;
A;2;2011;левове;9013;
A;2;2012;левове;10577;
A;2;2013;левове;11212;
A;2;2014;левове;11709;
A;2;2015;левове;12745;
A;2;2016;левове;13676;
A;2;2017;левове;14505;
A;2;2018;левове;15792;
A;3;2008;левове;5664;
A;3;2009;левове;6295;
A;3;2010;левове;6878;
A;3;2011;левове;7649;
A;3;2012;левове;8875;
A;3;2013;левове;9385;
A;3;2014;левове;9794;
A;3;2015;левове;10649;
A;3;2016;левове;11483;
A;3;2017;левове;12723;
A;3;2018;левове;13886;
A;4;2008;левове;4985;
A;4;2009;левове;5576;
A;4;2010;левове;5865;
A;4;2011;левове;6269;
A;4;2012;левове;7068;
A;4;2013;левове;7464;
A;4;2014;левове;7722;
A;4;2015;левове;8295;
A;4;2016;левове;8894;
A;4;2017;левове;9271;
A;4;2018;левове;10119;
A;5;2008;левове;4740;
A;5;2009;левове;5033;
A;5;2010;левове;5297;
A;5;2011;левове;6044;
A;5;2012;левове;7278;
A;5;2013;левове;7521;
A;5;2014;левове;7710;
A;5;2015;левове;8472;
A;5;2016;левове;8934;
A;5;2017;левове;9349;
A;5;2018;левове;10349;
A;6;2008;левове;4225;
A;6;2009;левове;4843;
A;6;2010;левове;5257;
A;6;2011;левове;5803;
A;6;2012;левове;6243;
A;6;2013;левове;6581;
A;6;2014;левове;6903;
A;6;2015;левове;7310;
A;6;2016;левове;7900;
A;6;2017;левове;8331;
A;6;2018;левове;9208;
A;7;2008;левове;4860;
A;7;2009;левове;5580;
A;7;2010;левове;5732;
A;7;2011;левове;6233;
A;7;2012;левове;6813;
A;7;2013;левове;7365;
A;7;2014;левове;7827;
A;7;2015;левове;8657;
A;7;2016;левове;9066;
A;7;2017;левове;10220;
A;7;2018;левове;11304;
A;8;2008;левове;5082;
A;8;2009;левове;5702;
