2001Q1;Брутен вътрешен продукт;Текущи цени;млн. лв.;6457;
2001Q1;Брутен вътрешен продукт;По цени на предходната година;млн. лв.;6277;
2001Q1;Брутен вътрешен продукт;По цени на 2015 г.;млн. лв.;11803;
2001Q2;Брутен вътрешен продукт;Текущи цени;млн. лв.;7199;
2001Q2;Брутен вътрешен продукт;По цени на предходната година;млн. лв.;6679;
2001Q2;Брутен вътрешен продукт;По цени на 2015 г.;млн. лв.;12559;
2001Q3;Брутен вътрешен продукт;Текущи цени;млн. лв.;8641;
2001Q3;Брутен вътрешен продукт;По цени на предходната година;млн. лв.;8098;
2001Q3;Брутен вътрешен продукт;По цени на 2015 г.;млн. лв.;15228;
2001Q4;Брутен вътрешен продукт;Текущи цени;млн. лв.;8690;
2001Q4;Брутен вътрешен продукт;По цени на предходната година;млн. лв.;8144;
2001Q4;Брутен вътрешен продукт;По цени на 2015 г.;млн. лв.;15314;
2002Q1;Брутен вътрешен продукт;Текущи цени;млн. лв.;7162;
2002Q1;Брутен вътрешен продукт;По цени на предходната година;млн. лв.;7025;
2002Q1;Брутен вътрешен продукт;По цени на 2015 г.;млн. лв.;12448;
2002Q2;Брутен вътрешен продукт;Текущи цени;млн. лв.;7964;
2002Q2;Брутен вътрешен продукт;По цени на предходната година;млн. лв.;7534;
2002Q2;Брутен вътрешен продукт;По цени на 2015 г.;млн. лв.;13350;
2002Q3;Брутен вътрешен продукт;Текущи цени;млн. лв.;9475;
2002Q3;Брутен вътрешен продукт;По цени на предходната година;млн. лв.;9108;
2002Q3;Брутен вътрешен продукт;По цени на 2015 г.;млн. лв.;16138;
2002Q4;Брутен вътрешен продукт;Текущи цени;млн. лв.;9468;
2002Q4;Брутен вътрешен продукт;По цени на предходната година;млн. лв.;9164;
2002Q4;Брутен вътрешен продукт;По цени на 2015 г.;млн. лв.;16237;
2003Q1;Брутен вътрешен продукт;Текущи цени;млн. лв.;7635;
2003Q1;Брутен вътрешен продукт;По цени на предходната година;млн. лв.;7691;
2003Q1;Брутен вътрешен продукт;По цени на 2015 г.;млн. лв.;13133;
2003Q2;Брутен вътрешен продукт;Текущи цени;млн. лв.;8555;
2003Q2;Брутен вътрешен продукт;По цени на предходната година;млн. лв.;8219;
2003Q2;Брутен вътрешен продукт;По цени на 2015 г.;млн. лв.;14033;
2003Q3;Брутен вътрешен продукт;Текущи цени;млн. лв.;10194;
2003Q3;Брутен вътрешен продукт;По цени на предходната година;млн. лв.;9804;
2003Q3;Брутен вътрешен продукт;По цени на 2015 г.;млн. лв.;16740;
2003Q4;Брутен вътрешен продукт;Текущи цени;млн. лв.;10255;
2003Q4;Брутен вътрешен продукт;По цени на предходната година;млн. лв.;10110;
2003Q4;Брутен вътрешен продукт;По цени на 2015 г.;млн. лв.;17263;
2004Q1;Брутен вътрешен продукт;Текущи цени;млн. лв.;8626;
2004Q1;Брутен вътрешен продукт;По цени на предходната година;млн. лв.;8241;
2004Q1;Брутен вътрешен продукт;По цени на 2015 г.;млн. лв.;13760;
2004Q2;Брутен вътрешен продукт;Текущи цени;млн. лв.;9691;
2004Q2;Брутен вътрешен продукт;По цени на предходната година;млн. лв.;9007;
2004Q2;Брутен вътрешен продукт;По цени на 2015 г.;млн. лв.;15038;
2004Q3;Брутен вътрешен продукт;Текущи цени;млн. лв.;11533;
2004Q3;Брутен вътрешен продукт;По цени на предходната година;млн. лв.;10796;
2004Q3;Брутен вътрешен продукт;По цени на 2015 г.;млн. лв.;18025;
2004Q4;Брутен вътрешен продукт;Текущи цени;млн. лв.;11352;
2004Q4;Брутен вътрешен продукт;По цени на предходната година;млн. лв.;10953;
2004Q4;Брутен вътрешен продукт;По цени на 2015 г.;млн. лв.;18287;
2005Q1;Брутен вътрешен продукт;Текущи цени;млн. лв.;9673;
2005Q1;Брутен вътрешен продукт;По цени на предходната година;млн. лв.;9406;
2005Q1;Брутен вътрешен продукт;По цени на 2015 г.;млн. лв.;14865;
2005Q2;Брутен вътрешен продукт;Текущи цени;млн. лв.;11132;
2005Q2;Брутен вътрешен продукт;По цени на предходната година;млн. лв.;10297;
2005Q2;Брутен вътрешен продукт;По цени на 2015 г.;млн. лв.;16273;
2005Q3;Брутен вътрешен продукт;Текущи цени;млн. лв.;13012;
2005Q3;Брутен вътрешен продукт;По цени на предходната година;млн. лв.;12062;
2005Q3;Брутен вътрешен продукт;По цени на 2015 г.;млн. лв.;19062;
2005Q4;Брутен вътрешен продукт;Текущи цени;млн. лв.;13200;
2005Q4;Брутен вътрешен продукт;По цени на предходната година;млн. лв.;12383;
2005Q4;Брутен вътрешен продукт;По цени на 2015 г.;млн. лв.;19569;
2006Q1;Брутен вътрешен продукт;Текущи цени;млн. лв.;10768;
2006Q1;Брутен вътрешен продукт;По цени на предходната година;млн. лв.;10530;
2006Q1;Брутен вътрешен продукт;По цени на 2015 г.;млн. лв.;15625;
2006Q2;Брутен вътрешен продукт;Текущи цени;млн. лв.;12605;
2006Q2;Брутен вътрешен продукт;По цени на предходната година;млн. лв.;11750;
2006Q2;Брутен вътрешен продукт;По цени на 2015 г.;млн. лв.;17435;
2006Q3;Брутен вътрешен продукт;Текущи цени;млн. лв.;15034;
2006Q3;Брутен вътрешен продукт;По цени на предходната година;млн. лв.;13740;
2006Q3;Брутен вътрешен продукт;По цени на 2015 г.;млн. лв.;20388;
2006Q4;Брутен вътрешен продукт;Текущи цени;млн. лв.;15202;
2006Q4;Брутен вътрешен продукт;По цени на предходната година;млн. лв.;14196;
2006Q4;Брутен вътрешен продукт;По цени на 2015 г.;млн. лв.;21065;
2007Q1;Брутен вътрешен продукт;Текущи цени;млн. лв.;13045;
2007Q1;Брутен вътрешен продукт;По цени на предходната година;млн. лв.;11985;
2007Q1;Брутен вътрешен продукт;По цени на 2015 г.;млн. лв.;16658;
2007Q2;Брутен вътрешен продукт;Текущи цени;млн. лв.;14768;
2007Q2;Брутен вътрешен продукт;По цени на предходната година;млн. лв.;13613;
2007Q2;Брутен вътрешен продукт;По цени на 2015 г.;млн. лв.;18922;
