"oblast","obshtina","godina","naeti","godzaplata","meszapl","mrz","mrzproc","obshtkod","nastrw","koefnaeti"
"Пазарджик","Лесичово",2013,621,5589,465.75,310,67,"PAZ14",5382,11.5
"Пазарджик","Пазарджик",2013,27360,6844,570.333333333333,310,54,"PAZ19",112373,24.3
"Пазарджик","Панагюрище",2013,7470,11804,983.666666666667,310,32,"PAZ20",24333,30.7
"Пазарджик","Пещера",2013,5646,6307,525.583333333333,310,59,"PAZ21",18597,30.4
"Пазарджик","Ракитово",2013,1749,5515,459.583333333333,310,67,"PAZ24",14961,11.7
"Пазарджик","Септември",2013,4034,6951,579.25,310,54,"PAZ29",25207,16
"Пазарджик","Стрелча",2013,595,5569,464.083333333333,310,67,"PAZ32",4688,12.7
"Пловдив","Асеновград",2013,11961,6257,521.416666666667,310,59,"PDV01",63052,19
"Пловдив","Брезово",2013,936,7755,646.25,310,48,"PDV07",6993,13.4
"Пловдив","Калояново",2013,1712,6938,578.166666666667,310,54,"PDV12",11478,14.9
"Пловдив","Карлово",2013,8206,6580,548.333333333333,310,57,"PDV13",51117,16.1
"Пловдив","Кричим",2013,1391,7185,598.75,310,52,"PDV39",8253,16.9
"Пловдив","Куклен",2013,982,7468,622.333333333333,310,50,"PDV42",6344,15.5
"Пловдив","Лъки",2013,1140,9515,792.916666666667,310,39,"PDV15",2790,40.9
"Пловдив","Марица",2013,11026,8502,708.5,310,44,"PDV17",32008,34.4
"Пловдив","Перущица",2013,912,6141,511.75,310,61,"PDV40",4960,18.4
"Пловдив","Пловдив",2013,134476,8369,697.416666666667,310,44,"PDV22",341041,39.4
"Пловдив","Първомай",2013,4903,6476,539.666666666667,310,57,"PDV23",25108,19.5
"Пловдив","Раковски",2013,5497,8131,677.583333333333,310,46,"PDV25",26040,21.1
"Пловдив","Родопи",2013,4497,6458,538.166666666667,310,58,"PDV26",31731,14.2
"Пловдив","Садово",2013,2237,6095,507.916666666667,310,61,"PDV28",15225,14.7
"Пловдив","Сопот",2013,5100,6849,570.75,310,54,"PDV43",9592,53.2
"Пловдив","Стамболийски",2013,3052,7340,611.666666666667,310,51,"PDV41",20332,15
"Пловдив","Съединение",2013,3779,6305,525.416666666667,310,59,"PDV33",10204,37
"Пловдив","Хисаря",2013,2126,6818,568.166666666667,310,55,"PDV37",11929,17.8
"Смолян","Баните",2013,670,5527,460.583333333333,310,67,"SML02",4648,14.4
"Смолян","Борино",2013,705,5191,432.583333333333,310,72,"SML05",3447,20.5
"Смолян","Девин",2013,2667,8453,704.416666666667,310,44,"SML09",12234,21.8
"Смолян","Доспат",2013,2418,5437,453.083333333333,310,68,"SML10",8740,27.7
"Смолян","Златоград",2013,3322,6202,516.833333333333,310,60,"SML11",11759,28.3
"Смолян","Мадан",2013,3060,6756,563,310,55,"SML16",11871,25.8
"Смолян","Неделино",2013,1312,4868,405.666666666667,310,76,"SML18",6727,19.5
"Смолян","Рудозем",2013,2410,6207,517.25,310,60,"SML27",9714,24.8
"Смолян","Смолян",2013,12994,7084,590.333333333333,310,53,"SML31",39753,32.7
"Смолян","Чепеларе",2013,2658,8013,667.75,310,46,"SML38",7325,36.3
"Хасково","Димитровград",2013,12863,7009,584.083333333333,310,53,"HKV09",51531,25
"Хасково","Ивайловград",2013,1170,5666,472.166666666667,310,66,"HKV11",6131,19.1
"Хасково","Любимец",2013,1339,6528,544,310,57,"HKV17",9879,13.6
"Хасково","Маджарово",2013,151,6049,504.083333333333,310,61,"HKV18",1734,8.7
"Хасково","Минерални бани",2013,699,4960,413.333333333333,310,75,"HKV19",5891,11.9
"Хасково","Свиленград",2013,5348,6647,553.916666666667,310,56,"HKV28",22774,23.5
"Хасково","Симеоновград",2013,922,5851,487.583333333333,310,64,"HKV29",8394,11
"Хасково","Стамболово",2013,573,6472,539.333333333333,310,57,"HKV30",5856,9.8
"Хасково","Тополовград",2013,1449,6241,520.083333333333,310,60,"HKV32",10831,13.4
"Хасково","Харманли",2013,4098,5849,487.416666666667,310,64,"HKV33",24201,16.9
"Хасково","Хасково",2013,24760,6610,550.833333333333,310,56,"HKV34",92090,26.9
"Видин","Белоградчик",2014,923,6404,533.666666666667,340,64,"VID01",6162,15
"Видин","Бойница",2014,158,6803,566.916666666667,340,60,"VID03",1126,14
"Видин","Брегово",2014,575,6423,535.25,340,64,"VID06",5091,11.3
"Видин","Видин",2014,12850,6691,557.583333333333,340,61,"VID09",59039,21.8
"Видин","Грамада",2014,319,6782,565.166666666667,340,60,"VID15",1811,17.6
"Видин","Димово",2014,628,6480,540,340,63,"VID16",5977,10.5
"Видин","Кула",2014,694,7523,626.916666666667,340,54,"VID22",4197,16.5
"Видин","Макреш",2014,140,6003,500.25,340,68,"VID25",1401,10
"Видин","Ново село",2014,287,6191,515.916666666667,340,66,"VID30",2725,10.5
"Видин","Ружинци",2014,329,5863,488.583333333333,340,70,"VID33",3919,8.4
"Видин","Чупрене",2014,259,6499,541.583333333333,340,63,"VID37",1913,13.5
"Враца","Борован",2014,496,6051,504.25,340,67,"VRC05",5411,9.2
"Враца","Бяла Слатина",2014,3530,6504,542,340,63,"VRC08",23200,15.2
"Враца","Враца",2014,18346,7289,607.416666666667,340,56,"VRC10",69100,26.5
"Враца","Козлодуй",2014,8304,20273,1689.41666666667,340,20,"VRC20",20394,40.7
"Враца","Криводол",2014,942,6806,567.166666666667,340,60,"VRC21",8913,10.6
