;;левове;
BG324;2017XI;880;
BG324;2017XII;895;
BG324;2018I;902;
BG324;2018II;894;
BG324;2018III;934;
BG324;2018IV;1012;
BG324;2018V;932;
BG324;2018VI;1023;
BG324;2018VII;1005;
BG324;2018VIII;971;
BG324;2018IX;1029;
BG324;2018X;1000;
BG324;2018XI;1003;
BG324;2018XII;1020;
BG324;2019I;997;
BG324;2019II;1012;
BG324;2019III;1036;
BG324;2019IV;1044;
BG324;2019V;1036;
BG324;2019VI;1018;
BG324;2019VII;1170;
BG324;2019VIII;1045;
BG324;2019IX;1111;
BG324;2019X;1103;
BG324;2019XI;1146;
BG324;2019XII;1114;
BG324;2020I;1122;
BG324;2020II;1154;
BG324;2020III;1083;
BG324;2020IV;1091;
BG324;2020V;1127;
BG324;2020VI;1145;
BG324;2020VII;1256;
BG324;2020VIII;1171;
BG324;2020IX;1229;
BG323;2008I;399;
BG323;2008II;403;
BG323;2008III;418;
BG323;2008IV;431;
BG323;2008V;438;
BG323;2008VI;444;
BG323;2008VII;445;
BG323;2008VIII;441;
BG323;2008IX;472;
BG323;2008X;478;
BG323;2008XI;459;
BG323;2008XII;468;
BG323;2009I;478;
BG323;2009II;482;
BG323;2009III;498;
BG323;2009IV;495;
BG323;2009V;505;
BG323;2009VI;504;
BG323;2009VII;501;
BG323;2009VIII;501;
BG323;2009IX;525;
BG323;2009X;511;
BG323;2009XI;520;
BG323;2009XII;534;
BG323;2010I;525;
BG323;2010II;521;
BG323;2010III;545;
BG323;2010IV;544;
BG323;2010V;548;
BG323;2010VI;547;
BG323;2010VII;551;
BG323;2010VIII;550;
BG323;2010IX;562;
BG323;2010X;555;
BG323;2010XI;567;
BG323;2010XII;581;
BG323;2011I;545;
BG323;2011II;538;
BG323;2011III;596;
BG323;2011IV;572;
BG323;2011V;570;
BG323;2011VI;557;
BG323;2011VII;568;
BG323;2011VIII;564;
BG323;2011IX;581;
BG323;2011X;580;
BG323;2011XI;591;
BG323;2011XII;597;
BG323;2012I;556;
BG323;2012II;552;
BG323;2012III;570;
BG323;2012IV;573;
BG323;2012V;591;
BG323;2012VI;585;
BG323;2012VII;583;
BG323;2012VIII;607;
BG323;2012IX;601;
BG323;2012X;616;
BG323;2012XI;621;
BG323;2012XII;623;
BG323;2013I;582;
BG323;2013II;575;
BG323;2013III;599;
BG323;2013IV;608;
BG323;2013V;612;
BG323;2013VI;610;
BG323;2013VII;623;
BG323;2013VIII;611;
BG323;2013IX;625;
BG323;2013X;635;
BG323;2013XI;634;
BG323;2013XII;651;
BG323;2014I;655;
BG323;2014II;647;
BG323;2014III;666;
BG323;2014IV;668;
BG323;2014V;670;
BG323;2014VI;666;
BG323;2014VII;665;
BG323;2014VIII;661;
BG323;2014IX;677;
BG323;2014X;685;
BG323;2014XI;695;
BG323;2014XII;697;
BG323;2015I;669;
BG323;2015II;666;
BG323;2015III;681;
BG323;2015IV;696;
BG323;2015V;695;
BG323;2015VI;685;
BG323;2015VII;704;
BG323;2015VIII;686;
BG323;2015IX;702;
BG323;2015X;707;
BG323;2015XI;734;
BG323;2015XII;729;
BG323;2016I;755;
BG323;2016II;748;
BG323;2016III;768;
BG323;2016IV;782;
BG323;2016V;780;
BG323;2016VI;775;
BG323;2016VII;786;
BG323;2016VIII;780;
BG323;2016IX;795;
BG323;2016X;808;
BG323;2016XI;822;
BG323;2016XII;836;
BG323;2017I;801;
BG323;2017II;807;
BG323;2017III;826;
BG323;2017IV;851;
BG323;2017V;844;
BG323;2017VI;834;
BG323;2017VII;822;
BG323;2017VIII;825;
BG323;2017IX;848;
BG323;2017X;860;
BG323;2017XI;872;
BG323;2017XII;877;
BG323;2018I;887;
BG323;2018II;860;
BG323;2018III;895;
BG323;2018IV;914;
BG323;2018V;919;
BG323;2018VI;912;
BG323;2018VII;911;
BG323;2018VIII;902;
BG323;2018IX;930;
BG323;2018X;947;
BG323;2018XI;954;
BG323;2018XII;955;
BG323;2019I;967;
BG323;2019II;983;
BG323;2019III;1013;
BG323;2019IV;1033;
BG323;2019V;1032;
BG323;2019VI;1031;
BG323;2019VII;1029;
BG323;2019VIII;1014;
BG323;2019IX;1041;
BG323;2019X;1076;
BG323;2019XI;1082;
BG323;2019XII;1101;
BG323;2020I;1077;
BG323;2020II;1078;
BG323;2020III;1048;
BG323;2020IV;1055;
BG323;2020V;1085;
BG323;2020VI;1120;
BG323;2020VII;1150;
BG323;2020VIII;1127;
BG323;2020IX;1164;
BG325;2008I;383;
BG325;2008II;389;
BG325;2008III;394;
BG325;2008IV;402;
BG325;2008V;405;
BG325;2008VI;407;
BG325;2008VII;415;
BG325;2008VIII;419;
BG325;2008IX;443;
BG325;2008X;446;
BG325;2008XI;429;
BG325;2008XII;463;
BG325;2009I;439;
BG325;2009II;435;
BG325;2009III;453;
BG325;2009IV;463;
BG325;2009V;464;
BG325;2009VI;463;
BG325;2009VII;460;
BG325;2009VIII;456;
BG325;2009IX;489;
BG325;2009X;461;
BG325;2009XI;468;
BG325;2009XII;489;
BG325;2010I;460;
BG325;2010II;462;
BG325;2010III;477;
BG325;2010IV;494;
BG325;2010V;496;
BG325;2010VI;479;
BG325;2010VII;505;
BG325;2010VIII;490;
BG325;2010IX;499;
BG325;2010X;506;
BG325;2010XI;507;
BG325;2010XII;508;
BG325;2011I;484;
BG325;2011II;486;
BG325;2011III;496;
BG325;2011IV;486;
BG325;2011V;505;
BG325;2011VI;502;
BG325;2011VII;500;
BG325;2011VIII;494;
BG325;2011IX;520;
BG325;2011X;519;
BG325;2011XI;525;
BG325;2011XII;530;
BG325;2012I;498;
BG325;2012II;489;
BG325;2012III;517;
BG325;2012IV;536;
BG325;2012V;535;
BG325;2012VI;541;
BG325;2012VII;552;
BG325;2012VIII;546;
BG325;2012IX;564;
BG325;2012X;566;
BG325;2012XI;561;
BG325;2012XII;574;
BG325;2013I;523;
BG325;2013II;523;
BG325;2013III;538;
BG325;2013IV;564;
BG325;2013V;554;
BG325;2013VI;562;
BG325;2013VII;553;
BG325;2013VIII;542;
BG325;2013IX;570;
BG325;2013X;586;
BG325;2013XI;569;
BG325;2013XII;597;
BG325;2014I;572;
BG325;2014II;580;
BG325;2014III;615;
BG325;2014IV;623;
BG325;2014V;639;
BG325;2014VI;605;
BG325;2014VII;629;
BG325;2014VIII;607;
BG325;2014IX;626;
BG325;2014X;644;
BG325;2014XI;646;
BG325;2014XII;638;
BG325;2015I;596;
BG325;2015II;588;
BG325;2015III;614;
BG325;2015IV;622;
BG325;2015V;624;
BG325;2015VI;614;
BG325;2015VII;608;
BG325;2015VIII;610;
BG325;2015IX;638;
BG325;2015X;655;
BG325;2015XI;671;
BG325;2015XII;679;
BG325;2016I;646;
BG325;2016II;646;
BG325;2016III;672;
BG325;2016IV;668;
BG325;2016V;679;
BG325;2016VI;675;
BG325;2016VII;673;
BG325;2016VIII;662;
BG325;2016IX;692;
BG325;2016X;718;
BG325;2016XI;683;
BG325;2016XII;696;
BG325;2017I;665;
BG325;2017II;674;
BG325;2017III;702;
BG325;2017IV;716;
BG325;2017V;712;
BG325;2017VI;705;
BG325;2017VII;711;
BG325;2017VIII;695;
BG325;2017IX;727;
BG325;2017X;750;
BG325;2017XI;750;
BG325;2017XII;765;
BG325;2018I;758;
BG325;2018II;750;
BG325;2018III;779;
BG325;2018IV;797;
BG325;2018V;788;
BG325;2018VI;789;
BG325;2018VII;774;
BG325;2018VIII;772;
BG325;2018IX;799;
BG325;2018X;817;
BG325;2018XI;815;
BG325;2018XII;807;
BG325;2019I;832;
BG325;2019II;856;
BG325;2019III;910;
BG325;2019IV;911;
BG325;2019V;904;
BG325;2019VI;927;
BG325;2019VII;905;
BG325;2019VIII;908;
BG325;2019IX;954;
BG325;2019X;992;
BG325;2019XI;979;
BG325;2019XII;994;
BG325;2020I;912;
BG325;2020II;916;
BG325;2020III;909;
BG325;2020IV;914;
BG325;2020V;950;
BG325;2020VI;951;
BG325;2020VII;953;
BG325;2020VIII;939;
BG325;2020IX;966;
BG331;2008I;486;
BG331;2008II;492;
BG331;2008III;508;
BG331;2008IV;527;
BG331;2008V;524;
BG331;2008VI;534;
BG331;2008VII;516;
BG331;2008VIII;521;
BG331;2008IX;542;
BG331;2008X;549;
BG331;2008XI;562;
BG331;2008XII;559;
BG331;2009I;574;
BG331;2009II;565;
BG331;2009III;581;
BG331;2009IV;592;
BG331;2009V;574;
BG331;2009VI;579;
BG331;2009VII;586;
BG331;2009VIII;567;
BG331;2009IX;594;
BG331;2009X;593;
BG331;2009XI;600;
BG331;2009XII;616;
BG331;2010I;583;
BG331;2010II;584;
BG331;2010III;612;
BG331;2010IV;625;
BG331;2010V;627;
BG331;2010VI;610;
BG331;2010VII;627;
BG331;2010VIII;626;
BG331;2010IX;651;
BG331;2010X;652;
BG331;2010XI;674;
BG331;2010XII;693;
BG331;2011I;643;
BG331;2011II;645;
BG331;2011III;661;
BG331;2011IV;698;
BG331;2011V;683;
BG331;2011VI;662;
BG331;2011VII;668;
BG331;2011VIII;674;
BG331;2011IX;693;
BG331;2011X;693;
BG331;2011XI;714;
BG331;2011XII;733;
BG331;2012I;683;
BG331;2012II;682;
BG331;2012III;707;
BG331;2012IV;727;
BG331;2012V;714;
BG331;2012VI;690;
BG331;2012VII;693;
BG331;2012VIII;696;
BG331;2012IX;714;
BG331;2012X;735;
BG331;2012XI;732;
BG331;2012XII;765;
BG331;2013I;729;
BG331;2013II;721;
BG331;2013III;749;
BG331;2013IV;780;
BG331;2013V;751;
BG331;2013VI;724;
BG331;2013VII;730;
BG331;2013VIII;717;
BG331;2013IX;745;
BG331;2013X;763;
BG331;2013XI;775;
BG331;2013XII;786;
BG331;2014I;748;
BG331;2014II;742;
BG331;2014III;755;
BG331;2014IV;790;
BG331;2014V;749;
BG331;2014VI;737;
BG331;2014VII;746;
BG331;2014VIII;742;
BG331;2014IX;762;
BG331;2014X;793;
BG331;2014XI;802;
BG331;2014XII;824;
BG331;2015I;795;
BG331;2015II;789;
BG331;2015III;815;
BG331;2015IV;852;
BG331;2015V;820;
BG331;2015VI;802;
BG331;2015VII;819;
BG331;2015VIII;807;
BG331;2015IX;828;
BG331;2015X;853;
BG331;2015XI;876;
BG331;2015XII;889;
BG331;2016I;891;
BG331;2016II;883;
BG331;2016III;912;
BG331;2016IV;929;
BG331;2016V;894;
BG331;2016VI;870;
BG331;2016VII;884;
BG331;2016VIII;875;
BG331;2016IX;899;
BG331;2016X;937;
BG331;2016XI;923;
BG331;2016XII;960;
BG331;2017I;935;
BG331;2017II;930;
BG331;2017III;962;
BG331;2017IV;1001;
BG331;2017V;974;
BG331;2017VI;968;
BG331;2017VII;977;
BG331;2017VIII;968;
BG331;2017IX;1005;
BG331;2017X;1036;
BG331;2017XI;1048;
BG331;2017XII;1064;
BG331;2018I;1004;
BG331;2018II;996;
BG331;2018III;1019;
BG331;2018IV;1078;
BG331;2018V;1047;
BG331;2018VI;1055;
BG331;2018VII;1045;
BG331;2018VIII;1057;
BG331;2018IX;1059;
BG331;2018X;1104;
BG331;2018XI;1095;
BG331;2018XII;1099;
BG331;2019I;1086;
BG331;2019II;1106;
BG331;2019III;1123;
BG331;2019IV;1177;
BG331;2019V;1147;
BG331;2019VI;1145;
BG331;2019VII;1165;
BG331;2019VIII;1132;
BG331;2019IX;1189;
BG331;2019X;1219;
BG331;2019XI;1234;
BG331;2019XII;1254;
BG331;2020I;1206;
BG331;2020II;1198;
BG331;2020III;1179;
BG331;2020IV;1196;
BG331;2020V;1207;
BG331;2020VI;1251;
BG331;2020VII;1272;
BG331;2020VIII;1224;
BG331;2020IX;1282;
BG332;2008I;392;
BG332;2008II;393;
BG332;2008III;451;
BG332;2008IV;414;
BG332;2008V;420;
BG332;2008VI;438;
BG332;2008VII;437;
BG332;2008VIII;444;
BG332;2008IX;466;
BG332;2008X;444;
BG332;2008XI;433;
BG332;2008XII;439;
BG332;2009I;459;
BG332;2009II;462;
BG332;2009III;474;
BG332;2009IV;483;
BG332;2009V;489;
BG332;2009VI;492;
BG332;2009VII;484;
BG332;2009VIII;485;
BG332;2009IX;504;
BG332;2009X;489;
BG332;2009XI;492;
BG332;2009XII;499;
BG332;2010I;480;
BG332;2010II;476;
BG332;2010III;488;
BG332;2010IV;508;
BG332;2010V;510;
BG332;2010VI;504;
BG332;2010VII;515;
BG332;2010VIII;512;
BG332;2010IX;526;
BG332;2010X;531;
BG332;2010XI;529;
BG332;2010XII;553;
BG332;2011I;499;
BG332;2011II;498;
BG332;2011III;508;
BG332;2011IV;521;
BG332;2011V;528;
BG332;2011VI;522;
BG332;2011VII;533;
BG332;2011VIII;530;
BG332;2011IX;557;
BG332;2011X;541;
BG332;2011XI;552;
BG332;2011XII;560;
BG332;2012I;520;
BG332;2012II;521;
BG332;2012III;530;
BG332;2012IV;557;
BG332;2012V;554;
BG332;2012VI;551;
BG332;2012VII;578;
BG332;2012VIII;568;
BG332;2012IX;583;
BG332;2012X;586;
BG332;2012XI;577;
BG332;2012XII;597;
BG332;2013I;592;
BG332;2013II;591;
BG332;2013III;609;
BG332;2013IV;635;
BG332;2013V;636;
BG332;2013VI;626;
BG332;2013VII;665;
BG332;2013VIII;638;
BG332;2013IX;662;
BG332;2013X;657;
BG332;2013XI;651;
BG332;2013XII;652;
BG332;2014I;627;
BG332;2014II;621;
BG332;2014III;639;
BG332;2014IV;686;
BG332;2014V;653;
BG332;2014VI;646;
BG332;2014VII;664;
BG332;2014VIII;650;
BG332;2014IX;669;
BG332;2014X;679;
BG332;2014XI;669;
BG332;2014XII;701;
BG332;2015I;640;
BG332;2015II;644;
BG332;2015III;656;
BG332;2015IV;685;
BG332;2015V;680;
BG332;2015VI;678;
BG332;2015VII;702;
BG332;2015VIII;692;
BG332;2015IX;710;
BG332;2015X;708;
BG332;2015XI;700;
BG332;2015XII;714;
BG332;2016I;730;
BG332;2016II;725;
BG332;2016III;739;
BG332;2016IV;752;
BG332;2016V;755;
BG332;2016VI;753;
BG332;2016VII;793;
BG332;2016VIII;757;
BG332;2016IX;774;
BG332;2016X;784;
BG332;2016XI;802;
BG332;2016XII;795;
BG332;2017I;725;
BG332;2017II;747;
BG332;2017III;780;
BG332;2017IV;818;
BG332;2017V;770;
BG332;2017VI;763;
BG332;2017VII;789;
BG332;2017VIII;767;
BG332;2017IX;816;
BG332;2017X;822;
BG332;2017XI;813;
BG332;2017XII;835;
BG332;2018I;790;
BG332;2018II;786;
BG332;2018III;810;
BG332;2018IV;827;
BG332;2018V;838;
BG332;2018VI;826;
BG332;2018VII;824;
BG332;2018VIII;821;
BG332;2018IX;863;
BG332;2018X;878;
BG332;2018XI;845;
BG332;2018XII;867;
BG332;2019I;898;
BG332;2019II;905;
BG332;2019III;933;
BG332;2019IV;979;
BG332;2019V;968;
BG332;2019VI;959;
BG332;2019VII;966;
BG332;2019VIII;949;
BG332;2019IX;1011;
BG332;2019X;1014;
BG332;2019XI;1006;
BG332;2019XII;1011;
BG332;2020I;998;
BG332;2020II;1014;
BG332;2020III;988;
BG332;2020IV;1019;
BG332;2020V;1036;
BG332;2020VI;1036;
BG332;2020VII;1066;
BG332;2020VIII;1078;
BG332;2020IX;1111;
BG334;2008I;372;
BG334;2008II;373;
BG334;2008III;382;
BG334;2008IV;390;
BG334;2008V;395;
BG334;2008VI;414;
BG334;2008VII;408;
BG334;2008VIII;400;
BG334;2008IX;432;
BG334;2008X;416;
BG334;2008XI;433;
BG334;2008XII;437;
BG334;2009I;446;
BG334;2009II;437;
BG334;2009III;454;
BG334;2009IV;453;
BG334;2009V;465;
BG334;2009VI;467;
BG334;2009VII;452;
BG334;2009VIII;452;
BG334;2009IX;481;
BG334;2009X;456;
BG334;2009XI;464;
BG334;2009XII;469;
BG334;2010I;448;
BG334;2010II;446;
BG334;2010III;474;
BG334;2010IV;475;
BG334;2010V;477;
BG334;2010VI;471;
BG334;2010VII;471;
BG334;2010VIII;468;
BG334;2010IX;500;
BG334;2010X;488;
BG334;2010XI;488;
BG334;2010XII;499;
BG334;2011I;484;
BG334;2011II;465;
BG334;2011III;478;
BG334;2011IV;489;
BG334;2011V;507;
BG334;2011VI;504;
BG334;2011VII;509;
BG334;2011VIII;490;
BG334;2011IX;533;
BG334;2011X;515;
BG334;2011XI;535;
BG334;2011XII;551;
BG334;2012I;498;
BG334;2012II;498;
BG334;2012III;529;
BG334;2012IV;541;
BG334;2012V;552;
BG334;2012VI;540;
BG334;2012VII;554;
BG334;2012VIII;538;
BG334;2012IX;569;
BG334;2012X;564;
BG334;2012XI;562;
BG334;2012XII;591;
BG334;2013I;593;
BG334;2013II;558;
BG334;2013III;618;
BG334;2013IV;576;
BG334;2013V;595;
BG334;2013VI;584;
BG334;2013VII;635;
BG334;2013VIII;562;
BG334;2013IX;586;
BG334;2013X;655;
BG334;2013XI;688;
BG334;2013XII;717;
BG334;2014I;615;
BG334;2014II;614;
BG334;2014III;660;
BG334;2014IV;734;
BG334;2014V;657;
BG334;2014VI;627;
BG334;2014VII;625;
BG334;2014VIII;630;
BG334;2014IX;668;
BG334;2014X;660;
BG334;2014XI;650;
BG334;2014XII;695;
BG334;2015I;639;
BG334;2015II;644;
BG334;2015III;687;
BG334;2015IV;676;
BG334;2015V;674;
BG334;2015VI;665;
BG334;2015VII;670;
BG334;2015VIII;653;
BG334;2015IX;689;
BG334;2015X;705;
BG334;2015XI;687;
BG334;2015XII;733;
BG334;2016I;678;
BG334;2016II;673;
BG334;2016III;711;
BG334;2016IV;730;
BG334;2016V;746;
BG334;2016VI;741;
BG334;2016VII;734;
BG334;2016VIII;706;
BG334;2016IX;767;
BG334;2016X;759;
BG334;2016XI;746;
BG334;2016XII;768;
BG334;2017I;752;
BG334;2017II;766;
BG334;2017III;802;
BG334;2017IV;818;
BG334;2017V;815;
BG334;2017VI;807;
BG334;2017VII;818;
BG334;2017VIII;784;
BG334;2017IX;861;
BG334;2017X;848;
BG334;2017XI;838;
BG334;2017XII;916;
BG334;2018I;806;
BG334;2018II;796;
BG334;2018III;849;
BG334;2018IV;870;
BG334;2018V;872;
BG334;2018VI;865;
BG334;2018VII;853;
BG334;2018VIII;840;
BG334;2018IX;922;
BG334;2018X;891;
BG334;2018XI;862;
BG334;2018XII;948;
BG334;2019I;905;
BG334;2019II;926;
BG334;2019III;966;
BG334;2019IV;977;
BG334;2019V;973;
BG334;2019VI;978;
BG334;2019VII;996;
BG334;2019VIII;981;
BG334;2019IX;1027;
BG334;2019X;1035;
BG334;2019XI;1007;
BG334;2019XII;1061;
BG334;2020I;1071;
BG334;2020II;1032;
BG334;2020III;1015;
BG334;2020IV;1036;
BG334;2020V;1049;
BG334;2020VI;1069;
BG334;2020VII;1059;
BG334;2020VIII;1058;
BG334;2020IX;1110;
BG333;2008I;406;
BG333;2008II;417;
BG333;2008III;440;
BG333;2008IV;434;
BG333;2008V;445;
BG333;2008VI;443;
BG333;2008VII;443;
BG333;2008VIII;441;
BG333;2008IX;469;
BG333;2008X;461;
BG333;2008XI;454;
BG333;2008XII;480;
BG333;2009I;461;
BG333;2009II;462;
BG333;2009III;482;
BG333;2009IV;485;
BG333;2009V;503;
BG333;2009VI;490;
BG333;2009VII;493;
BG333;2009VIII;498;
BG333;2009IX;519;
BG333;2009X;512;
BG333;2009XI;504;
BG333;2009XII;518;
BG333;2010I;518;
BG333;2010II;509;
BG333;2010III;540;
BG333;2010IV;537;
BG333;2010V;549;
BG333;2010VI;531;
BG333;2010VII;542;
BG333;2010VIII;536;
BG333;2010IX;554;
BG333;2010X;555;
BG333;2010XI;560;
BG333;2010XII;583;
BG333;2011I;504;
BG333;2011II;502;
BG333;2011III;541;
BG333;2011IV;540;
BG333;2011V;541;
BG333;2011VI;527;
BG333;2011VII;533;
BG333;2011VIII;523;
BG333;2011IX;545;
BG333;2011X;552;
BG333;2011XI;551;
BG333;2011XII;558;
BG333;2012I;548;
BG333;2012II;540;
BG333;2012III;572;
BG333;2012IV;585;
BG333;2012V;592;
BG333;2012VI;585;
BG333;2012VII;582;
BG333;2012VIII;579;
BG333;2012IX;613;
BG333;2012X;628;
BG333;2012XI;618;
BG333;2012XII;629;
BG333;2013I;606;
BG333;2013II;606;
BG333;2013III;644;
BG333;2013IV;610;
BG333;2013V;625;
BG333;2013VI;604;
BG333;2013VII;607;
BG333;2013VIII;599;
BG333;2013IX;620;
BG333;2013X;642;
BG333;2013XI;644;
BG333;2013XII;658;
BG333;2014I;637;
BG333;2014II;640;
BG333;2014III;695;
BG333;2014IV;675;
BG333;2014V;671;
BG333;2014VI;659;
BG333;2014VII;655;
BG333;2014VIII;649;
BG333;2014IX;679;
BG333;2014X;688;
BG333;2014XI;693;
BG333;2014XII;714;
BG333;2015I;681;
BG333;2015II;682;
BG333;2015III;739;
BG333;2015IV;709;
BG333;2015V;714;
BG333;2015VI;716;
BG333;2015VII;726;
BG333;2015VIII;711;
BG333;2015IX;746;
BG333;2015X;748;
BG333;2015XI;750;
BG333;2015XII;783;
BG333;2016I;736;
BG333;2016II;739;
BG333;2016III;789;
BG333;2016IV;778;
BG333;2016V;784;
BG333;2016VI;768;
BG333;2016VII;776;
BG333;2016VIII;759;
BG333;2016IX;798;
BG333;2016X;806;
BG333;2016XI;802;
BG333;2016XII;831;
BG333;2017I;774;
BG333;2017II;794;
BG333;2017III;852;
BG333;2017IV;849;
BG333;2017V;838;
BG333;2017VI;824;
BG333;2017VII;829;
BG333;2017VIII;802;
BG333;2017IX;869;
BG333;2017X;860;
BG333;2017XI;870;
BG333;2017XII;893;
BG333;2018I;864;
BG333;2018II;850;
BG333;2018III;909;
BG333;2018IV;913;
BG333;2018V;912;
BG333;2018VI;900;
BG333;2018VII;892;
BG333;2018VIII;882;
BG333;2018IX;923;
BG333;2018X;926;
BG333;2018XI;917;
BG333;2018XII;940;
BG333;2019I;932;
BG333;2019II;942;
BG333;2019III;992;
BG333;2019IV;999;
BG333;2019V;1008;
BG333;2019VI;985;
BG333;2019VII;985;
BG333;2019VIII;974;
BG333;2019IX;1010;
BG333;2019X;1023;
BG333;2019XI;1035;
BG333;2019XII;1058;
BG333;2020I;1047;
BG333;2020II;1062;
BG333;2020III;1055;
BG333;2020IV;1071;
BG333;2020V;1113;
BG333;2020VI;1102;
BG333;2020VII;1106;
BG333;2020VIII;1086;
BG333;2020IX;1115;
BG341;2008I;464;
BG341;2008II;471;
BG341;2008III;490;
BG341;2008IV;502;
BG341;2008V;493;
BG341;2008VI;488;
BG341;2008VII;480;
BG341;2008VIII;490;
BG341;2008IX;504;
BG341;2008X;520;
BG341;2008XI;526;
BG341;2008XII;533;
BG341;2009I;540;
BG341;2009II;538;
BG341;2009III;564;
BG341;2009IV;562;
BG341;2009V;554;
BG341;2009VI;530;
BG341;2009VII;532;
BG341;2009VIII;546;
BG341;2009IX;559;
BG341;2009X;566;
BG341;2009XI;567;
BG341;2009XII;581;
BG341;2010I;559;
BG341;2010II;571;
BG341;2010III;585;
BG341;2010IV;596;
BG341;2010V;587;
BG341;2010VI;558;
BG341;2010VII;553;
BG341;2010VIII;567;
BG341;2010IX;585;
BG341;2010X;604;
BG341;2010XI;608;
BG341;2010XII;623;
BG341;2011I;597;
BG341;2011II;594;
BG341;2011III;606;
BG341;2011IV;615;
BG341;2011V;608;
BG341;2011VI;584;
BG341;2011VII;573;
BG341;2011VIII;586;
BG341;2011IX;603;
BG341;2011X;636;
BG341;2011XI;643;
BG341;2011XII;673;
BG341;2012I;627;
BG341;2012II;634;
BG341;2012III;661;
BG341;2012IV;681;
BG341;2012V;666;
BG341;2012VI;635;
BG341;2012VII;631;
BG341;2012VIII;637;
BG341;2012IX;667;
BG341;2012X;696;
BG341;2012XI;689;
BG341;2012XII;706;
BG341;2013I;672;
BG341;2013II;668;
BG341;2013III;683;
BG341;2013IV;712;
BG341;2013V;690;
BG341;2013VI;654;
BG341;2013VII;654;
BG341;2013VIII;658;
BG341;2013IX;705;
BG341;2013X;715;
BG341;2013XI;713;
BG341;2013XII;719;
BG341;2014I;697;
BG341;2014II;687;
BG341;2014III;723;
BG341;2014IV;741;
BG341;2014V;714;
BG341;2014VI;674;
BG341;2014VII;661;
BG341;2014VIII;665;
BG341;2014IX;705;
BG341;2014X;742;
BG341;2014XI;738;
BG341;2014XII;762;
BG341;2015I;732;
BG341;2015II;729;
BG341;2015III;747;
BG341;2015IV;769;
BG341;2015V;743;
BG341;2015VI;696;
BG341;2015VII;698;
BG341;2015VIII;697;
BG341;2015IX;720;
BG341;2015X;750;
BG341;2015XI;755;
BG341;2015XII;775;
BG341;2016I;782;
BG341;2016II;764;
BG341;2016III;797;
BG341;2016IV;797;
BG341;2016V;785;
BG341;2016VI;746;
BG341;2016VII;757;
BG341;2016VIII;745;
BG341;2016IX;784;
BG341;2016X;828;
BG341;2016XI;818;
BG341;2016XII;841;
BG341;2017I;820;
BG341;2017II;834;
BG341;2017III;860;
BG341;2017IV;883;
BG341;2017V;861;
BG341;2017VI;822;
BG341;2017VII;821;
BG341;2017VIII;825;
BG341;2017IX;887;
BG341;2017X;911;
BG341;2017XI;906;
BG341;2017XII;949;
BG341;2018I;895;
BG341;2018II;883;
BG341;2018III;906;
BG341;2018IV;948;
BG341;2018V;938;
BG341;2018VI;930;
BG341;2018VII;906;
BG341;2018VIII;909;
BG341;2018IX;940;
BG341;2018X;972;
BG341;2018XI;962;
BG341;2018XII;995;
BG341;2019I;961;
BG341;2019II;974;
BG341;2019III;998;
BG341;2019IV;1047;
BG341;2019V;1037;
BG341;2019VI;1004;
BG341;2019VII;990;
BG341;2019VIII;1000;
BG341;2019IX;1039;
BG341;2019X;1056;
BG341;2019XI;1060;
BG341;2019XII;1101;
BG341;2020I;1078;
BG341;2020II;1073;
BG341;2020III;1042;
BG341;2020IV;1050;
BG341;2020V;1096;
BG341;2020VI;1099;
BG341;2020VII;1104;
BG341;2020VIII;1096;
BG341;2020IX;1148;
BG342;2008I;383;
BG342;2008II;387;
BG342;2008III;419;
BG342;2008IV;389;
BG342;2008V;398;
BG342;2008VI;400;
BG342;2008VII;401;
BG342;2008VIII;401;
BG342;2008IX;428;
BG342;2008X;420;
BG342;2008XI;422;
BG342;2008XII;424;
BG342;2009I;436;
BG342;2009II;442;
BG342;2009III;454;
BG342;2009IV;459;
BG342;2009V;483;
BG342;2009VI;465;
BG342;2009VII;468;
BG342;2009VIII;469;
BG342;2009IX;496;
BG342;2009X;465;
BG342;2009XI;472;
BG342;2009XII;490;
BG342;2010I;477;
BG342;2010II;477;
BG342;2010III;499;
BG342;2010IV;514;
BG342;2010V;536;
BG342;2010VI;510;
BG342;2010VII;501;
BG342;2010VIII;492;
BG342;2010IX;517;
BG342;2010X;513;
BG342;2010XI;517;
BG342;2010XII;547;
BG342;2011I;500;
BG342;2011II;502;
BG342;2011III;524;
BG342;2011IV;522;
BG342;2011V;550;
BG342;2011VI;519;
BG342;2011VII;524;
BG342;2011VIII;515;
BG342;2011IX;548;
BG342;2011X;536;
BG342;2011XI;542;
BG342;2011XII;569;
BG342;2012I;516;
BG342;2012II;511;
BG342;2012III;533;
BG342;2012IV;547;
BG342;2012V;570;
BG342;2012VI;552;
BG342;2012VII;557;
BG342;2012VIII;545;
BG342;2012IX;575;
BG342;2012X;583;
BG342;2012XI;560;
BG342;2012XII;593;
BG342;2013I;565;
BG342;2013II;561;
BG342;2013III;576;
BG342;2013IV;594;
BG342;2013V;613;
BG342;2013VI;583;
BG342;2013VII;573;
BG342;2013VIII;571;
BG342;2013IX;598;
BG342;2013X;613;
BG342;2013XI;592;
BG342;2013XII;625;
BG342;2014I;604;
BG342;2014II;593;
BG342;2014III;616;
BG342;2014IV;632;
BG342;2014V;647;
BG342;2014VI;622;
BG342;2014VII;615;
BG342;2014VIII;615;
BG342;2014IX;621;
