;;хиляди левове;хиляди левове;хиляди левове;хиляди левове;левове;километър;километър;брой;брой;процент;процент;процент;процент;процент;процент;процент;процент;
;;Разходи за придобиване на ДМА;Оборот;Произведена продукция;Добавена стойност по факторни разходи;Средна годишна работна заплата на наетите лица по трудово и служебно правоотношение;Дължина на aвтомагистралите;Дължина на първокласните пътища;Население към 31.12. - общо;Среден списъчен брой на наети лица по трудово и служебно правоотношение;Коефициент на заетост - 15 - 64 навършени години;Относителен дял на населениeто на възраст между 25 и 64 навършени години с висше образование;Относителен дял на населението на възраст между 25 и 64 навършени години със средно образование;Относителен дял на населението на възраст между 25 и 64 навършени години с основно и по-ниско образование;Относителен дял на предприятията с до 9 заети лица в общия брой предприятия за областта;Относителен дял на предприятията с 10-49 заети лица в общия брой предприятия за областта;Относителен дял на предприятията с 50-249 заети лица в общия брой предприятия за областта;Относителен дял на предприятията с повече от 250 заети лица в общия брой предприятия за областта;
RAZ;2011;126923;1829657;1239054;380686;6488;-;56;123600;26538;50.2;12.9;44.9;42.2;91.6;6.9;1.3;0.2;
RAZ;2012;167460;1990762;1389591;450102;7065;-;56;122166;26742;50.7;14.0;45.5;40.6;91.6;6.8;1.4;0.2;
RAZ;2013;159504;2093114;1462367;472475;7533;-;56;120594;27070;50.2;13.7;44.4;41.9;91.2;7.3;1.3;0.2;
RAZ;2014;181940;1993796;1389035;470241;8351;-;56;119048;26490;52.8;16.2;42.9;40.9;91.8;6.8;1.2;0.2;
RAZ;2015;216882;2086472;1453226;470951;8702;-;56;117241;26055;55.6;18.7;44.6;36.7;91.3;7.2;1.3;0.2;
RAZ;2016;170940;2357202;1700221;509393;9694;-;56;115402;26243;56.0;18.4;45.3;36.3;91.4;7.3;1.1;0.2;
RAZ;2017;183986;2620082;1946535;565376;10453;-;56;113714;26483;58.8;17.5;43.7;38.8;91.4;7.2;1.2;0.2;
RAZ;2018;199728;2687988;1746254;584697;11569;-;56;112229;25914;56.2;20.0;43.4;36.6;91.7;7.0;1.1;0.2;
RSE;2005;237531;3227176;1779516;609796;3313;-;110;256835;75834;56.6;21.2;52.4;26.4;88.6;9.1;2.1;0.3;
RSE;2006;464980;3579548;2150021;593380;3628;-;110;255315;77513;56.7;21.1;54.2;24.7;88.5;9.0;2.2;0.3;
RSE;2007;634677;4445659;2813038;820645;4326;-;110;253008;80397;59.6;19.2;56.7;24.1;88.8;8.7;2.1;0.3;
RSE;2008;739662;5707344;3422545;1012330;5465;-;110;251236;82730;60.5;19.3;56.0;24.7;90.0;7.9;1.9;0.3;
RSE;2009;452806;4547313;2865224;908181;6112;-;110;249144;77174;64.5;19.3;58.1;22.6;90.1;7.7;1.8;0.3;
RSE;2010;347785;4618375;2767881;893742;6354;-;110;246670;70957;62.0;20.4;58.8;20.7;90.9;7.2;1.6;0.3;
RSE;2011;386368;5359684;3116160;1029695;6783;-;110;233767;70693;58.0;22.0;58.0;20.0;90.8;7.3;1.7;0.2;
RSE;2012;421876;5764845;3287592;1053638;7155;-;110;231580;70007;57.8;22.1;60.1;17.9;91.0;7.2;1.6;0.2;
RSE;2013;440017;6238659;3612812;1174945;7589;-;110;229784;70612;57.7;23.6;57.3;19.1;91.2;7.0;1.6;0.2;
RSE;2014;466452;6487687;3971031;1284947;8028;-;110;227685;69431;56.6;23.6;56.8;19.6;91.6;6.6;1.6;0.2;
RSE;2015;500056;7033605;4345609;1429347;8563;-;110;225674;69089;60.0;24.4;58.9;16.7;91.7;6.7;1.4;0.2;
RSE;2016;403313;7615365;4574346;1487911;9287;-;110;223489;69406;62.2;26.8;56.1;17.1;91.6;6.8;1.5;0.2;
RSE;2017;357136;8597716;4977239;1531926;10243;-;110;221336;69277;65.0;27.7;55.5;16.8;91.8;6.6;1.4;0.2;
RSE;2018;425809;8798958;5078687;1623631;11185;-;110;218556;68303;67.7;29.1;58.0;12.9;91.9;6.5;1.4;0.2;
SLS;2005;81227;729937;425685;173145;3225;-;57;134093;25690;52.1;15.5;45.9;38.6;89.9;8.4;1.7;0.1;
SLS;2006;102100;887544;505958;162575;3476;-;57;132699;25779;49.0;14.4;43.8;41.8;89.2;9.1;1.6;0.1;
SLS;2007;176937;1023829;588420;219850;4033;-;57;130898;25896;53.1;14.8;52.1;33.1;89.2;9.2;1.6;0.1;
SLS;2008;205900;1205166;747693;271839;4915;-;57;129121;26450;54.6;15.1;50.9;34.0;89.5;8.8;1.5;0.1;
SLS;2009;127263;1027823;612037;252855;5349;-;57;127659;23350;53.6;14.2;47.7;38.1;90.5;8.3;1.1;0.1;
SLS;2010;93456;1160145;662814;260306;5771;-;57;125827;21283;50.0;13.1;47.5;39.3;91.6;7.1;1.2;0.1;
SLS;2011;149794;1419297;798943;303989;6059;-;57;118433;21457;50.1;15.4;47.9;36.8;91.5;7.2;1.2;0.1;
SLS;2012;169853;1500118;838168;256978;6390;-;57;117214;21313;50.9;15.8;49.4;34.8;91.7;7.2;1.0;0.1;
SLS;2013;176278;1545183;798684;303510;6880;-;57;116038;21150;48.2;15.1;52.5;32.4;91.8;7.0;1.1;0.1;
SLS;2014;165673;1568777;796705;313680;7215;-;57;114670;20767;50.0;14.4;53.1;32.5;91.9;7.0;1.0;0.1;
SLS;2015;252705;1722334;850765;339039;7494;-;57;113248;21191;49.2;16.4;50.3;33.3;92.1;6.6;1.2;0.1;
SLS;2016;146529;1662296;831640;344837;7967;-;57;111957;21153;52.2;18.5;46.3;35.2;92.4;6.4;1.1;0.1;
SLS;2017;153041;1684204;946554;385060;8672;-;57;110562;21126;57.0;17.7;47.2;35.1;91.9;6.8;1.2;0.1;
SLS;2018;173657;1698675;975481;388452;9434;-;57;109271;20986;60.2;16.9;50.4;32.7;92.1;6.6;1.2;0.1;
VAR;2005;896525;9101854;4814283;1712449;3987;58;135;457922;140913;60.3;22.3;52.2;25.5;91.1;7.3;1.4;0.2;
VAR;2006;1304335;9954762;5748537;1866477;4377;58;135;456915;148806;62.9;23.1;52.7;24.2;91.0;7.3;1.4;0.2;
VAR;2007;2261284;12948957;7964009;2578970;5168;58;135;459613;161928;65.0;23.8;54.3;21.9;90.4;8.0;1.5;0.2;
VAR;2008;2076743;15939625;10177725;3181427;6448;58;135;463260;170679;66.8;24.8;54.5;20.7;91.0;7.5;1.3;0.2;
VAR;2009;1402421;13170559;7648787;2527752;7159;58;135;465465;164943;64.4;25.5;53.9;20.6;92.4;6.4;1.1;0.2;
VAR;2010;1119557;13865777;7691059;2524861;7533;58;135;465100;150670;60.8;25.6;54.2;20.2;93.0;5.8;1.0;0.2;
VAR;2011;1091098;14880007;8354529;2697471;8144;58;135;474344;149361;56.6;25.4;54.7;20.0;93.0;5.8;1.1;0.2;
VAR;2012;1012292;15131071;8552436;2790501;8562;58;135;473415;149001;54.1;26.0;52.6;21.4;93.0;5.8;1.1;0.1;
VAR;2013;1129690;15267679;8362807;2741353;8922;58;135;474076;149368;57.8;31.4;49.9;18.6;92.9;5.9;1.0;0.2;
VAR;2014;1101169;15128651;8682862;2920339;9272;58;139;473804;151621;61.8;33.8;47.4;18.8;92.8;5.9;1.1;0.2;
VAR;2015;989946;15577331;9355288;3242346;10000;58;139;472926;151747;68.4;30.7;53.9;15.5;92.8;6.0;1.1;0.1;
VAR;2016;951254;15556339;9004396;3428400;10773;58;139;472654;150698;65.9;29.9;53.3;16.8;93.2;5.6;1.1;0.1;
VAR;2017;1266000;16481891;9769642;3830067;11700;58;139;472120;152519;66.0;32.4;49.2;18.3;92.9;5.9;1.1;0.1;
VAR;2018;1301306;17726815;10444889;4003081;13008;58;139;471252;154052;66.3;29.5;51.4;19.1;92.9;5.9;1.1;0.1;
DOB;2005;189348;1508535;902851;379723;3303;-;83;205541;48167;50.3;18.1;46.3;35.6;90.6;7.9;1.2;0.3;
DOB;2006;248466;1810236;1072306;347004;3592;-;83;204738;48914;55.9;19.4;45.1;35.5;90.2;8.3;1.4;0.2;
DOB;2007;346803;2105808;1270038;473567;4254;-;83;203138;47068;57.9;18.8;46.2;35.0;89.7;8.5;1.5;0.3;
DOB;2008;567303;2572117;1585416;617551;5353;-;83;201499;45223;62.0;16.8;49.6;33.6;90.1;8.2;1.5;0.2;
DOB;2009;921135;2461295;1353596;539873;5772;-;83;199705;46197;57.1;16.7;50.6;32.7;92.0;6.9;0.9;0.1;
DOB;2010;385387;2625901;1707161;756888;6130;-;83;197424;42993;55.2;17.9;52.6;29.4;92.4;6.6;0.9;0.1;
DOB;2011;373192;2956647;1829762;760715;6394;-;83;188088;43448;54.4;18.4;52.5;29.2;92.8;6.3;0.9;0.1;
DOB;2012;328709;3123115;2012710;812111;6738;-;83;186445;42641;58.3;18.3;55.9;25.8;93.0;6.1;0.8;0.1;
DOB;2013;380718;3305237;2042058;806898;7164;-;83;184680;42442;59.4;18.4;58.2;23.4;93.3;5.8;0.8;0.1;
DOB;2014;372252;3270104;2123945;814597;7581;-;83;182808;41827;61.2;18.4;56.1;25.5;93.2;5.9;0.8;0.1;
DOB;2015;389972;3446318;2224372;836094;8084;-;83;180601;40496;60.9;19.4;55.8;24.8;93.4;5.8;0.7;0.1;
DOB;2016;293711;3463134;2195678;894461;8705;-;83;178438;40772;62.6;22.1;57.0;21.0;93.6;5.6;0.7;0.1;
DOB;2017;335749;3680704;2374293;947830;9539;-;83;176145;40594;69.8;20.8;59.0;20.1;93.3;5.9;0.7;0.1;
DOB;2018;351734;3921720;2564060;1026239;10429;-;83;173831;40520;65.3;20.8;55.8;23.4;93.5;5.7;0.7;0.1;
TGV;2005;257630;839203;557342;181516;3217;-;77;135262;29747;52.7;13.7;41.3;45.0;88.9;8.8;2.0;0.3;
TGV;2006;171094;1065906;745062;232855;3503;-;77;134264;30435;53.2;14.5;43.7;41.8;88.7;8.9;2.0;0.3;
TGV;2007;142738;1326666;956836;319719;4023;-;77;132771;30834;51.9;14.7;48.0;37.3;89.3;8.3;2.1;0.3;
TGV;2008;194612;1517876;1092916;338617;4909;-;77;131233;30705;53.4;13.9;48.5;37.6;88.1;9.6;2.0;0.3;
TGV;2009;148152;1322021;926898;300655;5389;-;77;129675;29839;55.8;16.0;46.0;38.0;89.8;8.1;1.8;0.3;
TGV;2010;117354;1506262;1064290;351747;5620;-;77;127832;27759;54.2;13.1;50.4;36.4;90.5;7.8;1.5;0.3;
TGV;2011;156440;1734054;1216668;387780;5913;-;77;119865;27764;57.6;15.2;47.3;37.5;90.6;7.8;1.3;0.3;
TGV;2012;258311;1890209;1341315;388556;6556;-;77;118786;28130;53.9;17.9;47.9;34.1;91.1;7.2;1.4;0.3;
TGV;2013;319230;2046259;1312850;395597;7195;-;77;117719;27842;48.7;16.7;46.3;37.0;91.0;7.2;1.5;0.3;
TGV;2014;240738;1940287;1339203;433444;7465;-;77;116420;27999;51.2;17.3;43.4;39.3;90.6;7.6;1.5;0.3;
TGV;2015;819521;2187731;1511512;485233;7902;-;77;115211;28629;51.6;15.0;49.3;35.7;91.0;7.4;1.3;0.3;
TGV;2016;213362;2366951;1568681;550023;8963;-;77;113694;28808;53.6;18.1;46.2;35.7;90.9;7.5;1.4;0.3;
TGV;2017;164978;2405262;1622443;538066;9754;-;77;112474;28466;60.4;19.7;46.6;33.6;90.5;8.0;1.2;0.3;
